model,horizon_hours,internal_test_mean_patient_nmae,external_test_mean_patient_nmae,relative_degradation
global_median,1,0.6099562722414755,0.6633621348717863,0.08755687097708528
global_median,3,0.6185126314442865,0.6639278444566871,0.07342649236823458
global_median,6,0.618890212671302,0.6658232321325104,0.07583416008250071
global_median,12,0.6196818214300599,0.6634230813143884,0.07058664361556613
global_median,24,0.6293810190601082,0.6697730318621201,0.06417736089711071
hourly_median,1,0.6097004891654547,0.6698902053534631,0.09872013760460455
hourly_median,3,0.6186654915080655,0.6707439764838267,0.08417874552662395
hourly_median,6,0.6187792563523559,0.6719050173153197,0.0858557561805402
hourly_median,12,0.6179801683956204,0.6617272366683973,0.07079040802612087
hourly_median,24,0.6235370466251433,0.6624417691550879,0.06239360233768636
locf,1,0.3656905092424367,0.38526378215079654,0.05352414791652043
locf,3,0.443160874075707,0.46138488495355373,0.04112278845883283
locf,6,0.5004412454937223,0.5223365130796808,0.04375192449286869
locf,12,0.5525316803882975,0.5752986591510478,0.04120483869223684
locf,24,0.5998320297536802,0.6033291539173524,0.005830172431952812
