model,horizon_hours,internal_test_mean_patient_nmae,external_test_mean_patient_nmae,relative_degradation
global_median,1,0.6070292340780296,0.6574804058998409,0.08311160153338874
global_median,3,0.6085755279555699,0.6574110027682671,0.08024554483278952
global_median,6,0.6131712765600934,0.6593858142925243,0.07536970419047617
global_median,12,0.6216524635614988,0.6645109510011662,0.06894284178353852
global_median,24,0.6279171297243362,0.6698175573543659,0.06672923168766631
hourly_median,1,0.604705083355479,0.6611053359419057,0.09326902342785746
hourly_median,3,0.6060457428316778,0.6604978589525682,0.08984819506605106
hourly_median,6,0.6096473443213732,0.6604001054170624,0.08324937616546893
hourly_median,12,0.6163200836477029,0.6601900421971387,0.07118047863991489
hourly_median,24,0.6219506887535647,0.6616618036533132,0.06384929805179966
locf,1,0.37594250887531566,0.38970378037162406,0.03660472325270468
locf,3,0.4410817363162679,0.45637450570551474,0.034671055566629715
locf,6,0.49116124951304274,0.5107951362143928,0.039974421273697505
locf,12,0.54306645997618,0.5624808991871643,0.03574965615043847
locf,24,0.5907241665285059,0.5980703054941141,0.012435819256860743
