split,model,horizon_hours,patients,mean_patient_nmae,median_patient_nmae,bootstrap_95_ci_lower,bootstrap_95_ci_upper
external_test,global_median,1,17223,0.6574804058998409,0.6139252260092407,0.6542348792449549,0.6609128346166047
external_test,global_median,3,16790,0.6574110027682671,0.6136485671269178,0.6539629868526794,0.6608433937708243
external_test,global_median,6,15865,0.6593858142925243,0.6138910455195907,0.6556662669809673,0.6631290243832345
external_test,global_median,12,13200,0.6645109510011662,0.6188535211801337,0.660250912025539,0.6685069043924201
external_test,global_median,24,10509,0.6698175573543659,0.6213314071295143,0.6651204792825044,0.6746575400991563
external_test,hourly_median,1,17223,0.6611053359419057,0.6176532912795998,0.6578668151744321,0.6644800048058513
external_test,hourly_median,3,16790,0.6604978589525682,0.615982311938085,0.6571233573212489,0.6639533599691223
external_test,hourly_median,6,15865,0.6604001054170624,0.6146227933873624,0.6567401349067016,0.6641367967209919
external_test,hourly_median,12,13200,0.6601900421971387,0.6154088284937274,0.6562549264422787,0.664028638652742
external_test,hourly_median,24,10509,0.6616618036533132,0.6157027541455906,0.6569166347440702,0.6665878424530869
external_test,locf,1,17223,0.38970378037162406,0.3740866570429789,0.3878620957703539,0.39153657347170645
external_test,locf,3,16790,0.45637450570551474,0.4392448307701508,0.45415978285130737,0.45848846798592274
external_test,locf,6,15865,0.5107951362143928,0.4895962320900818,0.5081288901176038,0.5137315161754167
external_test,locf,12,13200,0.5624808991871643,0.5402046678205411,0.5595529503856509,0.5656704066407231
external_test,locf,24,10509,0.5980703054941141,0.5674970873059443,0.593874835950252,0.6023827918568577
internal_test,global_median,1,2965,0.6070292340780296,0.5725091970236231,0.599929125021774,0.6143077114784337
internal_test,global_median,3,2900,0.6085755279555699,0.5768472167641868,0.6014654833091717,0.6160832451852954
internal_test,global_median,6,2735,0.6131712765600934,0.5789726006989337,0.605113790597614,0.6208661665728854
internal_test,global_median,12,2333,0.6216524635614988,0.5850781429426267,0.6134532005785888,0.6300045856169941
internal_test,global_median,24,1821,0.6279171297243362,0.5949656324719845,0.6178910766717545,0.637562041007872
internal_test,hourly_median,1,2965,0.604705083355479,0.5699917005735008,0.5975325105905365,0.6121523126618278
internal_test,hourly_median,3,2900,0.6060457428316778,0.5722957519530347,0.5989600504165035,0.6133330745024587
internal_test,hourly_median,6,2735,0.6096473443213732,0.5741045130719142,0.6020669778120811,0.6171209061177692
internal_test,hourly_median,12,2333,0.6163200836477029,0.5814853846934693,0.6086999145310505,0.62432309138046
internal_test,hourly_median,24,1821,0.6219506887535647,0.5910020137704866,0.6125548119273801,0.6317983602857838
internal_test,locf,1,2965,0.37594250887531566,0.3623693962987014,0.37222172935944053,0.3797793094746675
internal_test,locf,3,2900,0.4410817363162679,0.4254665809220085,0.4363936931365174,0.44569345407935584
internal_test,locf,6,2735,0.49116124951304274,0.4688725693437421,0.4858886906092311,0.49671802031222856
internal_test,locf,12,2333,0.54306645997618,0.5187728224691355,0.5367572008950359,0.5494254471056146
internal_test,locf,24,1821,0.5907241665285059,0.5577077231595754,0.5817995919177742,0.6002023695458846
