split,model,horizon_hours,constraint,seeds,mean,standard_deviation,minimum,maximum
external_test,global_median,1,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,3,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,6,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,12,pressure_order,1,0.0,0.0,0.0,0.0
external_test,global_median,24,pressure_order,1,0.0,0.0,0.0,0.0
external_test,grud,1,FiO2_bounds,1,1.8555008210180624,0.0,1.8555008210180624,1.8555008210180624
external_test,grud,1,O2Sat_bounds,1,123.28407224958949,0.0,123.28407224958949,123.28407224958949
external_test,grud,1,SaO2_bounds,1,6.981937602627258,0.0,6.981937602627258,6.981937602627258
external_test,grud,1,emitted_FiO2_bounds,1,17.87192118226601,0.0,17.87192118226601,17.87192118226601
external_test,grud,1,emitted_O2Sat_bounds,1,136.21018062397374,0.0,136.21018062397374,136.21018062397374
external_test,grud,1,emitted_SaO2_bounds,1,200.34811165845647,0.0,200.34811165845647,200.34811165845647
external_test,grud,1,emitted_pressure_order,1,101.95730706075534,0.0,101.95730706075534,101.95730706075534
external_test,grud,1,pressure_order,1,91.57142857142856,0.0,91.57142857142856,91.57142857142856
external_test,grud,3,FiO2_bounds,1,3.2939244663382596,0.0,3.2939244663382596,3.2939244663382596
external_test,grud,3,O2Sat_bounds,1,134.54351395730706,0.0,134.54351395730706,134.54351395730706
external_test,grud,3,SaO2_bounds,1,18.113300492610836,0.0,18.113300492610836,18.113300492610836
external_test,grud,3,emitted_FiO2_bounds,1,16.67487684729064,0.0,16.67487684729064,16.67487684729064
external_test,grud,3,emitted_O2Sat_bounds,1,136.38423645320196,0.0,136.38423645320196,136.38423645320196
external_test,grud,3,emitted_SaO2_bounds,1,196.64039408866995,0.0,196.64039408866995,196.64039408866995
external_test,grud,3,emitted_pressure_order,1,114.8784893267652,0.0,114.8784893267652,114.8784893267652
external_test,grud,3,pressure_order,1,115.34811165845647,0.0,115.34811165845647,115.34811165845647
external_test,grud,6,FiO2_bounds,1,4.2151067323481115,0.0,4.2151067323481115,4.2151067323481115
external_test,grud,6,O2Sat_bounds,1,135.58128078817734,0.0,135.58128078817734,135.58128078817734
external_test,grud,6,SaO2_bounds,1,31.23481116584565,0.0,31.23481116584565,31.23481116584565
external_test,grud,6,emitted_FiO2_bounds,1,14.87848932676519,0.0,14.87848932676519,14.87848932676519
external_test,grud,6,emitted_O2Sat_bounds,1,136.22988505747125,0.0,136.22988505747125,136.22988505747125
external_test,grud,6,emitted_SaO2_bounds,1,194.34975369458127,0.0,194.34975369458127,194.34975369458127
external_test,grud,6,emitted_pressure_order,1,127.1231527093596,0.0,127.1231527093596,127.1231527093596
external_test,grud,6,pressure_order,1,132.33169129720855,0.0,132.33169129720855,132.33169129720855
external_test,grud,12,FiO2_bounds,1,5.072249589490969,0.0,5.072249589490969,5.072249589490969
external_test,grud,12,O2Sat_bounds,1,135.21018062397374,0.0,135.21018062397374,135.21018062397374
external_test,grud,12,SaO2_bounds,1,51.216748768472904,0.0,51.216748768472904,51.216748768472904
external_test,grud,12,emitted_FiO2_bounds,1,13.898193760262728,0.0,13.898193760262728,13.898193760262728
external_test,grud,12,emitted_O2Sat_bounds,1,135.66174055829228,0.0,135.66174055829228,135.66174055829228
external_test,grud,12,emitted_SaO2_bounds,1,189.98686371100163,0.0,189.98686371100163,189.98686371100163
external_test,grud,12,emitted_pressure_order,1,144.82266009852216,0.0,144.82266009852216,144.82266009852216
external_test,grud,12,pressure_order,1,151.73563218390805,0.0,151.73563218390805,151.73563218390805
external_test,grud,24,FiO2_bounds,1,5.9786535303776684,0.0,5.9786535303776684,5.9786535303776684
external_test,grud,24,O2Sat_bounds,1,133.6206896551724,0.0,133.6206896551724,133.6206896551724
external_test,grud,24,SaO2_bounds,1,79.00821018062398,0.0,79.00821018062398,79.00821018062398
external_test,grud,24,emitted_FiO2_bounds,1,13.344827586206897,0.0,13.344827586206897,13.344827586206897
external_test,grud,24,emitted_O2Sat_bounds,1,134.311986863711,0.0,134.311986863711,134.311986863711
external_test,grud,24,emitted_SaO2_bounds,1,186.22331691297208,0.0,186.22331691297208,186.22331691297208
external_test,grud,24,emitted_pressure_order,1,164.56650246305418,0.0,164.56650246305418,164.56650246305418
external_test,grud,24,pressure_order,1,171.14285714285714,0.0,171.14285714285714,171.14285714285714
external_test,hourly_median,1,pressure_order,1,0.0,0.0,0.0,0.0
