model,seed,horizon_hours,spread_scale,observed_targets
grud,20260912,1,1.1971719972054484,21601
grud,20260912,3,1.1616282207791817,21247
grud,20260912,6,1.2403331921877012,20979
grud,20260912,12,1.176845847129694,21100
grud,20260912,24,1.141363798989259,20878
transformer,20260912,1,1.1920581741127483,21601
transformer,20260912,3,1.0803114244975296,21247
transformer,20260912,6,1.1449940376122472,20979
transformer,20260912,12,1.0945735483581651,21100
transformer,20260912,24,1.0358444063313945,20878
rssm,20260912,1,2.3286829170230883,21601
rssm,20260912,3,2.364491124674626,21247
rssm,20260912,6,2.5477812956643002,20979
rssm,20260912,12,2.5770036775446057,21100
rssm,20260912,24,2.650125686459301,20878
