model,model_label,horizon_hours,zero_shot_coverage_90_mean,zero_shot_coverage_90_seed_sd,zero_shot_coverage_error_90_mean,zero_shot_coverage_error_90_seed_sd,zero_shot_patient_crps_mean,zero_shot_patient_crps_seed_sd,zero_shot_mean_interval_width_scaled_mean,zero_shot_mean_interval_width_scaled_seed_sd,zero_shot_patient_nll_mean,zero_shot_patient_nll_seed_sd,recalibrated_coverage_90_mean,recalibrated_coverage_90_seed_sd,recalibrated_coverage_error_90_mean,recalibrated_coverage_error_90_seed_sd,recalibrated_patient_crps_mean,recalibrated_patient_crps_seed_sd,recalibrated_mean_interval_width_scaled_mean,recalibrated_mean_interval_width_scaled_seed_sd,recalibrated_patient_nll_mean,recalibrated_patient_nll_seed_sd
grud,Probabilistic GRU-D-style model,1,0.850015227565011,0.0,0.049984772434989,0.0,0.2827254223080289,0.0,1.4174319914678946,0.0,0.7912304911567942,0.0,0.8987365559845181,0.0,0.0012634440154819515,0.0,0.2880569510796271,0.0,1.6969099556964187,0.0,0.7616932782940293,0.0
grud,Probabilistic GRU-D-style model,3,0.8397035150008635,0.0,0.060296484999136535,0.0,0.32487418188751443,0.0,1.5958839417976065,0.0,0.9260846620526278,0.0,0.8846759398522227,0.0,0.015324060147777319,0.0,0.32859492946508634,0.0,1.8538238644906275,0.0,0.8991289335452396,0.0
grud,Probabilistic GRU-D-style model,6,0.8328847270531285,0.0,0.06711527294687147,0.0,0.35880865810856566,0.0,1.7370805377160483,0.0,1.0497645142515752,0.0,0.8974728695358235,0.0,0.002527130464176519,0.0,0.36522304626670277,0.0,2.1545586601053515,0.0,1.0161544567184666,0.0
grud,Probabilistic GRU-D-style model,12,0.8366571445089368,0.0,0.06334285549106322,0.0,0.38578565432517153,0.0,1.8803746375235775,0.0,1.1249765791877933,0.0,0.8871951760598354,0.0,0.012804823940164578,0.0,0.39017789679782866,0.0,2.2129109733772263,0.0,1.0941523974926382,0.0
grud,Probabilistic GRU-D-style model,24,0.8412525122127538,0.0,0.058747487787246255,0.0,0.4138696576415087,0.0,2.03831836852285,0.0,1.2006367818263644,0.0,0.8825083432327497,0.0,0.017491656767250285,0.0,0.4174596362372863,0.0,2.3264626777563775,0.0,1.17371216993391,0.0
transformer,Causally masked Transformer,1,0.8523514649782657,0.0,0.04764853502173427,0.0,0.2823163314454869,0.0,1.4279966221330804,0.0,0.778961904019264,0.0,0.8993098489891903,0.0,0.0006901510108097142,0.0,0.287671491789773,0.0,1.7022550898005429,0.0,0.7514398173559961,0.0
transformer,Causally masked Transformer,3,0.8592219671933655,0.0,0.0407780328066345,0.0,0.32474921885884295,0.0,1.7044740885499237,0.0,0.8965752090506228,0.0,0.8814231006431448,0.0,0.018576899356855248,0.0,0.3268731951067192,0.0,1.8413628179670267,0.0,0.8885873461552704,0.0
transformer,Causally masked Transformer,6,0.8537338323722451,0.0,0.04626616762775493,0.0,0.3563817192641316,0.0,1.8688398546651002,0.0,1.013456522591885,0.0,0.8936582763863935,0.0,0.00634172361360652,0.0,0.36088906451859903,0.0,2.139810458229085,0.0,1.0042841453260614,0.0
transformer,Causally masked Transformer,12,0.863260737758559,0.0,0.03673926224144097,0.0,0.38316956976068206,0.0,2.063766281134457,0.0,1.0887041786108411,0.0,0.8893976924918794,0.0,0.010602307508120634,0.0,0.38636535081018886,0.0,2.2589438782865283,0.0,1.0841919790177987,0.0
transformer,Causally masked Transformer,24,0.8704092600421852,0.0,0.029590739957814804,0.0,0.41226389877431674,0.0,2.275076379665623,0.0,1.1842723000783848,0.0,0.880540629681884,0.0,0.019459370318116065,0.0,0.4135723864188611,0.0,2.3566252281691202,0.0,1.1810953586373405,0.0
rssm,Recurrent state-space model,1,0.5546355619885017,0.0,0.3453644380114983,0.0,0.3958910778400534,0.0,0.9591357698968072,0.0,2.4120722786945112,0.0,0.8887012518941124,0.0,0.011298748105887602,0.0,0.3850244713053095,0.0,2.2335230661864838,0.0,1.0701963030073682,0.0
rssm,Recurrent state-space model,3,0.5183826111360026,0.0,0.38161738886399743,0.0,0.43706168312658417,0.0,0.9733774813246678,0.0,2.751332831785272,0.0,0.872532512910892,0.0,0.027467487089108067,0.0,0.41651790809238276,0.0,2.301542513895479,0.0,1.148781736495114,0.0
rssm,Recurrent state-space model,6,0.49944144447655825,0.0,0.4005585555234418,0.0,0.4695556554558052,0.0,0.986318713707674,0.0,3.097128491027319,0.0,0.8773873591428295,0.0,0.02261264085717052,0.0,0.4451795089836391,0.0,2.5129243050278935,0.0,1.216654821343347,0.0
rssm,Recurrent state-space model,12,0.48997293524275665,0.0,0.4100270647572434,0.0,0.4920772929177891,0.0,1.00136481662551,0.0,3.3187230294994055,0.0,0.8743227224394533,0.0,0.02567727756054672,0.0,0.4646724385129887,0.0,2.580520853416226,0.0,1.2672725202925834,0.0
rssm,Recurrent state-space model,24,0.4846429269040763,0.0,0.41535707309592373,0.0,0.5152662963782844,0.0,1.026280836902535,0.0,3.6480146701297325,0.0,0.8768927464107406,0.0,0.02310725358925947,0.0,0.4854558494473652,0.0,2.7197732639861245,0.0,1.335892553488534,0.0
