model,model_label,horizon_hours,zero_shot_coverage_90_mean,zero_shot_coverage_90_seed_sd,zero_shot_coverage_error_90_mean,zero_shot_coverage_error_90_seed_sd,zero_shot_patient_crps_mean,zero_shot_patient_crps_seed_sd,zero_shot_mean_interval_width_scaled_mean,zero_shot_mean_interval_width_scaled_seed_sd,zero_shot_patient_nll_mean,zero_shot_patient_nll_seed_sd,recalibrated_coverage_90_mean,recalibrated_coverage_90_seed_sd,recalibrated_coverage_error_90_mean,recalibrated_coverage_error_90_seed_sd,recalibrated_patient_crps_mean,recalibrated_patient_crps_seed_sd,recalibrated_mean_interval_width_scaled_mean,recalibrated_mean_interval_width_scaled_seed_sd,recalibrated_patient_nll_mean,recalibrated_patient_nll_seed_sd
grud,Probabilistic GRU-D-style model,1,,,,,,,,,,,,,,,,,,,,
grud,Probabilistic GRU-D-style model,3,,,,,,,,,,,,,,,,,,,,
grud,Probabilistic GRU-D-style model,6,,,,,,,,,,,,,,,,,,,,
grud,Probabilistic GRU-D-style model,12,,,,,,,,,,,,,,,,,,,,
grud,Probabilistic GRU-D-style model,24,,,,,,,,,,,,,,,,,,,,
transformer,Causally masked Transformer,1,,,,,,,,,,,,,,,,,,,,
transformer,Causally masked Transformer,3,,,,,,,,,,,,,,,,,,,,
transformer,Causally masked Transformer,6,,,,,,,,,,,,,,,,,,,,
transformer,Causally masked Transformer,12,,,,,,,,,,,,,,,,,,,,
transformer,Causally masked Transformer,24,,,,,,,,,,,,,,,,,,,,
rssm,Recurrent state-space model,1,,,,,,,,,,,,,,,,,,,,
rssm,Recurrent state-space model,3,,,,,,,,,,,,,,,,,,,,
rssm,Recurrent state-space model,6,,,,,,,,,,,,,,,,,,,,
rssm,Recurrent state-space model,12,,,,,,,,,,,,,,,,,,,,
rssm,Recurrent state-space model,24,,,,,,,,,,,,,,,,,,,,
