model,seed,horizon_hours,patients,maximum_patient_nmae_difference,maximum_patient_mask_brier_difference,pass
grud,20260912,1,10245,3.1789143850602386e-07,0.0,True
grud,20260912,3,10245,2.1192762567068257e-07,0.0,True
grud,20260912,6,10218,3.8146972647368216e-07,0.0,True
grud,20260912,12,10178,1.9073486334786338e-07,0.0,True
grud,20260912,24,10162,2.7247837608435077e-07,0.0,True
transformer,20260912,1,10245,2.384185792125848e-07,0.0,True
transformer,20260912,3,10245,2.7247837608435077e-07,0.0,True
transformer,20260912,6,10218,4.76837158203125e-07,0.0,True
transformer,20260912,12,10178,1.7339533053828404e-07,0.0,True
transformer,20260912,24,10162,4.76837158203125e-07,0.0,True
rssm,20260912,1,10245,2.384185793236071e-07,0.0,True
rssm,20260912,3,10245,2.384185791015625e-07,0.0,True
rssm,20260912,6,10218,3.178914391721577e-07,0.0,True
rssm,20260912,12,10178,2.384185791015625e-07,0.0,True
rssm,20260912,24,10162,2.724783763063954e-07,0.0,True
