evaluation,split,model,seed,metric,normalized_rollout_area
recalibrated,external_test,grud,20260912,patient_nmae,0.508673234949703
recalibrated,external_test,grud,20260912,patient_crps,0.38127855963246443
recalibrated,external_test,grud,20260912,coverage_error_90,0.011788653806030544
recalibrated,external_test,grud,20260912,mask_brier,0.06329042587997691
recalibrated,external_test,rssm,20260912,patient_nmae,0.6069463826611557
recalibrated,external_test,rssm,20260912,patient_crps,0.4575832206636405
recalibrated,external_test,rssm,20260912,coverage_error_90,0.023976668228974016
recalibrated,external_test,rssm,20260912,mask_brier,0.06673504875302926
recalibrated,external_test,transformer,20260912,patient_nmae,0.5062874542115448
recalibrated,external_test,transformer,20260912,patient_crps,0.37772077155196226
recalibrated,external_test,transformer,20260912,coverage_error_90,0.01251509326721562
recalibrated,external_test,transformer,20260912,mask_brier,0.06292304029058038
zero_shot,external_test,global_median,-1,patient_nmae,0.6656014005918268
zero_shot,external_test,grud,20260912,patient_nmae,0.5086732349043387
zero_shot,external_test,grud,20260912,patient_crps,0.3767321162300416
zero_shot,external_test,grud,20260912,coverage_error_90,0.0619702321450782
zero_shot,external_test,grud,20260912,mask_brier,0.06329042587997691
zero_shot,external_test,hourly_median,-1,patient_nmae,0.6652399334533944
zero_shot,external_test,locf,-1,patient_nmae,0.5516044851850779
zero_shot,external_test,ridge_var,-1,patient_nmae,0.5158027484896904
zero_shot,external_test,rssm,20260912,patient_nmae,0.6069463826218296
zero_shot,external_test,rssm,20260912,patient_crps,0.48355822390162795
zero_shot,external_test,rssm,20260912,coverage_error_90,0.4036655404964223
zero_shot,external_test,rssm,20260912,mask_brier,0.06673504875302926
zero_shot,external_test,transformer,20260912,patient_nmae,0.5062874541088632
zero_shot,external_test,transformer,20260912,patient_crps,0.37478333199014024
zero_shot,external_test,transformer,20260912,coverage_error_90,0.03765170309926414
zero_shot,external_test,transformer,20260912,mask_brier,0.06292304029058038
zero_shot,internal_test,global_median,-1,patient_nmae,0.6215072310914886
zero_shot,internal_test,grud,20260912,patient_nmae,0.48253277553511925
zero_shot,internal_test,grud,20260912,patient_crps,0.3549691897180893
zero_shot,internal_test,grud,20260912,coverage_error_90,0.05384504162413332
zero_shot,internal_test,grud,20260912,mask_brier,0.07452722284971033
zero_shot,internal_test,hourly_median,-1,patient_nmae,0.6193006376883767
zero_shot,internal_test,locf,-1,patient_nmae,0.5346676348334876
zero_shot,internal_test,ridge_var,-1,patient_nmae,0.4965896579655994
zero_shot,internal_test,rssm,20260912,patient_nmae,0.579012203029278
zero_shot,internal_test,rssm,20260912,patient_crps,0.4563055659254075
zero_shot,internal_test,rssm,20260912,coverage_error_90,0.3848851279731604
zero_shot,internal_test,rssm,20260912,mask_brier,0.08189470627102402
zero_shot,internal_test,transformer,20260912,patient_nmae,0.48267044288918254
zero_shot,internal_test,transformer,20260912,patient_crps,0.3557756615829525
zero_shot,internal_test,transformer,20260912,coverage_error_90,0.04484557351938018
zero_shot,internal_test,transformer,20260912,mask_brier,0.07372107751174456
