evaluation,split,model,horizon_hours,metric,seeds,mean,standard_deviation,minimum,maximum
recalibrated,external_test,grud,1,patient_nmae,5,0.3770301001051312,0.0010095795205941672,0.37583533797308705,0.37807037099482205
recalibrated,external_test,grud,1,patient_crps,5,0.2885505984721882,0.000524997985790431,0.2880265918382754,0.28920436072907707
recalibrated,external_test,grud,1,coverage_90,5,0.9001633512416503,0.00466721467008775,0.896353974604632,0.9079517964607787
recalibrated,external_test,grud,1,mean_interval_width_scaled,5,1.7048574309800242,0.03043416315425692,1.6821380280295553,1.758081097744714
recalibrated,external_test,grud,1,patient_nll,5,0.7754352326104929,0.01127316935874567,0.7616932782940293,0.788007259693501
recalibrated,external_test,grud,1,mask_brier,5,0.06326657633177614,0.0006357595731034718,0.062252530207950386,0.06400282892466963
recalibrated,external_test,grud,1,coverage_error_90,5,0.00330259816372358,0.0028604726922451485,0.0007130770526558861,0.007951796460778704
recalibrated,external_test,grud,3,patient_nmae,5,0.4367383346746784,0.0009170231334768921,0.43594784761237754,0.43797619222883366
recalibrated,external_test,grud,3,patient_crps,5,0.32784788353307154,0.0006202236255702162,0.32700658269785265,0.32859492946508634
recalibrated,external_test,grud,3,coverage_90,5,0.8818450356388619,0.0020930920381953184,0.8800888886306454,0.8846759398522227
recalibrated,external_test,grud,3,mean_interval_width_scaled,5,1.8254645130229548,0.016719083248458198,1.8119310337540249,1.8538238644906275
recalibrated,external_test,grud,3,patient_nll,5,0.8971568932458462,0.002347210648410334,0.8935047087111586,0.8992062541340006
recalibrated,external_test,grud,3,mask_brier,5,0.060254797465045494,0.001003711989971727,0.058712223978869216,0.061178739686815524
recalibrated,external_test,grud,3,coverage_error_90,5,0.018154964361138237,0.0020930920381953184,0.015324060147777319,0.01991111136935464
recalibrated,external_test,grud,6,patient_nmae,5,0.48296970510986076,0.0012198761513863526,0.4814560484970058,0.48446110174906687
recalibrated,external_test,grud,6,patient_crps,5,0.36221886480324494,0.0018277906292505086,0.3604010141953019,0.36522304626670277
recalibrated,external_test,grud,6,coverage_90,5,0.8890567465662009,0.005760076649994936,0.8832553392836267,0.8974728695358235
recalibrated,external_test,grud,6,mean_interval_width_scaled,5,2.0732760027354855,0.051572639310110205,2.0213435881272224,2.1545586601053515
recalibrated,external_test,grud,6,patient_nll,5,1.0081353849064425,0.004916871937621476,1.002876800537191,1.0161544567184666
recalibrated,external_test,grud,6,mask_brier,5,0.061407051348041676,0.0014698084422892792,0.059265925815294766,0.06304320400702373
recalibrated,external_test,grud,6,coverage_error_90,5,0.010943253433799049,0.005760076649994936,0.002527130464176519,0.016744660716373372
recalibrated,external_test,grud,12,patient_nmae,5,0.5215633531369401,0.0013148921403047947,0.5197925517479932,0.5234771297863247
recalibrated,external_test,grud,12,patient_crps,5,0.3884651310921513,0.0012113588084566227,0.3867799524418981,0.39017789679782866
recalibrated,external_test,grud,12,coverage_90,5,0.8841097454368414,0.0027308709334560545,0.8803199371321091,0.8871951760598354
recalibrated,external_test,grud,12,mean_interval_width_scaled,5,2.1839052231230776,0.01898639532014088,2.1685225369366905,2.2129109733772263
recalibrated,external_test,grud,12,patient_nll,5,1.0874309297160496,0.004994728549286909,1.0802219450326513,1.0941523974926382
recalibrated,external_test,grud,12,mask_brier,5,0.061679708261577905,0.0019974231089990068,0.05893757250653091,0.06441513477707758
recalibrated,external_test,grud,12,coverage_error_90,5,0.01589025456315858,0.002730870933456055,0.012804823940164578,0.019680062867890924
recalibrated,external_test,grud,24,patient_nmae,5,0.5607335386481628,0.002968429230288138,0.5563406048696,0.5642600747524824
recalibrated,external_test,grud,24,patient_crps,5,0.4165052190591078,0.002191845754898149,0.41297047386565133,0.418533659791432
recalibrated,external_test,grud,24,coverage_90,5,0.882836020974503,0.004110891126336464,0.8763965985664265,0.8865973718298354
recalibrated,external_test,grud,24,mean_interval_width_scaled,5,2.321830486806494,0.02527827464912196,2.293319955051526,2.359531946031413
recalibrated,external_test,grud,24,patient_nll,5,1.1669726909942486,0.007735783151020312,1.1545976643928146,1.17371216993391
recalibrated,external_test,grud,24,mask_brier,5,0.06595069208779343,0.0023756182516256187,0.06335464248015853,0.06981834930542118
recalibrated,external_test,grud,24,coverage_error_90,5,0.01716397902549689,0.004110891126336465,0.013402628170164577,0.023603401433573534
recalibrated,external_test,rssm,1,patient_nmae,5,0.4957539996298695,0.014247985773660021,0.47246522578619393,0.5067167952685495
recalibrated,external_test,rssm,1,patient_crps,5,0.37928248990579044,0.010204145329895182,0.36305537686409095,0.38811595664235576
recalibrated,external_test,rssm,1,coverage_90,5,0.8959911218958844,0.004494001433129598,0.8887012518941124,0.9001416647613001
recalibrated,external_test,rssm,1,mean_interval_width_scaled,5,2.2572058502247847,0.05333068309446842,2.202784127719818,2.3309896285549576
recalibrated,external_test,rssm,1,patient_nll,5,1.0545450266789511,0.026768595036588193,1.008960687045537,1.0729580953929077
recalibrated,external_test,rssm,1,mask_brier,5,0.07149348035404479,0.0004483490201628988,0.07095631575463396,0.07219368080249948
recalibrated,external_test,rssm,1,coverage_error_90,5,0.0040655440086356355,0.004429911775684867,0.00014166476130006433,0.011298748105887602
recalibrated,external_test,rssm,3,patient_nmae,5,0.5477926823208442,0.008960026421953093,0.5326613783018294,0.5550510329137057
recalibrated,external_test,rssm,3,patient_crps,5,0.4139144803727464,0.006653365178393977,0.40244560658090495,0.41936766050248786
recalibrated,external_test,rssm,3,coverage_90,5,0.8749979112805267,0.0030612111570597427,0.872532512910892,0.8784658006064335
recalibrated,external_test,rssm,3,mean_interval_width_scaled,5,2.317865674881926,0.041698285798763855,2.25164765480269,2.3484019359746706
recalibrated,external_test,rssm,3,patient_nll,5,1.142898783773745,0.014615335540080335,1.1196066701624978,1.1586740144855574
recalibrated,external_test,rssm,3,mask_brier,5,0.0671612712798172,0.0004266318927671736,0.06671539454990105,0.06786144357887583
recalibrated,external_test,rssm,3,coverage_error_90,5,0.025002088719473382,0.0030612111570597427,0.02153419939356649,0.027467487089108067
recalibrated,external_test,rssm,6,patient_nmae,5,0.5900933975627545,0.005692569296994866,0.5801877264046017,0.5943314882487896
recalibrated,external_test,rssm,6,patient_crps,5,0.4463762303117176,0.00539246340719237,0.4375462878743625,0.45086415791717943
recalibrated,external_test,rssm,6,coverage_90,5,0.8800381522933126,0.003260134749612306,0.8773873591428295,0.8849329604477437
recalibrated,external_test,rssm,6,mean_interval_width_scaled,5,2.548109558596315,0.04519739903904019,2.4928392432668995,2.604219759485006
recalibrated,external_test,rssm,6,patient_nll,5,1.221471049339479,0.009312066550720168,1.2078448100367265,1.2316461394766463
recalibrated,external_test,rssm,6,mask_brier,5,0.06569005092223926,0.0003954812287085874,0.06540394140335891,0.06636681708306932
recalibrated,external_test,rssm,6,coverage_error_90,5,0.019961847706687498,0.003260134749612306,0.0150670395522563,0.02261264085717052
recalibrated,external_test,rssm,12,patient_nmae,5,0.6219893634001052,0.004735264874518128,0.6164592913720108,0.6271200871891894
recalibrated,external_test,rssm,12,patient_crps,5,0.4706221799280055,0.005659384156764495,0.4646724385129887,0.47727355450215553
recalibrated,external_test,rssm,12,coverage_90,5,0.878357172546016,0.0032791098471337014,0.8743227224394533,0.8830922009635738
recalibrated,external_test,rssm,12,mean_interval_width_scaled,5,2.662935971634113,0.06479089228909732,2.580520853416226,2.7442115090144195
recalibrated,external_test,rssm,12,patient_nll,5,1.2794783354242147,0.011389854404107039,1.2672725202925834,1.2918579921752658
recalibrated,external_test,rssm,12,mask_brier,5,0.06451773984063278,0.0003747265577769683,0.06409915874342793,0.06512061852069143
recalibrated,external_test,rssm,12,coverage_error_90,5,0.021642827453983958,0.003279109847133701,0.016907799036426252,0.02567727756054672
recalibrated,external_test,rssm,24,patient_nmae,5,0.653899662390526,0.008073546683941531,0.6437266360060483,0.6660697940939593
recalibrated,external_test,rssm,24,patient_crps,5,0.49507862063402835,0.007514745763917938,0.4854558494473652,0.5057933682462532
recalibrated,external_test,rssm,24,coverage_90,5,0.8779110903607096,0.0022301227937132255,0.8760735014521259,0.8813238164036129
recalibrated,external_test,rssm,24,mean_interval_width_scaled,5,2.7861206062379535,0.041513649495638634,2.7197732639861245,2.8347340641586865
recalibrated,external_test,rssm,24,patient_nll,5,1.3468855061356693,0.011849899519664217,1.335892553488534,1.3607880702512078
recalibrated,external_test,rssm,24,mask_brier,5,0.06760302315093907,0.0004081350279032586,0.06700765342657311,0.06805376466832483
recalibrated,external_test,rssm,24,coverage_error_90,5,0.022088909639290423,0.0022301227937132255,0.01867618359638712,0.023926498547874098
recalibrated,external_test,transformer,1,patient_nmae,5,0.37683644347098444,0.0015721573116418673,0.3745293304576786,0.3786294081809303
recalibrated,external_test,transformer,1,patient_crps,5,0.28834660024144465,0.0007961829378653163,0.2876249615899497,0.28950957915879516
recalibrated,external_test,transformer,1,coverage_90,5,0.9017287767625198,0.0027116093607168507,0.8993098489891903,0.906299536124898
recalibrated,external_test,transformer,1,mean_interval_width_scaled,5,1.7160774090902913,0.01567790407039947,1.7022550898005429,1.7410583004907794
recalibrated,external_test,transformer,1,patient_nll,5,0.7571258749120187,0.00646254525683017,0.7514398173559961,0.7672303591184059
recalibrated,external_test,transformer,1,mask_brier,5,0.06294795111880867,0.000435363279264007,0.06240716822273436,0.06346717490340807
recalibrated,external_test,transformer,1,coverage_error_90,5,0.0020048371668438536,0.0024626097156198773,0.00016357049805715285,0.006299536124897975
recalibrated,external_test,transformer,3,patient_nmae,5,0.43886293211454663,0.0019430724055158144,0.436819549518199,0.4416472680412595
