model,seed,horizon_hours,spread_scale,observed_targets
grud,20260912,1,1.1971719972054484,21601
grud,20260912,3,1.1616282207791817,21247
grud,20260912,6,1.2403331921877012,20979
grud,20260912,12,1.176845847129694,21100
grud,20260912,24,1.141363798989259,20878
grud,20260913,1,1.146122385002872,21601
grud,20260913,3,1.0882070048353205,21247
grud,20260913,6,1.1438930506050968,20979
grud,20260913,12,1.113274166955933,21100
grud,20260913,24,1.1185756180196695,20878
grud,20260914,1,1.1458641648970713,21601
grud,20260914,3,1.1059400444874472,21247
grud,20260914,6,1.1567795274274684,20979
grud,20260914,12,1.1271696126855204,21100
grud,20260914,24,1.1313814346502444,20878
grud,20260915,1,1.1637120670591379,21601
grud,20260915,3,1.1213346393316639,21247
grud,20260915,6,1.1595093813954052,20979
grud,20260915,12,1.144893079007512,21100
grud,20260915,24,1.1183927337717734,20878
grud,20260916,1,1.2421447484837664,21601
grud,20260916,3,1.1335661944538435,21247
grud,20260916,6,1.1625266802552436,20979
grud,20260916,12,1.1517809330748305,21100
grud,20260916,24,1.1354460185652806,20878
transformer,20260912,1,1.1920581741127483,21601
transformer,20260912,3,1.0803114244975296,21247
transformer,20260912,6,1.1449940376122472,20979
transformer,20260912,12,1.0945735483581651,21100
transformer,20260912,24,1.0358444063313945,20878
transformer,20260913,1,1.1591691433070965,21601
transformer,20260913,3,1.0225329070577676,21247
transformer,20260913,6,1.070185403414398,20979
transformer,20260913,12,1.0207853201245942,21100
transformer,20260913,24,0.9680712376319004,20878
transformer,20260914,1,1.1666604899187676,21601
transformer,20260914,3,1.031412643479283,21247
transformer,20260914,6,1.0928297228924884,20979
transformer,20260914,12,1.0607076040209995,21100
transformer,20260914,24,1.0257247061543393,20878
transformer,20260915,1,1.1839778501271687,21601
transformer,20260915,3,1.0527577953389733,21247
transformer,20260915,6,1.0730859938135886,20979
transformer,20260915,12,1.0460441403929819,21100
transformer,20260915,24,1.0191717951719035,20878
transformer,20260916,1,1.2739757787594101,21601
transformer,20260916,3,1.1042648508981971,21247
transformer,20260916,6,1.1401881402284886,20979
transformer,20260916,12,1.125044762402351,21100
transformer,20260916,24,1.091156975891745,20878
rssm,20260912,1,2.3286829170230883,21601
rssm,20260912,3,2.364491124674626,21247
rssm,20260912,6,2.5477812956643002,20979
rssm,20260912,12,2.5770036775446057,21100
rssm,20260912,24,2.650125686459301,20878
rssm,20260913,1,2.2226101230155404,21601
rssm,20260913,3,2.305847179447823,21247
rssm,20260913,6,2.503909005643262,20979
rssm,20260913,12,2.5717657775334057,21100
rssm,20260913,24,2.6632840132988966,20878
rssm,20260914,1,2.3986631480525875,21601
rssm,20260914,3,2.395924765666016,21247
rssm,20260914,6,2.598921442898886,20979
rssm,20260914,12,2.713000567131324,21100
rssm,20260914,24,2.805965016089143,20878
rssm,20260915,1,2.2714350733797324,21601
rssm,20260915,3,2.2490170114703534,21247
rssm,20260915,6,2.4035071684334812,20979
rssm,20260915,12,2.400620543300031,21100
rssm,20260915,24,2.4611347263694423,20878
rssm,20260916,1,2.352041100973289,21601
rssm,20260916,3,2.3761628076594032,21247
rssm,20260916,6,2.6104698247773115,20979
rssm,20260916,12,2.7217000366484183,21100
rssm,20260916,24,2.791008185093601,20878
