model,model_label,seed,internal_test_patient_nmae_12h,external_test_patient_nmae_12h,internal_test_coverage_90_12h,external_test_coverage_90_12h,internal_test_mask_brier_12h,external_test_mask_brier_12h,relative_nmae_degradation_percent
locf,Last observation carried forward,-1,0.5525316803882975,0.5752986591510477,,,,,4.120483869223664
global_median,Global median,-1,0.6196818214300599,0.6634230813143884,,,,,7.058664361556613
hourly_median,Hourly median,-1,0.6179801683956204,0.6617272366683973,,,,,7.079040802612088
ridge_var,Ridge vector autoregression,-1,0.5102423620124077,0.5300539742222081,,,,,3.882784669556439
grud,Probabilistic GRU-D-style model,20260912,0.4948916878537441,0.5214177430890261,0.8440896557806503,0.8366571445089368,0.07314122357780296,0.06246144555024608,5.359971865827999
grud,Probabilistic GRU-D-style model,20260913,0.49789708593105136,0.521784079225229,0.8500405652182877,0.8531693315672471,0.07300594699829131,0.05893757250653091,4.79757644082405
grud,Probabilistic GRU-D-style model,20260914,0.4992676275286896,0.5197925520773483,0.8469733857744373,0.8462120871048378,0.0727668076952315,0.06144299569206821,4.1110064856907425
grud,Probabilistic GRU-D-style model,20260915,0.49782016513032723,0.5234771296969704,0.8450036674417283,0.8370830482743614,0.07305726540245573,0.06441513477707758,5.153862049747671
grud,Probabilistic GRU-D-style model,20260916,0.495679071471324,0.5213452611032688,0.8339546406362714,0.837732470133859,0.07280094768576947,0.06114139278196673,5.177985335503452
transformer,Causally masked Transformer,20260912,0.4939503044092115,0.5186350327786623,0.8523928450289783,0.863260737758559,0.07226844776803328,0.06179497627809255,4.997411308203347
transformer,Causally masked Transformer,20260913,0.5020501997303319,0.5273265003742186,0.8638368954132952,0.8840027553479599,0.07256424234360723,0.06153094563450331,5.034616191262027
transformer,Causally masked Transformer,20260914,0.49518432953650626,0.520621818800447,0.8639322343994859,0.8705252668570845,0.07254056103131737,0.06309475169586026,5.136973798777173
transformer,Causally masked Transformer,20260915,0.49145596835725835,0.5192763517887745,0.8643297738156037,0.8687141145402001,0.07255249351167446,0.06325684351458553,5.660808947851143
transformer,Causally masked Transformer,20260916,0.49265999989798576,0.517779334841175,0.8361799555414694,0.8501597498617285,0.07272870755853166,0.06424789274358032,5.098716142652267
rssm,Recurrent state-space model,20260912,0.5888923182585164,0.6164592914671948,0.5041595696069825,0.48997293524275665,0.07960464561856322,0.06512061852069143,4.6811568692558225
rssm,Recurrent state-space model,20260913,0.5978898071915432,0.6232319274540873,0.504501290401735,0.5016539369577618,0.07941977724440201,0.06409915874342793,4.238593793994114
rssm,Recurrent state-space model,20260914,0.5957067012208328,0.6254974785419052,0.4955223435380006,0.48401605633239086,0.07987920434426352,0.06437066944239465,5.0009135804615905
rssm,Recurrent state-space model,20260915,0.5959557928831346,0.617638033552027,0.5277716126242404,0.5222836585512868,0.07983911883439447,0.0645176262609183,3.6382297022397063
rssm,Recurrent state-space model,20260916,0.5922635303339192,0.6271200874082715,0.50144650003928,0.49256944484243426,0.07972900817480902,0.06448062623573159,5.8853120763151034
