model,model_label,horizon_hours,zero_shot_coverage_90_mean,zero_shot_coverage_90_seed_sd,zero_shot_coverage_error_90_mean,zero_shot_coverage_error_90_seed_sd,zero_shot_patient_crps_mean,zero_shot_patient_crps_seed_sd,zero_shot_mean_interval_width_scaled_mean,zero_shot_mean_interval_width_scaled_seed_sd,zero_shot_patient_nll_mean,zero_shot_patient_nll_seed_sd,recalibrated_coverage_90_mean,recalibrated_coverage_90_seed_sd,recalibrated_coverage_error_90_mean,recalibrated_coverage_error_90_seed_sd,recalibrated_patient_crps_mean,recalibrated_patient_crps_seed_sd,recalibrated_mean_interval_width_scaled_mean,recalibrated_mean_interval_width_scaled_seed_sd,recalibrated_patient_nll_mean,recalibrated_patient_nll_seed_sd
grud,Probabilistic GRU-D-style model,1,0.8560185058264225,0.0064623552187866645,0.04398149417357757,0.0064623552187866645,0.2834343033252892,0.00095558338757444,1.4467684413311994,0.029692243377145107,0.8014225472407809,0.008904200288319838,0.9001633512416503,0.00466721467008775,0.00330259816372358,0.0028604726922451485,0.2885505984721882,0.000524997985790431,1.7048574309800242,0.03043416315425692,0.7754352326104929,0.01127316935874567
grud,Probabilistic GRU-D-style model,3,0.8479099974187113,0.0069790816554529175,0.05209000258128873,0.006979081655452917,0.3250062761090369,0.0006859922626591775,1.6273666916758522,0.03150819593635044,0.9165939490131476,0.007600167474540806,0.8818450356388619,0.0020930920381953184,0.018154964361138237,0.0020930920381953184,0.32784788353307154,0.0006202236255702162,1.8254645130229548,0.016719083248458198,0.8971568932458462,0.002347210648410334
grud,Probabilistic GRU-D-style model,6,0.8407497103709914,0.007223234543798019,0.05925028962900867,0.00722323454379802,0.35782304782699453,0.0007981098834595373,1.7686905092730296,0.03598797916677575,1.03319550904938,0.01042084596226189,0.8890567465662009,0.005760076649994936,0.010943253433799049,0.005760076649994936,0.36221886480324494,0.0018277906292505086,2.0732760027354855,0.051572639310110205,1.0081353849064425,0.004916871937621476
grud,Probabilistic GRU-D-style model,12,0.8421708163178483,0.007302124427087565,0.05782918368215162,0.007302124427087565,0.384967039371483,0.0008498356799535395,1.9115896740508203,0.03661939540577253,1.1100290217874664,0.009377571699825912,0.8841097454368414,0.0027308709334560545,0.01589025456315858,0.002730870933456055,0.3884651310921513,0.0012113588084566227,2.1839052231230776,0.01898639532014088,1.0874309297160496,0.004994728549286909
grud,Probabilistic GRU-D-style model,24,0.8445423375524976,0.00542977961902412,0.055457662447502346,0.00542977961902412,0.4132187299089275,0.0023043337439251255,2.0566364627934863,0.031131518726361097,1.1886462881054245,0.010455097466700891,0.882836020974503,0.004110891126336464,0.01716397902549689,0.004110891126336465,0.4165052190591078,0.002191845754898149,2.321830486806494,0.02527827464912196,1.1669726909942486,0.007735783151020312
transformer,Causally masked Transformer,1,0.854022829305239,0.008471569000929189,0.04597717069476093,0.008471569000929189,0.2828330231707662,0.0015235064871129778,1.437180496091458,0.044305926470226395,0.7828766592726595,0.006366527308350587,0.9017287767625198,0.0027116093607168507,0.0020048371668438536,0.0024626097156198773,0.28834660024144465,0.0007961829378653163,1.7160774090902913,0.01567790407039947,0.7571258749120187,0.00646254525683017
transformer,Causally masked Transformer,3,0.8630869673011947,0.00985546101431361,0.03691303269880528,0.00985546101431361,0.3262694901413231,0.0018813560026673135,1.7324736728058678,0.060722787032262034,0.8993711316094736,0.004652794186767483,0.8795821124412562,0.0014914440750775206,0.020417887558743873,0.0014914440750775206,0.32776850283078485,0.0011667872771641838,1.8317676354788737,0.011462528358017,0.8929961875011297,0.005051987206716432
transformer,Causally masked Transformer,6,0.8596712787740746,0.011418433857965133,0.04032872122592537,0.011418433857965133,0.35805754867006784,0.0022602433184004153,1.9065933914743916,0.07886755921646475,1.0116643440590916,0.006712391581649759,0.8883212165885123,0.0052890320468553945,0.011678783411487736,0.005289032046855394,0.3612200171618507,0.0018003885346978793,2.103455336842015,0.04733772700167964,1.0043459082981352,0.0042681695998509905
transformer,Causally masked Transformer,12,0.8673325248731064,0.012262571379678193,0.03266747512689361,0.012262571379678193,0.385114126157478,0.003117631015555412,2.1120364382570993,0.10042794934349335,1.0926845426248457,0.004635445508053011,0.8866063732084681,0.0033757444757786838,0.013393626791531842,0.0033757444757786838,0.38741342493004705,0.002064383615477057,2.2555417102271793,0.03459779230057595,1.0886129601011656,0.007137216635607786
transformer,Causally masked Transformer,24,0.8730829879100446,0.011768523151431554,0.02691701208995547,0.011768523151431554,0.4146798851743666,0.005243237813599968,2.3191846374190517,0.1256466121874829,1.1801059560332035,0.005876264037888745,0.8813530032936707,0.0019786339406848287,0.01864699670632928,0.0019786339406848287,0.4155816205407434,0.0036671029783025767,2.3798155708845563,0.03406125700259844,1.1767490019235578,0.0075218805780732905
rssm,Recurrent state-space model,1,0.5725469669230387,0.01552670923228649,0.3274530330769613,0.01552670923228649,0.38588282127633133,0.012761687598724621,0.9753953747179661,0.015507902296035821,2.2865837746376196,0.12965013884638096,0.8959911218958844,0.004494001433129598,0.0040655440086356355,0.004429911775684867,0.37928248990579044,0.010204145329895182,2.2572058502247847,0.05333068309446842,1.0545450266789511,0.026768595036588193
rssm,Recurrent state-space model,3,0.5317370148880989,0.012351616649597726,0.36826298511190114,0.012351616649597726,0.43102706639569266,0.008545682681665574,0.9915352267121017,0.01827382052516157,2.6574142759788084,0.14066931731701743,0.8749979112805267,0.0030612111570597427,0.025002088719473382,0.0030612111570597427,0.4139144803727464,0.006653365178393977,2.317865674881926,0.041698285798763855,1.142898783773745,0.014615335540080335
rssm,Recurrent state-space model,6,0.5073723457341816,0.011731697947277908,0.3926276542658186,0.011731697947277908,0.4679154020135711,0.006640643414484362,1.0065562951675218,0.02447779033189708,3.040456341690959,0.16237881817097277,0.8800381522933126,0.003260134749612306,0.019961847706687498,0.003260134749612306,0.4463762303117176,0.00539246340719237,2.548109558596315,0.04519739903904019,1.221471049339479,0.009312066550720168
rssm,Recurrent state-space model,12,0.4980992063853261,0.014937147458831804,0.401900793614674,0.014937147458831804,0.4956887318482659,0.0064822896643936525,1.0268797877251292,0.039638966079901736,3.2855511800886923,0.26247394426151077,0.878357172546016,0.0032791098471337014,0.021642827453983958,0.003279109847133701,0.4706221799280055,0.005659384156764495,2.662935971634113,0.06479089228909732,1.2794783354242147,0.011389854404107039
rssm,Recurrent state-space model,24,0.48768581709827813,0.020402077682052943,0.4123141829017219,0.020402077682052943,0.5236822091798825,0.009803267725330972,1.0439468627827622,0.05390055053990754,3.6564783758487884,0.3799381794376715,0.8779110903607096,0.0022301227937132255,0.022088909639290423,0.0022301227937132255,0.49507862063402835,0.007514745763917938,2.7861206062379535,0.041513649495638634,1.3468855061356693,0.011849899519664217
