model,model_label,horizon_hours,zero_shot_coverage_90_mean,zero_shot_coverage_90_seed_sd,zero_shot_coverage_error_90_mean,zero_shot_coverage_error_90_seed_sd,zero_shot_patient_crps_mean,zero_shot_patient_crps_seed_sd,zero_shot_mean_interval_width_scaled_mean,zero_shot_mean_interval_width_scaled_seed_sd,zero_shot_patient_nll_mean,zero_shot_patient_nll_seed_sd,recalibrated_coverage_90_mean,recalibrated_coverage_90_seed_sd,recalibrated_coverage_error_90_mean,recalibrated_coverage_error_90_seed_sd,recalibrated_patient_crps_mean,recalibrated_patient_crps_seed_sd,recalibrated_mean_interval_width_scaled_mean,recalibrated_mean_interval_width_scaled_seed_sd,recalibrated_patient_nll_mean,recalibrated_patient_nll_seed_sd
grud,Probabilistic GRU-D-style model,1,0.8575193253917753,0.0063770147807104376,0.04248067460822472,0.0063770147807104376,0.2836115235796042,0.0010040614309963067,1.4541025537970256,0.028581655852677742,0.8039705612617776,0.007901299936806796,0.9005200500559334,0.005309955750741888,0.0038123867007839873,0.003029385473543935,0.28867401032032847,0.000515713698062555,1.7068442998009257,0.0347658845870983,0.7788707211896088,0.00952690495420094
grud,Probabilistic GRU-D-style model,3,0.8499616180231733,0.006073093141633327,0.05003838197682678,0.006073093141633327,0.3250392996644175,0.0007875130546036486,1.6352373791454136,0.030177868379457507,0.9142212707532777,0.006283792381120252,0.8811373095855215,0.0015818358311253183,0.018862690414478467,0.001581835831125318,0.3276611220500678,0.0005295005043079275,1.8183746751560368,0.006131746871590317,0.8966638831709979,0.0023927956197722757
grud,Probabilistic GRU-D-style model,6,0.842715956200457,0.006617603187988903,0.057284043799542966,0.006617603187988903,0.35757664525660177,0.0006667415817190896,1.776593002162275,0.036201062142528787,1.0290532577488314,0.005513958213443351,0.8869527158237953,0.0038373178460789324,0.013047284176204682,0.0038373178460789324,0.3614678194373805,0.0008330449179115072,2.0529553383930192,0.028168306748655676,1.0061306169534365,0.0023324256112382032
grud,Probabilistic GRU-D-style model,12,0.8435492342700763,0.007643807157304804,0.05645076572992372,0.007643807157304804,0.3847623856330609,0.0008268856589003843,1.919393433182631,0.03717502453615372,1.1062921324373847,0.004914894493490232,0.883338387781093,0.0024447748062036406,0.01666161221890708,0.00244477480620364,0.38803693966573205,0.0008568552382834711,2.176653785559541,0.01140564033352425,1.0857505627719024,0.003799850513928071
grud,Probabilistic GRU-D-style model,24,0.8453647938874337,0.00589919029435827,0.054635206112566365,0.00589919029435827,0.41305599797578224,0.002627431088361399,2.0612159863611454,0.03394723901735449,1.1856486646751894,0.00926501173884825,0.8829179404099415,0.004742133399371946,0.01708205959005854,0.004742133399371946,0.41626661476456317,0.0024547987742078643,2.320672439069024,0.029035284199863592,1.1652878212593332,0.0078015734174965426
transformer,Causally masked Transformer,1,0.8544406703869823,0.009722449999154338,0.04555932961301759,0.009722449999154338,0.28296219610208606,0.0017272883508924356,1.4394764645810523,0.050815453868012186,0.7838553480860084,0.006903478446995891,0.9023335087058524,0.002713993787439271,0.0023335087058523885,0.002713993787439271,0.2885153773543626,0.0008095090704233967,1.7195329889127287,0.015751889473730876,0.7585473893010242,0.0064972789592595915
transformer,Causally masked Transformer,3,0.8640532173281521,0.011103267761140142,0.03594678267184798,0.011103267761140142,0.3266495579619432,0.001938123720652851,1.7394735688698537,0.06774721780690744,0.9000701122491863,0.005060385238424907,0.879121865390784,0.0012464716559110578,0.02087813460921603,0.0012464716559110578,0.32799232976180126,0.0012170456441240938,1.8293688398568353,0.011697205032359607,0.8940983978375948,0.005092247258696455
transformer,Causally masked Transformer,6,0.8611556403745321,0.01261554517063042,0.03884435962546798,0.01261554517063042,0.3584765060215519,0.002375169761388576,1.9160317756767145,0.08774718544401135,1.0112162994258933,0.007663983366258342,0.886986951639042,0.00504282265082277,0.01301304836095804,0.00504282265082277,0.36130275532266365,0.0020679042078387976,2.094366556495247,0.049367070762153534,1.0043613490411536,0.004928296480579248
transformer,Causally masked Transformer,12,0.8683504716517433,0.013913522373145588,0.03164952834825677,0.013913522373145588,0.3856002652566769,0.003374011861331277,2.12410397753776,0.11169986862354454,1.093679633628347,0.004695575865554601,0.8859085433876154,0.0034565529016431056,0.014091456612384645,0.0034565529016431056,0.3876754434600116,0.002285727064962398,2.254691168212342,0.03988968326904883,1.0897182053720071,0.00773149625536195
transformer,Causally masked Transformer,24,0.8737514198770093,0.013479076659449049,0.02624858012299064,0.013479076659449049,0.4152838817743792,0.0058500693221911326,2.330211701857409,0.14226309150562472,1.1790643700219081,0.00622960372718881,0.8815560966966175,0.0022237378801251515,0.01844390330338258,0.0022237378801251515,0.41608392907121394,0.00403089319374886,2.3856131565634158,0.03637048675466598,1.1756624127451119,0.008219919481943023
rssm,Recurrent state-space model,1,0.5770248181566731,0.0137026976045435,0.3229751818433271,0.0137026976045435,0.3833807571354009,0.013244321829412547,0.9794602759232558,0.014508752511481416,2.255211648623397,0.12589999761516787,0.8978135893963273,0.0021875739774511673,0.002257242984322644,0.002089451400948545,0.3778469945559107,0.011184593416302008,2.2631265462343597,0.05965331567352169,1.050632207596847,0.029212027531742443
rssm,Recurrent state-space model,3,0.535075615826123,0.011362579093483068,0.3649243841738771,0.011362579093483068,0.42951841221296977,0.009066311655830264,0.9960746630589602,0.017546133661481014,2.6339346370271928,0.150693461959235,0.8756142608729354,0.0031562804370113395,0.02438573912706471,0.0031562804370113395,0.41326362344283724,0.007496594291722253,2.321946465128538,0.04698202199950081,1.1414280455934027,0.016443547020986795
rssm,Recurrent state-space model,6,0.5093550710485872,0.012542022078555842,0.3906449289514128,0.012542022078555842,0.4675053386530126,0.007594505484008097,1.0116156905324838,0.025064578252647605,3.0262883043568696,0.1838956739788478,0.8807008505809333,0.003353134550149016,0.01929914941906674,0.003353134550149016,0.4466754106437372,0.006178577748163072,2.5569058719884206,0.04698835647879263,1.2226751063385117,0.010293416482421531
rssm,Recurrent state-space model,12,0.5001307741709684,0.016430947867508493,0.3998692258290316,0.016430947867508493,0.4965915915808851,0.00711283354781377,1.033258530500034,0.04270528202992537,3.2772582177360143,0.3023214741370075,0.8793657850726567,0.0027485912137157646,0.02063421492734327,0.0027485912137157646,0.4721096152817597,0.005287256298667271,2.683539751188585,0.0526026750139962,1.2825297892071226,0.01053071269513731
rssm,Recurrent state-space model,24,0.4884465396468286,0.02347626545443027,0.4115534603531714,0.02347626545443027,0.5257861873802822,0.009931125263918697,1.0483633692528194,0.061185419848248754,3.6585943022785523,0.43868080190670367,0.8781656763482019,0.0024898132593703308,0.02183432365179816,0.0024898132593703308,0.4974843134306941,0.006059110466801137,2.8027074418009104,0.021533463089923852,1.349633744297453,0.011699347768527624
