model,seed,horizon_hours,patients,maximum_patient_nmae_difference,maximum_patient_mask_brier_difference,pass
grud,20260912,1,10245,3.1789143850602386e-07,0.0,True
grud,20260912,3,10245,2.1192762567068257e-07,0.0,True
grud,20260912,6,10218,3.8146972647368216e-07,0.0,True
grud,20260912,12,10178,1.9073486334786338e-07,0.0,True
grud,20260912,24,10162,2.7247837608435077e-07,0.0,True
grud,20260913,1,10245,2.7247837586230617e-07,0.0,True
grud,20260913,3,10245,1.9073486334786338e-07,0.0,True
grud,20260913,6,10218,3.1789143850602386e-07,0.0,True
grud,20260913,12,10178,2.384185795456517e-07,0.0,True
grud,20260913,24,10162,2.543131512044994e-07,0.0,True
grud,20260914,1,10245,3.1789143872806847e-07,0.0,True
grud,20260914,3,10245,1.9073486301479647e-07,0.0,True
grud,20260914,6,10218,4.768371579810804e-07,0.0,True
grud,20260914,12,10178,2.0435878211877423e-07,0.0,True
grud,20260914,24,10162,2.384185791015625e-07,0.0,True
grud,20260915,1,10245,2.384185793236071e-07,0.0,True
grud,20260915,3,10245,2.384185791015625e-07,0.0,True
grud,20260915,6,10218,3.576278687078549e-07,0.0,True
grud,20260915,12,10178,2.0435878211877423e-07,0.0,True
grud,20260915,24,10162,2.384185791015625e-07,0.0,True
grud,20260916,1,10245,4.76837158203125e-07,0.0,True
grud,20260916,3,10245,1.9073486323684108e-07,0.0,True
grud,20260916,6,10218,2.384185791015625e-07,0.0,True
grud,20260916,12,10178,1.9073486345888568e-07,0.0,True
grud,20260916,24,10162,3.8146972602959295e-07,0.0,True
transformer,20260912,1,10245,2.384185792125848e-07,0.0,True
transformer,20260912,3,10245,2.7247837608435077e-07,0.0,True
transformer,20260912,6,10218,4.76837158203125e-07,0.0,True
transformer,20260912,12,10178,1.7339533053828404e-07,0.0,True
transformer,20260912,24,10162,4.76837158203125e-07,0.0,True
transformer,20260913,1,10245,4.76837158203125e-07,0.0,True
transformer,20260913,3,10245,3.1789143872806847e-07,0.0,True
transformer,20260913,6,10218,2.384185791015625e-07,0.0,True
transformer,20260913,12,10178,1.9073486345888568e-07,0.0,True
transformer,20260913,24,10162,3.1789143850602386e-07,0.0,True
transformer,20260914,1,10245,3.576278685968326e-07,0.0,True
transformer,20260914,3,10245,2.384185793236071e-07,0.0,True
transformer,20260914,6,10218,3.5762786865234375e-07,0.0,True
transformer,20260914,12,10178,3.1789143850602386e-07,0.0,True
transformer,20260914,24,10162,2.384185791015625e-07,0.0,True
transformer,20260915,1,10245,2.384185791015625e-07,0.0,True
transformer,20260915,3,10245,2.384185791015625e-07,0.0,True
transformer,20260915,6,10218,2.384185791015625e-07,0.0,True
transformer,20260915,12,10178,2.741813659445924e-07,0.0,True
transformer,20260915,24,10162,2.384185793236071e-07,0.0,True
transformer,20260916,1,10245,1.5894571969710114e-07,0.0,True
transformer,20260916,3,10245,2.384185788795179e-07,0.0,True
transformer,20260916,6,10218,3.57627868700916e-07,0.0,True
transformer,20260916,12,10178,3.1789143850602386e-07,0.0,True
transformer,20260916,24,10162,2.017387976671614e-07,0.0,True
rssm,20260912,1,10245,2.384185793236071e-07,0.0,True
rssm,20260912,3,10245,2.384185791015625e-07,0.0,True
rssm,20260912,6,10218,3.178914391721577e-07,0.0,True
rssm,20260912,12,10178,2.384185791015625e-07,0.0,True
rssm,20260912,24,10162,2.724783763063954e-07,0.0,True
rssm,20260913,1,10245,2.384185791015625e-07,0.0,True
rssm,20260913,3,10245,2.384185791015625e-07,0.0,True
rssm,20260913,6,10218,3.1789143895011307e-07,0.0,True
rssm,20260913,12,10178,2.384185791015625e-07,0.0,True
rssm,20260913,24,10162,3.1789143872806847e-07,0.0,True
rssm,20260914,1,10245,2.384185795456517e-07,0.0,True
rssm,20260914,3,10245,3.1789143872806847e-07,0.0,True
rssm,20260914,6,10218,2.384185793236071e-07,0.0,True
rssm,20260914,12,10178,3.1789143895011307e-07,0.0,True
rssm,20260914,24,10162,3.1789143850602386e-07,0.0,True
rssm,20260915,1,10245,2.0435878211877423e-07,0.0,True
rssm,20260915,3,10245,2.384185791015625e-07,0.0,True
rssm,20260915,6,10218,4.768371586472142e-07,0.0,True
rssm,20260915,12,10178,3.1789143850602386e-07,0.0,True
rssm,20260915,24,10162,2.384185791015625e-07,0.0,True
rssm,20260916,1,10245,3.1789143895011307e-07,0.0,True
rssm,20260916,3,10245,3.1789143895011307e-07,0.0,True
rssm,20260916,6,10218,4.76837158203125e-07,0.0,True
rssm,20260916,12,10178,4.2385525178545436e-07,0.0,True
rssm,20260916,24,10162,3.1789143895011307e-07,0.0,True
