evaluation,split,model,seed,metric,normalized_rollout_area
recalibrated,external_test,grud,20260912,patient_nmae,0.508673234949703
recalibrated,external_test,grud,20260912,patient_crps,0.38127855963246443
recalibrated,external_test,grud,20260912,coverage_error_90,0.011788653806030544
recalibrated,external_test,grud,20260912,mask_brier,0.06329042587997691
recalibrated,external_test,grud,20260913,patient_nmae,0.5094724447695411
recalibrated,external_test,grud,20260913,patient_crps,0.3803944278601771
recalibrated,external_test,grud,20260913,coverage_error_90,0.01293664944262536
recalibrated,external_test,grud,20260913,mask_brier,0.0602737288592904
recalibrated,external_test,grud,20260914,patient_nmae,0.5066126980798896
recalibrated,external_test,grud,20260914,patient_crps,0.37796904621877525
recalibrated,external_test,grud,20260914,coverage_error_90,0.013842021057171621
recalibrated,external_test,grud,20260914,mask_brier,0.062390173340443285
recalibrated,external_test,grud,20260915,patient_nmae,0.5108642726586116
recalibrated,external_test,grud,20260915,patient_crps,0.37988352466424263
recalibrated,external_test,grud,20260915,coverage_error_90,0.0192261864354721
recalibrated,external_test,grud,20260915,mask_brier,0.0651462601708658
recalibrated,external_test,grud,20260916,patient_nmae,0.5080101799569586
recalibrated,external_test,grud,20260916,patient_crps,0.3790337227337924
recalibrated,external_test,grud,20260916,coverage_error_90,0.016974057680455474
recalibrated,external_test,grud,20260916,mask_brier,0.06217263521497558
recalibrated,external_test,rssm,20260912,patient_nmae,0.6069463826611557
recalibrated,external_test,rssm,20260912,patient_crps,0.4575832206636405
recalibrated,external_test,rssm,20260912,coverage_error_90,0.023976668228974016
recalibrated,external_test,rssm,20260912,mask_brier,0.06673504875302926
recalibrated,external_test,rssm,20260913,patient_nmae,0.6111608407619563
recalibrated,external_test,rssm,20260913,patient_crps,0.46273384159223413
recalibrated,external_test,rssm,20260913,coverage_error_90,0.020029150081411456
recalibrated,external_test,rssm,20260913,mask_brier,0.06574358195933609
recalibrated,external_test,rssm,20260914,patient_nmae,0.6142932776283052
recalibrated,external_test,rssm,20260914,patient_crps,0.46601070724006677
recalibrated,external_test,rssm,20260914,coverage_error_90,0.021605288951541284
recalibrated,external_test,rssm,20260914,mask_brier,0.06600998774477415
recalibrated,external_test,rssm,20260915,patient_nmae,0.603503769051102
recalibrated,external_test,rssm,20260915,patient_crps,0.45533380599952933
recalibrated,external_test,rssm,20260915,coverage_error_90,0.021318667251704615
recalibrated,external_test,rssm,20260915,mask_brier,0.06615157338894662
recalibrated,external_test,rssm,20260916,patient_nmae,0.6166953471601936
recalibrated,external_test,rssm,20260916,patient_crps,0.4689543093733565
recalibrated,external_test,rssm,20260916,coverage_error_90,0.018226309270936235
recalibrated,external_test,rssm,20260916,mask_brier,0.06607278319195603
recalibrated,external_test,transformer,20260912,patient_nmae,0.5062874542115448
recalibrated,external_test,transformer,20260912,patient_crps,0.37772077155196226
recalibrated,external_test,transformer,20260912,coverage_error_90,0.01251509326721562
recalibrated,external_test,transformer,20260912,mask_brier,0.06292304029058038
recalibrated,external_test,transformer,20260913,patient_nmae,0.5147789337056776
recalibrated,external_test,transformer,20260913,patient_crps,0.3822158472384132
recalibrated,external_test,transformer,20260913,coverage_error_90,0.012359378107212654
recalibrated,external_test,transformer,20260913,mask_brier,0.06314505911307466
recalibrated,external_test,transformer,20260914,patient_nmae,0.5080308570562135
recalibrated,external_test,transformer,20260914,patient_crps,0.3791807665718439
