split,model,seed,horizon_hours,constraint,violations_per_1000_states
external_test,global_median,-1,1,pressure_order,0.0
external_test,global_median,-1,3,pressure_order,0.0
external_test,global_median,-1,6,pressure_order,0.0
external_test,global_median,-1,12,pressure_order,0.0
external_test,global_median,-1,24,pressure_order,0.0
external_test,hourly_median,-1,1,pressure_order,0.0
external_test,hourly_median,-1,3,pressure_order,0.0
external_test,hourly_median,-1,6,pressure_order,0.0
external_test,hourly_median,-1,12,pressure_order,0.0
external_test,hourly_median,-1,24,pressure_order,0.0
external_test,locf,-1,1,pressure_order,5.320197044334975
external_test,locf,-1,3,pressure_order,5.320197044334975
external_test,locf,-1,6,pressure_order,5.320197044334975
external_test,locf,-1,12,pressure_order,5.320197044334975
external_test,locf,-1,24,pressure_order,5.320197044334975
internal_test,global_median,-1,1,pressure_order,0.0
internal_test,global_median,-1,3,pressure_order,0.0
internal_test,global_median,-1,6,pressure_order,0.0
internal_test,global_median,-1,12,pressure_order,0.0
internal_test,global_median,-1,24,pressure_order,0.0
internal_test,hourly_median,-1,1,pressure_order,0.0
internal_test,hourly_median,-1,3,pressure_order,0.0
internal_test,hourly_median,-1,6,pressure_order,0.0
internal_test,hourly_median,-1,12,pressure_order,0.0
internal_test,hourly_median,-1,24,pressure_order,0.0
internal_test,locf,-1,1,pressure_order,44.91541901613844
internal_test,locf,-1,3,pressure_order,44.91541901613844
internal_test,locf,-1,6,pressure_order,44.91541901613844
internal_test,locf,-1,12,pressure_order,44.91541901613844
internal_test,locf,-1,24,pressure_order,44.91541901613844
external_test,ridge_var,-1,1,pressure_order,3.0213464696223316
external_test,ridge_var,-1,3,pressure_order,2.561576354679803
external_test,ridge_var,-1,6,pressure_order,1.6420361247947455
external_test,ridge_var,-1,12,pressure_order,0.6239737274220033
external_test,ridge_var,-1,24,pressure_order,0.13136288998357964
internal_test,ridge_var,-1,1,pressure_order,19.638343379350573
internal_test,ridge_var,-1,3,pressure_order,11.6663426015944
internal_test,ridge_var,-1,6,pressure_order,4.277658953917947
internal_test,ridge_var,-1,12,pressure_order,0.58331713007972
internal_test,ridge_var,-1,24,pressure_order,0.0
external_test,grud,20260912,1,FiO2_bounds,1.8555008210180624
external_test,grud,20260912,1,O2Sat_bounds,123.28407224958949
external_test,grud,20260912,1,SaO2_bounds,6.981937602627258
external_test,grud,20260912,1,emitted_FiO2_bounds,17.87192118226601
external_test,grud,20260912,1,emitted_O2Sat_bounds,136.21018062397374
external_test,grud,20260912,1,emitted_SaO2_bounds,200.34811165845647
external_test,grud,20260912,1,emitted_pressure_order,101.95730706075534
external_test,grud,20260912,1,pressure_order,91.57142857142856
external_test,grud,20260912,3,FiO2_bounds,3.2939244663382596
external_test,grud,20260912,3,O2Sat_bounds,134.54351395730706
external_test,grud,20260912,3,SaO2_bounds,18.113300492610836
external_test,grud,20260912,3,emitted_FiO2_bounds,16.67487684729064
external_test,grud,20260912,3,emitted_O2Sat_bounds,136.38423645320196
external_test,grud,20260912,3,emitted_SaO2_bounds,196.64039408866995
external_test,grud,20260912,3,emitted_pressure_order,114.8784893267652
external_test,grud,20260912,3,pressure_order,115.34811165845647
external_test,grud,20260912,6,FiO2_bounds,4.2151067323481115
external_test,grud,20260912,6,O2Sat_bounds,135.58128078817734
external_test,grud,20260912,6,SaO2_bounds,31.23481116584565
external_test,grud,20260912,6,emitted_FiO2_bounds,14.87848932676519
external_test,grud,20260912,6,emitted_O2Sat_bounds,136.22988505747125
external_test,grud,20260912,6,emitted_SaO2_bounds,194.34975369458127
external_test,grud,20260912,6,emitted_pressure_order,127.1231527093596
external_test,grud,20260912,6,pressure_order,132.33169129720855
external_test,grud,20260912,12,FiO2_bounds,5.072249589490969
external_test,grud,20260912,12,O2Sat_bounds,135.21018062397374
