evaluation,split,model,seed,horizon_hours,patients,observed_targets
recalibrated,external_test,grud,20260912,1,10245,198911
recalibrated,external_test,grud,20260912,3,10245,197165
recalibrated,external_test,grud,20260912,6,10218,194715
recalibrated,external_test,grud,20260912,12,10178,195401
recalibrated,external_test,grud,20260912,24,10162,192680
recalibrated,external_test,grud,20260913,1,10245,198911
recalibrated,external_test,grud,20260913,3,10245,197165
recalibrated,external_test,grud,20260913,6,10218,194715
recalibrated,external_test,grud,20260913,12,10178,195401
recalibrated,external_test,grud,20260913,24,10162,192680
recalibrated,external_test,grud,20260914,1,10245,198911
recalibrated,external_test,grud,20260914,3,10245,197165
recalibrated,external_test,grud,20260914,6,10218,194715
recalibrated,external_test,grud,20260914,12,10178,195401
recalibrated,external_test,grud,20260914,24,10162,192680
recalibrated,external_test,grud,20260915,1,10245,198911
recalibrated,external_test,grud,20260915,3,10245,197165
recalibrated,external_test,grud,20260915,6,10218,194715
recalibrated,external_test,grud,20260915,12,10178,195401
recalibrated,external_test,grud,20260915,24,10162,192680
recalibrated,external_test,grud,20260916,1,10245,198911
recalibrated,external_test,grud,20260916,3,10245,197165
recalibrated,external_test,grud,20260916,6,10218,194715
recalibrated,external_test,grud,20260916,12,10178,195401
recalibrated,external_test,grud,20260916,24,10162,192680
recalibrated,external_test,rssm,20260912,1,10245,198911
recalibrated,external_test,rssm,20260912,3,10245,197165
recalibrated,external_test,rssm,20260912,6,10218,194715
recalibrated,external_test,rssm,20260912,12,10178,195401
recalibrated,external_test,rssm,20260912,24,10162,192680
recalibrated,external_test,rssm,20260913,1,10245,198911
recalibrated,external_test,rssm,20260913,3,10245,197165
recalibrated,external_test,rssm,20260913,6,10218,194715
recalibrated,external_test,rssm,20260913,12,10178,195401
recalibrated,external_test,rssm,20260913,24,10162,192680
recalibrated,external_test,rssm,20260914,1,10245,198911
recalibrated,external_test,rssm,20260914,3,10245,197165
recalibrated,external_test,rssm,20260914,6,10218,194715
recalibrated,external_test,rssm,20260914,12,10178,195401
recalibrated,external_test,rssm,20260914,24,10162,192680
recalibrated,external_test,rssm,20260915,1,10245,198911
recalibrated,external_test,rssm,20260915,3,10245,197165
recalibrated,external_test,rssm,20260915,6,10218,194715
recalibrated,external_test,rssm,20260915,12,10178,195401
recalibrated,external_test,rssm,20260915,24,10162,192680
recalibrated,external_test,rssm,20260916,1,10245,198911
recalibrated,external_test,rssm,20260916,3,10245,197165
recalibrated,external_test,rssm,20260916,6,10218,194715
recalibrated,external_test,rssm,20260916,12,10178,195401
recalibrated,external_test,rssm,20260916,24,10162,192680
recalibrated,external_test,transformer,20260912,1,10245,198911
recalibrated,external_test,transformer,20260912,3,10245,197165
recalibrated,external_test,transformer,20260912,6,10218,194715
recalibrated,external_test,transformer,20260912,12,10178,195401
recalibrated,external_test,transformer,20260912,24,10162,192680
recalibrated,external_test,transformer,20260913,1,10245,198911
recalibrated,external_test,transformer,20260913,3,10245,197165
recalibrated,external_test,transformer,20260913,6,10218,194715
recalibrated,external_test,transformer,20260913,12,10178,195401
recalibrated,external_test,transformer,20260913,24,10162,192680
recalibrated,external_test,transformer,20260914,1,10245,198911
recalibrated,external_test,transformer,20260914,3,10245,197165
recalibrated,external_test,transformer,20260914,6,10218,194715
recalibrated,external_test,transformer,20260914,12,10178,195401
recalibrated,external_test,transformer,20260914,24,10162,192680
recalibrated,external_test,transformer,20260915,1,10245,198911
recalibrated,external_test,transformer,20260915,3,10245,197165
recalibrated,external_test,transformer,20260915,6,10218,194715
recalibrated,external_test,transformer,20260915,12,10178,195401
recalibrated,external_test,transformer,20260915,24,10162,192680
recalibrated,external_test,transformer,20260916,1,10245,198911
recalibrated,external_test,transformer,20260916,3,10245,197165
recalibrated,external_test,transformer,20260916,6,10218,194715
recalibrated,external_test,transformer,20260916,12,10178,195401
recalibrated,external_test,transformer,20260916,24,10162,192680
zero_shot,external_test,global_median,-1,1,10245,198911
zero_shot,external_test,global_median,-1,3,10245,197165
zero_shot,external_test,global_median,-1,6,10218,194715
zero_shot,external_test,global_median,-1,12,10178,195401
zero_shot,external_test,global_median,-1,24,10162,192680
zero_shot,external_test,grud,20260912,1,10245,198911
zero_shot,external_test,grud,20260912,3,10245,197165
zero_shot,external_test,grud,20260912,6,10218,194715
zero_shot,external_test,grud,20260912,12,10178,195401
zero_shot,external_test,grud,20260912,24,10162,192680
zero_shot,external_test,grud,20260913,1,10245,198911
zero_shot,external_test,grud,20260913,3,10245,197165
zero_shot,external_test,grud,20260913,6,10218,194715
zero_shot,external_test,grud,20260913,12,10178,195401
zero_shot,external_test,grud,20260913,24,10162,192680
zero_shot,external_test,grud,20260914,1,10245,198911
zero_shot,external_test,grud,20260914,3,10245,197165
zero_shot,external_test,grud,20260914,6,10218,194715
zero_shot,external_test,grud,20260914,12,10178,195401
zero_shot,external_test,grud,20260914,24,10162,192680
zero_shot,external_test,grud,20260915,1,10245,198911
zero_shot,external_test,grud,20260915,3,10245,197165
zero_shot,external_test,grud,20260915,6,10218,194715
