model,seed,best_epoch,epochs_run,best_validation_loss,parameter_count
grud,20260912,20,20,0.732611498054193,59232
grud,20260913,20,20,0.7350499143405836,59232
grud,20260914,20,20,0.7338130303791591,59232
grud,20260915,20,20,0.7325904965400696,59232
grud,20260916,20,20,0.7317095994949341,59232
transformer,20260912,20,20,0.7152586603651241,247848
transformer,20260913,20,20,0.7159800736271605,247848
transformer,20260914,20,20,0.7171401770747438,247848
transformer,20260915,20,20,0.7176515119416373,247848
transformer,20260916,20,20,0.7185133136048609,247848
rssm,20260912,20,20,-1.5841683879190562,93320
rssm,20260913,7,11,-0.6612005781154243,93320
rssm,20260914,12,16,-1.3686661404006335,93320
rssm,20260915,13,17,-1.1070962986167596,93320
rssm,20260916,19,20,-1.6032978247623055,93320
