model,model_label,variable,observed_targets,nmae_mean,nmae_seed_sd,mae_original_mean,mae_original_seed_sd
global_median,Global median,BUN,1501,0.7969588901516635,0.0,13.54830113257828,0.0
grud,GRU-D-style,BUN,1501,0.3347960052680445,0.003119298563352894,5.691532089556756,0.0530280755769994
hourly_median,Hourly median,BUN,1501,0.778265470078771,0.0,13.230512991339108,0.0
locf,LOCF,BUN,1501,0.3308970490261394,0.0,5.625249833444371,0.0
ridge_var,Ridge VAR,BUN,1501,0.3356972171368687,0.0,5.706852691326768,0.0
rssm,State-space model,BUN,1501,0.7419581175252528,0.013895374085428088,12.613287997929296,0.23622135945227848
transformer,Masked Transformer,BUN,1501,0.33508504546687334,0.0039049299265487016,5.696445772936846,0.06638380875132807
global_median,Global median,BaseExcess,59,0.9701271186440676,0.0,3.8805084745762706,0.0
grud,GRU-D-style,BaseExcess,59,1.072633639773575,0.02400320430756279,4.2905345590943,0.09601281723025117
hourly_median,Hourly median,BaseExcess,59,0.9658898305084744,0.0,3.8635593220338977,0.0
locf,LOCF,BaseExcess,59,0.902330508474576,0.0,3.609322033898304,0.0
ridge_var,Ridge VAR,BaseExcess,59,0.920003799724941,0.0,3.680015198899764,0.0
rssm,State-space model,BaseExcess,59,0.9561181573481378,0.06697886825640881,3.824472629392551,0.26791547302563523
transformer,Masked Transformer,BaseExcess,59,1.0100302160543912,0.02047932511203038,4.040120864217565,0.08191730044812152
global_median,Global median,Chloride,142,0.4652917505030181,0.0,3.257042253521127,0.0
grud,GRU-D-style,Chloride,142,0.43540925515789375,0.014904431648659665,3.0478647861052566,0.1043310215406176
hourly_median,Hourly median,Chloride,142,0.4919517102615694,0.0,3.443661971830986,0.0
locf,LOCF,Chloride,142,0.4064386317907445,0.0,2.8450704225352115,0.0
ridge_var,Ridge VAR,Chloride,142,0.4058476094859969,0.0,2.840933266401979,0.0
rssm,State-space model,Chloride,142,0.5027796481676977,0.034925808423796376,3.5194575371738837,0.24448065896657462
transformer,Masked Transformer,Chloride,142,0.4281107212666055,0.009758510859242462,2.996775048866238,0.06830957601469717
global_median,Global median,Creatinine,1503,1.3628742514970058,0.0,0.954011976047904,0.0
grud,GRU-D-style,Creatinine,1503,0.6950257794972428,0.028669554570556026,0.4865180456480699,0.020068688199389194
hourly_median,Hourly median,Creatinine,1503,1.355289421157682,0.0,0.9487025948103772,0.0
locf,LOCF,Creatinine,1503,0.533656496530747,0.0,0.3735595475715229,0.0
ridge_var,Ridge VAR,Creatinine,1503,0.5762760653145267,0.0,0.4033932457201686,0.0
rssm,State-space model,Creatinine,1503,1.313944690034081,0.022886779566161992,0.9197612830238565,0.01602074569631337
transformer,Masked Transformer,Creatinine,1503,0.6312566696238008,0.008845523169777596,0.4418796687366605,0.006191866218844307
global_median,Global median,DBP,27360,0.7476800758406432,0.0,11.962881213450292,0.0
grud,GRU-D-style,DBP,27360,0.5442876396663705,0.0037996913650309664,8.708602234661928,0.06079506184049546
hourly_median,Hourly median,DBP,27360,0.7383313459429824,0.0,11.81330153508772,0.0
locf,LOCF,DBP,27360,0.6081707556652046,0.0,9.730732090643274,0.0
ridge_var,Ridge VAR,DBP,27360,0.5505682475151793,0.0,8.809091960242869,0.0
rssm,State-space model,DBP,27360,0.6664081434025402,0.021424744271050553,10.662530294440643,0.34279590833680884
transformer,Masked Transformer,DBP,27360,0.543027406695642,0.006279619499451972,8.688438507130272,0.10047391199123155
global_median,Global median,FiO2,595,1.2683473389355742,0.0,0.1902521008403361,0.0
grud,GRU-D-style,FiO2,595,1.17131971731375,0.02787967485460895,0.17569795759706253,0.0041819512281913536
hourly_median,Hourly median,FiO2,595,1.261344537815125,0.0,0.1892016806722687,0.0
