model,seed,trajectory_samples,patients_requested,patient_subset_sha256,horizon_hours,constraint,violations_per_1000_states
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,FiO2_bounds,1.5760197775030902
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,O2Sat_bounds,115.14215080346106
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,SaO2_bounds,6.9221260815822
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_FiO2_bounds,17.24351050679852
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_O2Sat_bounds,127.96662546353522
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_SaO2_bounds,197.43510506798518
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_pressure_order,94.65389369592089
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,pressure_order,85.59950556242275
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,FiO2_bounds,2.4412855377008653
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,O2Sat_bounds,127.78121137206428
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,SaO2_bounds,18.26328800988875
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_FiO2_bounds,15.543881334981458
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_O2Sat_bounds,129.2027194066749
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_SaO2_bounds,194.96291718170582
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_pressure_order,107.91100123609394
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,pressure_order,108.86897404202719
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,FiO2_bounds,3.553770086526576
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,O2Sat_bounds,126.88504326328801
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,SaO2_bounds,31.860321384425216
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_FiO2_bounds,13.936959208899877
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_O2Sat_bounds,127.28677379480841
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_SaO2_bounds,192.05809641532755
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_pressure_order,122.65142150803462
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,pressure_order,127.07045735475896
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,FiO2_bounds,5.222496909765142
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,O2Sat_bounds,126.45241038318912
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,SaO2_bounds,51.452410383189125
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_FiO2_bounds,13.349814585908529
