split,model,horizon_hours,variable,targets,brier
external_test,grud,1,HR,1618,0.059117843926514695
external_test,grud,1,O2Sat,1618,0.0672678650162276
external_test,grud,1,Temp,1618,0.20872805439792252
external_test,grud,1,SBP,1618,0.06903659633840854
external_test,grud,1,MAP,1618,0.07565947097112576
external_test,grud,1,DBP,1618,0.10927157035864181
external_test,grud,1,Resp,1618,0.14952053776188157
external_test,grud,1,BaseExcess,1618,0.009077846773696328
external_test,grud,1,HCO3,1618,0.013424381724246795
external_test,grud,1,FiO2,1618,0.03051996188714861
external_test,grud,1,pH,1618,0.02754887543406858
external_test,grud,1,PaCO2,1618,0.02704673404120397
external_test,grud,1,SaO2,1618,0.0225211932209904
external_test,grud,1,BUN,1618,0.05059703108388355
external_test,grud,1,Chloride,1618,0.017147801996051013
external_test,grud,1,Creatinine,1618,0.04933872252555359
external_test,grud,1,Glucose,1618,0.1850516990987568
external_test,grud,1,Magnesium,1618,0.043804728424888015
external_test,grud,1,Phosphate,1618,0.027364591518773875
external_test,grud,1,Potassium,1618,0.07250831743105969
external_test,grud,1,Hct,1618,0.055764542881063243
external_test,grud,1,Hgb,1618,0.052305021404999
external_test,grud,1,WBC,1618,0.04764175081190426
external_test,grud,1,Platelets,1618,0.048676192290777034
external_test,grud,3,HR,1618,0.0593618777556384
external_test,grud,3,O2Sat,1618,0.07367301902679636
external_test,grud,3,Temp,1618,0.2091822002373166
external_test,grud,3,SBP,1618,0.06766264852509363
external_test,grud,3,MAP,1618,0.07359679722962774
external_test,grud,3,DBP,1618,0.15611903032354724
external_test,grud,3,Resp,1618,0.14822084234730423
external_test,grud,3,BaseExcess,1618,0.008037289657499941
external_test,grud,3,HCO3,1618,0.009438695963955633
external_test,grud,3,FiO2,1618,0.02633868773987031
external_test,grud,3,pH,1618,0.025240637767226497
external_test,grud,3,PaCO2,1618,0.024663312620816037
external_test,grud,3,SaO2,1618,0.02167167757120909
external_test,grud,3,BUN,1618,0.05076955723011008
external_test,grud,3,Chloride,1618,0.012297275831879144
external_test,grud,3,Creatinine,1618,0.05001517858618711
external_test,grud,3,Glucose,1618,0.1932670754761572
external_test,grud,3,Magnesium,1618,0.04203902776681154
external_test,grud,3,Phosphate,1618,0.024620690973583787
external_test,grud,3,Potassium,1618,0.06923431494216836
external_test,grud,3,Hct,1618,0.054264280351042304
external_test,grud,3,Hgb,1618,0.052395120649903607
external_test,grud,3,WBC,1618,0.04620831008028925
external_test,grud,3,Platelets,1618,0.04605238856137609
external_test,grud,6,HR,1618,0.06819759777600892
external_test,grud,6,O2Sat,1618,0.08423079246348887
external_test,grud,6,Temp,1618,0.2143927836152915
external_test,grud,6,SBP,1618,0.08157957191446656
external_test,grud,6,MAP,1618,0.09055580666613372
external_test,grud,6,DBP,1618,0.1895119797608761
external_test,grud,6,Resp,1618,0.17723025527077052
external_test,grud,6,BaseExcess,1618,0.008180264655238176
external_test,grud,6,HCO3,1618,0.007538214487073153
external_test,grud,6,FiO2,1618,0.029958748340385657
external_test,grud,6,pH,1618,0.02213946205871214
external_test,grud,6,PaCO2,1618,0.021008754423065445
external_test,grud,6,SaO2,1618,0.016736900624997535
external_test,grud,6,BUN,1618,0.04288839698942984
external_test,grud,6,Chloride,1618,0.009597789583674762
external_test,grud,6,Creatinine,1618,0.04280891729926297
external_test,grud,6,Glucose,1618,0.20266272567848045
external_test,grud,6,Magnesium,1618,0.03814738720876472
external_test,grud,6,Phosphate,1618,0.02139449025169291
external_test,grud,6,Potassium,1618,0.06383753497019981
external_test,grud,6,Hct,1618,0.04810079432130597
external_test,grud,6,Hgb,1618,0.04569205385719153
external_test,grud,6,WBC,1618,0.039564374917185646
external_test,grud,6,Platelets,1618,0.039805415262582126
external_test,grud,12,HR,1618,0.0785437384148316
external_test,grud,12,O2Sat,1618,0.0963887862944043
external_test,grud,12,Temp,1618,0.21492730097658702
external_test,grud,12,SBP,1618,0.09389188056823203
external_test,grud,12,MAP,1618,0.09966060589211538
external_test,grud,12,DBP,1618,0.21367521663236677
external_test,grud,12,Resp,1618,0.1736864843238859
external_test,grud,12,BaseExcess,1618,0.005970642665960585
external_test,grud,12,HCO3,1618,0.00625894691136623
external_test,grud,12,FiO2,1618,0.02748315977519758
external_test,grud,12,pH,1618,0.01887472619490217
external_test,grud,12,PaCO2,1618,0.017237565172801648
external_test,grud,12,SaO2,1618,0.014391135287382473
external_test,grud,12,BUN,1618,0.04958963934769589
external_test,grud,12,Chloride,1618,0.007811547753174314
external_test,grud,12,Creatinine,1618,0.04970332506321122
external_test,grud,12,Glucose,1618,0.19100587624407228
external_test,grud,12,Magnesium,1618,0.046334805756770486
external_test,grud,12,Phosphate,1618,0.026099272760734128
external_test,grud,12,Potassium,1618,0.0661604388240536
external_test,grud,12,Hct,1618,0.05315512671090469
external_test,grud,12,Hgb,1618,0.050973535026107054
external_test,grud,12,WBC,1618,0.04758788395686851
external_test,grud,12,Platelets,1618,0.04750782741309686
external_test,grud,24,HR,1618,0.09246399932355609
external_test,grud,24,O2Sat,1618,0.11922613497275504
external_test,grud,24,Temp,1618,0.217830418656282
external_test,grud,24,SBP,1618,0.11310254879139263
external_test,grud,24,MAP,1618,0.12175357551745637
external_test,grud,24,DBP,1618,0.21309160154741097
external_test,grud,24,Resp,1618,0.1869639068363034
external_test,grud,24,BaseExcess,1618,0.006912912312337878
external_test,grud,24,HCO3,1618,0.007384507328603412
external_test,grud,24,FiO2,1618,0.026043512912556917
external_test,grud,24,pH,1618,0.018714067658549924
external_test,grud,24,PaCO2,1618,0.016679999739742102
external_test,grud,24,SaO2,1618,0.013653341237552307
external_test,grud,24,BUN,1618,0.04814121862516562
external_test,grud,24,Chloride,1618,0.008371871508132985
external_test,grud,24,Creatinine,1618,0.047551368260744624
external_test,grud,24,Glucose,1618,0.17145925413987545
external_test,grud,24,Magnesium,1618,0.04318677722873587
external_test,grud,24,Phosphate,1618,0.021429392966189696
external_test,grud,24,Potassium,1618,0.060666009396940876
external_test,grud,24,Hct,1618,0.05114244926624156
external_test,grud,24,Hgb,1618,0.048939158516039215
external_test,grud,24,WBC,1618,0.04424007164662052
external_test,grud,24,Platelets,1618,0.04442038619142528
