split,model,horizon_hours,variable,observed_targets,nmae,crps_scaled,coverage_90,coverage_error_90,mean_interval_width_scaled,nll_scaled
external_test,grud,1,HR,1495,0.21837869934413745,0.1669257730145917,0.9023411371237459,0.00234113712374584,0.9745282367719057,0.2807305247488628
external_test,grud,1,O2Sat,1462,0.4051399915880446,0.30301887131259153,0.9015047879616963,0.0015047879616962856,1.689027795387195,1.8512439793014004
external_test,grud,1,Temp,641,0.29406772779414136,0.22433793368094054,0.8315132605304212,0.06848673946957884,1.0455286082537052,0.5784856761673497
external_test,grud,1,SBP,1459,0.37018289265361365,0.269359205584562,0.8450993831391364,0.05490061686086367,1.3682691562330993,0.6964382396486216
external_test,grud,1,MAP,1447,0.374727543420271,0.2770537712199983,0.9156876295784382,0.015687629578438167,1.6904153013196417,0.7234913055535919
external_test,grud,1,DBP,1459,0.3922876040358671,0.2921290275084801,0.8793694311172036,0.020630568882796463,1.574817078337431,0.8380143117871981
external_test,grud,1,Resp,1310,0.32981672359786873,0.24815746445692222,0.9190839694656489,0.01908396946564883,1.6599773042984591,0.6225466757330276
external_test,grud,1,BaseExcess,6,0.19156239678462347,0.18894442915916443,1.0,0.09999999999999998,1.892918845017751,0.46497921148935956
external_test,grud,1,HCO3,6,0.2842057893673579,0.18853862831989923,0.8333333333333334,0.06666666666666665,1.2279676298300426,0.315172016620636
external_test,grud,1,FiO2,50,1.0087560972571372,0.7437458381056785,0.72,0.18000000000000005,2.5246599245071413,2.2344320583343507
external_test,grud,1,pH,46,0.5703685214014157,0.4422712374640548,0.8043478260869565,0.09565217391304348,1.7870784583299055,1.4523956697920095
external_test,grud,1,PaCO2,46,0.7885251466346823,0.5981606264477191,0.6739130434782609,0.22608695652173916,1.925889199194701,1.7712456920872564
external_test,grud,1,SaO2,40,1.2076559856534004,0.8580483421683311,1.0,0.09999999999999998,7.115917575359345,1.8904013693332673
external_test,grud,1,BUN,84,0.5759776015544221,0.473375486298686,0.8452380952380952,0.05476190476190479,1.4988863893917628,8.800475394441968
external_test,grud,1,Chloride,13,0.24507790918533617,0.18714035073151955,0.9230769230769231,0.023076923076923106,1.2491055910403912,0.26941840236003584
external_test,grud,1,Creatinine,84,1.0172232079009216,0.8768822595122314,0.9047619047619048,0.004761904761904745,2.865215749967666,2.8075926438683556
external_test,grud,1,Glucose,392,0.5290028826922787,0.39456368617865506,0.9081632653061225,0.008163265306122436,2.3471218481355782,1.0582568891802613
external_test,grud,1,Magnesium,71,0.6617490525396776,0.5092771598990534,0.8169014084507042,0.08309859154929577,2.52351124857513,2.040965432852087
external_test,grud,1,Phosphate,44,0.5409285631030798,0.3831066286022013,0.8863636363636364,0.013636363636363669,2.24575920809399,0.9934083412994038
external_test,grud,1,Potassium,122,0.6354972236469144,0.4716252222901485,0.8852459016393442,0.014754098360655776,2.3385771884292854,1.4637745599277685
external_test,grud,1,Hct,84,0.4827661111596085,0.35245036440236227,0.8095238095238095,0.09047619047619049,1.6303269458668572,0.9482218161934898
external_test,grud,1,Hgb,84,0.48162974115638507,0.3539682318057333,0.8214285714285714,0.07857142857142863,1.7067414678278423,0.9902572450893266
external_test,grud,1,WBC,77,0.3765482966388975,0.2730849011764898,0.935064935064935,0.03506493506493502,2.0462274520428148,0.6936501380685088
external_test,grud,1,Platelets,82,0.2983870331834002,0.22761621680564997,0.9024390243902439,0.0024390243902439046,1.3858506163445914,0.4458095133304596
external_test,grud,3,HR,1505,0.29818058441643697,0.22245179680098726,0.892358803986711,0.007641196013289053,1.256297882688402,0.5186886614739301
external_test,grud,3,O2Sat,1466,0.46472843867532226,0.3389563358822103,0.907912687585266,0.007912687585265976,1.9847330181855622,1.0033032897387162
