split,model,horizon_hours,variable,targets,brier
external_test,rssm,1,HR,1618,0.07072857584993093
external_test,rssm,1,O2Sat,1618,0.08763541225965592
external_test,rssm,1,Temp,1618,0.23998540765128118
external_test,rssm,1,SBP,1618,0.09003243115540635
external_test,rssm,1,MAP,1618,0.09558958990317487
external_test,rssm,1,DBP,1618,0.24282535265933156
external_test,rssm,1,Resp,1618,0.1665405436558246
external_test,rssm,1,BaseExcess,1618,0.011765920869057494
external_test,rssm,1,HCO3,1618,0.009236322395844277
external_test,rssm,1,FiO2,1618,0.03924921818068355
external_test,rssm,1,pH,1618,0.03291315765883336
external_test,rssm,1,PaCO2,1618,0.029838670335240357
external_test,rssm,1,SaO2,1618,0.02447051070952887
external_test,rssm,1,BUN,1618,0.04993127617059444
external_test,rssm,1,Chloride,1618,0.012551438993554475
external_test,rssm,1,Creatinine,1618,0.04952983974452661
external_test,rssm,1,Glucose,1618,0.1992928117550495
external_test,rssm,1,Magnesium,1618,0.04292244255100693
external_test,rssm,1,Phosphate,1618,0.027090300123203816
external_test,rssm,1,Potassium,1618,0.07004689802824346
external_test,rssm,1,Hct,1618,0.05280839085431564
external_test,rssm,1,Hgb,1618,0.05043978655736143
external_test,rssm,1,WBC,1618,0.046010131861356045
external_test,rssm,1,Platelets,1618,0.048342469246190026
external_test,rssm,3,HR,1618,0.06523360165091616
external_test,rssm,3,O2Sat,1618,0.08544340306071033
external_test,rssm,3,Temp,1618,0.24109932076651028
external_test,rssm,3,SBP,1618,0.08517808377816444
external_test,rssm,3,MAP,1618,0.0872387183169352
external_test,rssm,3,DBP,1618,0.24393374958203368
external_test,rssm,3,Resp,1618,0.15547623475196187
external_test,rssm,3,BaseExcess,1618,0.010857692156424481
external_test,rssm,3,HCO3,1618,0.00768525043804065
external_test,rssm,3,FiO2,1618,0.03706954640643706
external_test,rssm,3,pH,1618,0.03265621677980435
external_test,rssm,3,PaCO2,1618,0.029486012141990425
external_test,rssm,3,SaO2,1618,0.024498656970000976
external_test,rssm,3,BUN,1618,0.05129903543864841
external_test,rssm,3,Chloride,1618,0.010009340214346189
external_test,rssm,3,Creatinine,1618,0.05102534954089612
external_test,rssm,3,Glucose,1618,0.2052851885888721
external_test,rssm,3,Magnesium,1618,0.0422313102280401
external_test,rssm,3,Phosphate,1618,0.024722090133722546
external_test,rssm,3,Potassium,1618,0.06991464794787253
external_test,rssm,3,Hct,1618,0.05457435485680112
external_test,rssm,3,Hgb,1618,0.053408357578390755
