evaluation,split,model,horizon_hours,metric,seeds,mean,standard_deviation,minimum,maximum
recalibrated,external_test,grud,1,coverage_90,5,0.9001633512416504,0.004667214670087705,0.8963539746046322,0.9079517964607787
recalibrated,external_test,grud,1,coverage_error_90,5,0.003302598163723536,0.0028604726922451416,0.0007130770526558861,0.007951796460778704
recalibrated,external_test,grud,1,mask_brier,5,0.0632665763317762,0.0006357595731034662,0.06225253020795044,0.06400282892466967
recalibrated,external_test,grud,1,mean_interval_width_scaled,5,1.7048574309800242,0.030434163154256882,1.6821380280295555,1.758081097744714
recalibrated,external_test,grud,1,patient_crps,5,0.2885505984721882,0.0005249979857904162,0.28802659183827545,0.28920436072907707
recalibrated,external_test,grud,1,patient_nll,5,0.7754352326104929,0.011273169358745687,0.7616932782940293,0.7880072596935012
recalibrated,external_test,grud,1,patient_nmae,5,0.3770301001051312,0.00100957952059418,0.37583533797308705,0.37807037099482205
recalibrated,external_test,grud,3,coverage_90,5,0.8818450356388619,0.0020930920381953644,0.8800888886306454,0.8846759398522229
recalibrated,external_test,grud,3,coverage_error_90,5,0.01815496436113815,0.0020930920381953644,0.015324060147777097,0.01991111136935464
recalibrated,external_test,grud,3,mask_brier,5,0.06025479746504554,0.0010037119899717266,0.05871222397886926,0.06117873968681557
recalibrated,external_test,grud,3,mean_interval_width_scaled,5,1.8254645130229552,0.016719083248458184,1.8119310337540246,1.8538238644906275
recalibrated,external_test,grud,3,patient_crps,5,0.3278478835330716,0.0006202236255702187,0.32700658269785265,0.3285949294650864
recalibrated,external_test,grud,3,patient_nll,5,0.8971568932458462,0.002347210648410334,0.8935047087111586,0.8992062541340006
recalibrated,external_test,grud,3,patient_nmae,5,0.43673833467467826,0.0009170231334769573,0.4359478476123775,0.4379761922288337
recalibrated,external_test,grud,6,coverage_90,5,0.8890567465662009,0.005760076649994942,0.8832553392836267,0.8974728695358235
