evaluation,split,model,seed,horizon_hours,metric,value
zero_shot,internal_test,grud,20260912,1,patient_nmae,0.35054337499831656
zero_shot,internal_test,grud,20260912,1,patient_crps,0.26264079077657243
zero_shot,internal_test,grud,20260912,1,coverage_90,0.8608650050461293
zero_shot,internal_test,grud,20260912,1,coverage_error_90,0.03913499495387074
zero_shot,internal_test,grud,20260912,1,mean_interval_width_scaled,1.3663839926436603
zero_shot,internal_test,grud,20260912,1,patient_nll,0.6514644278418315
zero_shot,internal_test,grud,20260912,1,mask_brier,0.07679668575924205
zero_shot,internal_test,grud,20260912,3,patient_nmae,0.41210816805288175
zero_shot,internal_test,grud,20260912,3,patient_crps,0.3058338576485548
zero_shot,internal_test,grud,20260912,3,coverage_90,0.8506963890347897
zero_shot,internal_test,grud,20260912,3,coverage_error_90,0.0493036109652103
zero_shot,internal_test,grud,20260912,3,mean_interval_width_scaled,1.5496131345461046
zero_shot,internal_test,grud,20260912,3,patient_nll,0.8312267082613324
zero_shot,internal_test,grud,20260912,3,mask_brier,0.07747638717444211
zero_shot,internal_test,grud,20260912,6,patient_nmae,0.4520064820892951
zero_shot,internal_test,grud,20260912,6,patient_crps,0.3341453607290525
zero_shot,internal_test,grud,20260912,6,coverage_90,0.8449602066085982
zero_shot,internal_test,grud,20260912,6,coverage_error_90,0.05503979339140186
zero_shot,internal_test,grud,20260912,6,mean_interval_width_scaled,1.6971498901129218
zero_shot,internal_test,grud,20260912,6,patient_nll,0.9705821840913078
zero_shot,internal_test,grud,20260912,6,mask_brier,0.07500940569009312
zero_shot,internal_test,grud,20260912,12,patient_nmae,0.49489168785374416
zero_shot,internal_test,grud,20260912,12,patient_crps,0.3625607553852253
zero_shot,internal_test,grud,20260912,12,coverage_90,0.8440896557806503
zero_shot,internal_test,grud,20260912,12,coverage_error_90,0.055910344219349706
zero_shot,internal_test,grud,20260912,12,mean_interval_width_scaled,1.8382804504936079
zero_shot,internal_test,grud,20260912,12,patient_nll,1.0427104233652162
zero_shot,internal_test,grud,20260912,12,mask_brier,0.07314122357780299
zero_shot,internal_test,grud,20260912,24,patient_nmae,0.538230947015283
zero_shot,internal_test,grud,20260912,24,patient_crps,0.39506083447838863
zero_shot,internal_test,grud,20260912,24,coverage_90,0.8458050388745478
zero_shot,internal_test,grud,20260912,24,coverage_error_90,0.05419496112545219
zero_shot,internal_test,grud,20260912,24,mean_interval_width_scaled,1.9971436738248451
zero_shot,internal_test,grud,20260912,24,patient_nll,1.1321421669749063
zero_shot,internal_test,grud,20260912,24,mask_brier,0.07463752234039087
zero_shot,external_test,grud,20260912,1,patient_nmae,0.376249849403773
zero_shot,external_test,grud,20260912,1,patient_crps,0.2827254223080289
zero_shot,external_test,grud,20260912,1,coverage_90,0.850015227565011
zero_shot,external_test,grud,20260912,1,coverage_error_90,0.049984772434989
zero_shot,external_test,grud,20260912,1,mean_interval_width_scaled,1.4174319914678948
zero_shot,external_test,grud,20260912,1,patient_nll,0.7912304911567942
zero_shot,external_test,grud,20260912,1,mask_brier,0.06400282892466967
zero_shot,external_test,grud,20260912,3,patient_nmae,0.4363625925787457
zero_shot,external_test,grud,20260912,3,patient_crps,0.3248741818875145
zero_shot,external_test,grud,20260912,3,coverage_90,0.8397035150008635
zero_shot,external_test,grud,20260912,3,coverage_error_90,0.060296484999136535
zero_shot,external_test,grud,20260912,3,mean_interval_width_scaled,1.5958839417976065
zero_shot,external_test,grud,20260912,3,patient_nll,0.9260846620526281
zero_shot,external_test,grud,20260912,3,mask_brier,0.06117873968681557
zero_shot,external_test,grud,20260912,6,patient_nmae,0.4834918198569465
zero_shot,external_test,grud,20260912,6,patient_crps,0.35880865810856566
zero_shot,external_test,grud,20260912,6,coverage_90,0.8328847270531285
zero_shot,external_test,grud,20260912,6,coverage_error_90,0.06711527294687147
zero_shot,external_test,grud,20260912,6,mean_interval_width_scaled,1.7370805377160483
zero_shot,external_test,grud,20260912,6,patient_nll,1.0497645142515752
zero_shot,external_test,grud,20260912,6,mask_brier,0.062423368452853824
zero_shot,external_test,grud,20260912,12,patient_nmae,0.521417743089026
zero_shot,external_test,grud,20260912,12,patient_crps,0.38578565432517153
zero_shot,external_test,grud,20260912,12,coverage_90,0.8366571445089368
zero_shot,external_test,grud,20260912,12,coverage_error_90,0.06334285549106322
zero_shot,external_test,grud,20260912,12,mean_interval_width_scaled,1.8803746375235775
zero_shot,external_test,grud,20260912,12,patient_nll,1.124976579187793
zero_shot,external_test,grud,20260912,12,mask_brier,0.06246144555024613
zero_shot,external_test,grud,20260912,24,patient_nmae,0.5606425324652764
zero_shot,external_test,grud,20260912,24,patient_crps,0.41386965764150874
zero_shot,external_test,grud,20260912,24,coverage_90,0.8412525122127538
zero_shot,external_test,grud,20260912,24,coverage_error_90,0.058747487787246255
zero_shot,external_test,grud,20260912,24,mean_interval_width_scaled,2.03831836852285
zero_shot,external_test,grud,20260912,24,patient_nll,1.2006367818263646
zero_shot,external_test,grud,20260912,24,mask_brier,0.065945324851284
recalibrated,external_test,grud,20260912,1,patient_nmae,0.37624984956289065
recalibrated,external_test,grud,20260912,1,patient_crps,0.2880569510796271
recalibrated,external_test,grud,20260912,1,coverage_90,0.8987365559845181
recalibrated,external_test,grud,20260912,1,coverage_error_90,0.0012634440154819515
recalibrated,external_test,grud,20260912,1,mean_interval_width_scaled,1.6969099556964184
recalibrated,external_test,grud,20260912,1,patient_nll,0.7616932782940293
recalibrated,external_test,grud,20260912,1,mask_brier,0.06400282892466967
recalibrated,external_test,grud,20260912,3,patient_nmae,0.43636259228544677
recalibrated,external_test,grud,20260912,3,patient_crps,0.3285949294650864
recalibrated,external_test,grud,20260912,3,coverage_90,0.8846759398522229
recalibrated,external_test,grud,20260912,3,coverage_error_90,0.015324060147777097
recalibrated,external_test,grud,20260912,3,mean_interval_width_scaled,1.8538238644906275
recalibrated,external_test,grud,20260912,3,patient_nll,0.8991289335452396
recalibrated,external_test,grud,20260912,3,mask_brier,0.06117873968681557
recalibrated,external_test,grud,20260912,6,patient_nmae,0.4834918199554325
recalibrated,external_test,grud,20260912,6,patient_crps,0.36522304626670277
recalibrated,external_test,grud,20260912,6,coverage_90,0.8974728695358235
recalibrated,external_test,grud,20260912,6,coverage_error_90,0.002527130464176519
recalibrated,external_test,grud,20260912,6,mean_interval_width_scaled,2.1545586601053515
recalibrated,external_test,grud,20260912,6,patient_nll,1.0161544567184668
recalibrated,external_test,grud,20260912,6,mask_brier,0.062423368452853824
recalibrated,external_test,grud,20260912,12,patient_nmae,0.5214177432427437
recalibrated,external_test,grud,20260912,12,patient_crps,0.39017789679782866
recalibrated,external_test,grud,20260912,12,coverage_90,0.8871951760598354
recalibrated,external_test,grud,20260912,12,coverage_error_90,0.012804823940164578
recalibrated,external_test,grud,20260912,12,mean_interval_width_scaled,2.2129109733772268
recalibrated,external_test,grud,20260912,12,patient_nll,1.0941523974926382
recalibrated,external_test,grud,20260912,12,mask_brier,0.06246144555024613
recalibrated,external_test,grud,20260912,24,patient_nmae,0.5606425324304202
recalibrated,external_test,grud,20260912,24,patient_crps,0.4174596362372863
recalibrated,external_test,grud,20260912,24,coverage_90,0.8825083432327495
recalibrated,external_test,grud,20260912,24,coverage_error_90,0.017491656767250507
recalibrated,external_test,grud,20260912,24,mean_interval_width_scaled,2.3264626777563775
recalibrated,external_test,grud,20260912,24,patient_nll,1.17371216993391
recalibrated,external_test,grud,20260912,24,mask_brier,0.065945324851284
zero_shot,internal_test,grud,20260913,1,patient_nmae,0.3522925891956311
zero_shot,internal_test,grud,20260913,1,patient_crps,0.264625768121274
zero_shot,internal_test,grud,20260913,1,coverage_90,0.8644015233313391
zero_shot,internal_test,grud,20260913,1,coverage_error_90,0.035598476668660894
zero_shot,internal_test,grud,20260913,1,mean_interval_width_scaled,1.4008594178781846
zero_shot,internal_test,grud,20260913,1,patient_nll,0.6491930776523308
zero_shot,internal_test,grud,20260913,1,mask_brier,0.07681946312690897
zero_shot,internal_test,grud,20260913,3,patient_nmae,0.4126510378868283
zero_shot,internal_test,grud,20260913,3,patient_crps,0.3059889488478569
zero_shot,internal_test,grud,20260913,3,coverage_90,0.8593850014440183
zero_shot,internal_test,grud,20260913,3,coverage_error_90,0.04061499855598172
zero_shot,internal_test,grud,20260913,3,mean_interval_width_scaled,1.5866009989418952
zero_shot,internal_test,grud,20260913,3,patient_nll,0.8215029211551346
zero_shot,internal_test,grud,20260913,3,mask_brier,0.07718675367237937
zero_shot,internal_test,grud,20260913,6,patient_nmae,0.4567337183282192
zero_shot,internal_test,grud,20260913,6,patient_crps,0.33693802163548275
zero_shot,internal_test,grud,20260913,6,coverage_90,0.8519881983314785
zero_shot,internal_test,grud,20260913,6,coverage_error_90,0.04801180166852148
zero_shot,internal_test,grud,20260913,6,mean_interval_width_scaled,1.7262071201444744
zero_shot,internal_test,grud,20260913,6,patient_nll,0.944926180923017
zero_shot,internal_test,grud,20260913,6,mask_brier,0.0747336421320748
zero_shot,internal_test,grud,20260913,12,patient_nmae,0.4978970859310514
zero_shot,internal_test,grud,20260913,12,patient_crps,0.36496060114474854
zero_shot,internal_test,grud,20260913,12,coverage_90,0.8500405652182877
zero_shot,internal_test,grud,20260913,12,coverage_error_90,0.049959434781712275
zero_shot,internal_test,grud,20260913,12,mean_interval_width_scaled,1.8877556814407082
zero_shot,internal_test,grud,20260913,12,patient_nll,1.020851264965412
zero_shot,internal_test,grud,20260913,12,mask_brier,0.07300594699829135
zero_shot,internal_test,grud,20260913,24,patient_nmae,0.5461261807515035
zero_shot,internal_test,grud,20260913,24,patient_crps,0.3992140437803555
zero_shot,internal_test,grud,20260913,24,coverage_90,0.8532416505135598
zero_shot,internal_test,grud,20260913,24,coverage_error_90,0.0467583494864402
zero_shot,internal_test,grud,20260913,24,mean_interval_width_scaled,2.045661984145201
zero_shot,internal_test,grud,20260913,24,patient_nll,1.1288114111426153
zero_shot,internal_test,grud,20260913,24,mask_brier,0.07474053553614002
zero_shot,external_test,grud,20260913,1,patient_nmae,0.3780703711241874
zero_shot,external_test,grud,20260913,1,patient_crps,0.2845556668004876
zero_shot,external_test,grud,20260913,1,coverage_90,0.8643158877796997
zero_shot,external_test,grud,20260913,1,coverage_error_90,0.035684112220300324
zero_shot,external_test,grud,20260913,1,mean_interval_width_scaled,1.4814858611681476
zero_shot,external_test,grud,20260913,1,patient_nll,0.8072967061870353
zero_shot,external_test,grud,20260913,1,mask_brier,0.06225253020795044
zero_shot,external_test,grud,20260913,3,patient_nmae,0.4374314980750521
zero_shot,external_test,grud,20260913,3,patient_crps,0.32602656618549614
zero_shot,external_test,grud,20260913,3,coverage_90,0.856294770428159
zero_shot,external_test,grud,20260913,3,coverage_error_90,0.043705229571840976
zero_shot,external_test,grud,20260913,3,mean_interval_width_scaled,1.6675258572546008
zero_shot,external_test,grud,20260913,3,patient_nll,0.9112816023071432
zero_shot,external_test,grud,20260913,3,mask_brier,0.05871222397886926
zero_shot,external_test,grud,20260913,6,patient_nmae,0.4834406935830656
zero_shot,external_test,grud,20260913,6,patient_crps,0.3583170529235477
zero_shot,external_test,grud,20260913,6,coverage_90,0.8505598303287287
zero_shot,external_test,grud,20260913,6,coverage_error_90,0.049440169671271295
zero_shot,external_test,grud,20260913,6,mean_interval_width_scaled,1.821848177030019
zero_shot,external_test,grud,20260913,6,patient_nll,1.023678886163078
zero_shot,external_test,grud,20260913,6,mask_brier,0.059265925815294815
