model,seed,best_epoch,best_validation_loss,epochs_run,parameter_count
grud,20260912,20,0.732611498054193,20,59232
grud,20260913,20,0.7350499143405836,20,59232
grud,20260914,20,0.7338130303791591,20,59232
grud,20260915,20,0.7325904965400696,20,59232
grud,20260916,20,0.7317095994949341,20,59232
transformer,20260912,20,0.7152586603651241,20,247848
transformer,20260913,20,0.7159800736271605,20,247848
transformer,20260914,20,0.7171401770747438,20,247848
transformer,20260915,20,0.7176515119416373,20,247848
transformer,20260916,20,0.7185133136048609,20,247848
rssm,20260912,20,-1.5841683879190562,20,93320
rssm,20260913,7,-0.6612005781154243,11,93320
rssm,20260914,12,-1.3686661404006335,16,93320
rssm,20260915,13,-1.1070962986167596,17,93320
rssm,20260916,19,-1.6032978247623055,20,93320
