split,model,horizon_hours,variable,targets,brier
external_test,grud,1,HR,135,0.0863847478258389
external_test,grud,1,O2Sat,135,0.09726608049262453
external_test,grud,1,Temp,135,0.2037427721200166
external_test,grud,1,SBP,135,0.0902239964792022
external_test,grud,1,MAP,135,0.10262546008797707
external_test,grud,1,DBP,135,0.19015045121864035
external_test,grud,1,Resp,135,0.16786201118871016
external_test,grud,1,BaseExcess,135,0.003697414730710012
external_test,grud,1,HCO3,135,0.011092982979284393
external_test,grud,1,FiO2,135,0.009165961247075487
external_test,grud,1,pH,135,0.02204891897186085
external_test,grud,1,PaCO2,135,0.02096531533256725
external_test,grud,1,SaO2,135,0.020700643919580788
external_test,grud,1,BUN,135,0.05655714570096246
external_test,grud,1,Chloride,135,0.010990134143718966
external_test,grud,1,Creatinine,135,0.05483315610499294
external_test,grud,1,Glucose,135,0.18263478345341153
external_test,grud,1,Magnesium,135,0.04960028011765745
external_test,grud,1,Phosphate,135,0.005879154656496313
external_test,grud,1,Potassium,135,0.07017753546436628
external_test,grud,1,Hct,135,0.06349774632189009
external_test,grud,1,Hgb,135,0.06108371525726936
external_test,grud,1,WBC,135,0.06173386100541662
external_test,grud,1,Platelets,135,0.06023622261429275
external_test,grud,3,HR,135,0.06669776688364369
external_test,grud,3,O2Sat,135,0.0916483740977667
external_test,grud,3,Temp,135,0.20790551613878322
external_test,grud,3,SBP,135,0.06960669203350942
external_test,grud,3,MAP,135,0.07121264893837549
external_test,grud,3,DBP,135,0.2293016861986231
external_test,grud,3,Resp,135,0.16673910147338003
external_test,grud,3,BaseExcess,135,0.003989428538760101
external_test,grud,3,HCO3,135,0.009729895395813164
external_test,grud,3,FiO2,135,0.015177823879100659
external_test,grud,3,pH,135,0.005554234236478805
external_test,grud,3,PaCO2,135,0.0033696294762194158
external_test,grud,3,SaO2,135,0.0014358400798368234
external_test,grud,3,BUN,135,0.10405297636709832
external_test,grud,3,Chloride,135,0.009870689790006036
external_test,grud,3,Creatinine,135,0.10599992551185466
external_test,grud,3,Glucose,135,0.23381246825059254
external_test,grud,3,Magnesium,135,0.07796984399082484
external_test,grud,3,Phosphate,135,0.04186149467196729
external_test,grud,3,Potassium,135,0.1130522591372331
external_test,grud,3,Hct,135,0.10534079389439689
external_test,grud,3,Hgb,135,0.1049548377317411
external_test,grud,3,WBC,135,0.09845269717000149
external_test,grud,3,Platelets,135,0.10034139486098731
