split,model,horizon_hours,variable,observed_targets,nmae,crps_scaled,coverage_90,coverage_error_90,mean_interval_width_scaled,nll_scaled
external_test,grud,1,HR,121,0.22671596471928368,0.17834960527656493,0.9586776859504132,0.05867768595041323,1.1168356651116993,0.24257039678983452
external_test,grud,1,O2Sat,117,0.528783210577109,0.4522708985540602,0.8803418803418803,0.0196581196581197,2.1035712539640246,1.6679334630314102
external_test,grud,1,Temp,44,0.23123777149753136,0.18227889710529285,0.9545454545454546,0.054545454545454564,1.2599982036785646,0.3289762477983128
external_test,grud,1,SBP,120,0.3538554464777311,0.28266033505400023,0.85,0.050000000000000044,1.545600136121114,0.741426665087541
external_test,grud,1,MAP,118,0.4049963658138857,0.3202751316761566,0.923728813559322,0.023728813559321993,1.9650189654301788,0.7984392087338334
external_test,grud,1,DBP,120,0.4309270488719145,0.34056101962924,0.9083333333333333,0.008333333333333304,1.8427516082922617,0.9093828568855922
external_test,grud,1,Resp,107,0.3097360725993308,0.25435669678393924,0.9439252336448598,0.043925233644859785,1.728515225036122,0.6180037112436562
external_test,grud,1,FiO2,1,2.735461473464966,2.0484790802001953,0.0,0.9,3.620819568634033,3.5255126953125
external_test,grud,1,pH,3,1.0282989144325256,0.7639152805010477,0.6666666666666666,0.2333333333333334,2.858894109725952,1.6294237971305847
external_test,grud,1,PaCO2,3,1.0731191833813984,0.7087846795717875,0.6666666666666666,0.2333333333333334,2.6362130641937256,1.5712554057439168
external_test,grud,1,SaO2,3,0.6514552434285482,0.9232327540715536,1.0,0.09999999999999998,8.813994407653809,2.0427067279815674
external_test,grud,1,BUN,8,0.3966616317629814,0.32328467816114426,1.0,0.09999999999999998,1.7091622352600098,0.7132370993494987
external_test,grud,1,Creatinine,8,0.6159504130482674,0.4260365106165409,1.0,0.09999999999999998,3.6362406611442566,1.1848061680793762
external_test,grud,1,Glucose,32,0.597006025724113,0.44469816889613867,0.9375,0.03749999999999998,2.7143176458775997,1.1581369303166866
external_test,grud,1,Magnesium,7,0.5680762018476214,0.4474954605102539,0.8571428571428571,0.04285714285714293,2.489389623914446,1.313558919089181
external_test,grud,1,Potassium,10,0.5652852237224579,0.4053244680166245,0.9,0.0,2.596129024028778,1.1758573532104493
external_test,grud,1,Hct,9,0.6894746555222405,0.5124444829093086,0.6666666666666666,0.2333333333333334,1.7467627724011738,1.4932263957129583
external_test,grud,1,Hgb,9,0.36253876156277126,0.2982700334654914,1.0,0.09999999999999998,2.1906707684199014,0.7916833029852973
external_test,grud,1,WBC,9,0.2533852259318034,0.3104118009408315,1.0,0.09999999999999998,2.3215136528015137,0.8229165540801154
external_test,grud,1,Platelets,9,0.1661529408560859,0.15078075561258528,1.0,0.09999999999999998,1.3730450471242268,0.15470045804977417
external_test,grud,3,HR,124,0.32240528397021756,0.25101931897863267,0.8951612903225806,0.004838709677419395,1.4700891663951259,0.5999430994833669
external_test,grud,3,O2Sat,118,0.5116153273542049,0.39730283011824397,0.8898305084745762,0.01016949152542379,2.305451684078928,1.049094212257256
external_test,grud,3,Temp,46,0.4225840808256813,0.33682340869437094,0.8695652173913043,0.0304347826086957,1.7349277410818182,0.8360785103362539
external_test,grud,3,SBP,123,0.4191529649059947,0.3304873731562762,0.8699186991869918,0.030081300813008194,1.7983228520649235,0.9094206332191219
external_test,grud,3,MAP,123,0.43807844757064573,0.35374035389442754,0.8861788617886179,0.013821138211382089,2.125190670897321,0.9501604413598533
external_test,grud,3,DBP,123,0.48320598621678545,0.3744917562822016,0.8780487804878049,0.02195121951219514,2.146817527166227,1.0019570685983674
external_test,grud,3,Resp,108,0.3519990715991568,0.30004505316416424,0.9537037037037037,0.0537037037037037,2.1009356291205794,0.7891742570532693
external_test,grud,3,FiO2,2,1.4305782467126846,0.9597122669219971,1.0,0.09999999999999998,4.514193296432495,1.6224118173122406
external_test,grud,3,BUN,16,0.32870587054640055,0.2504295874387026,0.9375,0.03749999999999998,1.2949142530560493,0.48989368975162506
external_test,grud,3,Creatinine,16,3.2026248294860125,2.4699709359556437,0.75,0.15000000000000002,7.538327977061272,5.251210305839777
external_test,grud,3,Glucose,39,0.6709742423815604,0.5043560289419614,0.9487179487179487,0.048717948717948656,3.2082460048871164,1.354189395904541
external_test,grud,3,Magnesium,12,0.6426012217998505,0.46915879969795543,0.75,0.15000000000000002,2.5351781249046326,1.2326809068520863
external_test,grud,3,Phosphate,6,0.6747891157865524,0.5237118105093638,1.0,0.09999999999999998,3.0534712870915732,1.1824159820874531
external_test,grud,3,Potassium,18,0.8219467269049751,0.652943053179317,0.8888888888888888,0.011111111111111183,2.8783678081300526,1.6038347747590807
external_test,grud,3,Hct,16,0.6363907754421234,0.48110170289874077,0.75,0.15000000000000002,1.6347783505916595,1.5338419154286385
external_test,grud,3,Hgb,16,0.7529890015721321,0.5746648758649826,0.625,0.275,1.7942157834768295,2.0430357418954372
external_test,grud,3,WBC,15,0.3152714163064957,0.23847676316897073,0.9333333333333333,0.033333333333333326,1.7571603775024414,0.6942790945370992
external_test,grud,3,Platelets,15,0.26724305550257366,0.19895825982093812,0.9333333333333333,0.033333333333333326,1.3687740723292032,0.4333873510360718
