split,model,horizon_hours,variable,targets,brier
external_calibration,grud,1,HR,84,0.10940257543604405
external_calibration,grud,1,O2Sat,84,0.09881486268395315
external_calibration,grud,1,Temp,84,0.21025699208534898
external_calibration,grud,1,SBP,84,0.1085702204242504
external_calibration,grud,1,MAP,84,0.11627174657474998
external_calibration,grud,1,DBP,84,0.13304097025233896
external_calibration,grud,1,Resp,84,0.18010414924252213
external_calibration,grud,1,BaseExcess,84,0.002419602195177937
external_calibration,grud,1,HCO3,84,0.012932860855168352
external_calibration,grud,1,FiO2,84,0.0028050527686164493
external_calibration,grud,1,pH,84,0.004050685514119409
external_calibration,grud,1,PaCO2,84,0.003025612422442507
external_calibration,grud,1,SaO2,84,0.0011864238213525997
external_calibration,grud,1,BUN,84,0.07182941450238493
external_calibration,grud,1,Chloride,84,0.012493656130529763
external_calibration,grud,1,Creatinine,84,0.07036270348111257
external_calibration,grud,1,Glucose,84,0.1385670734037246
external_calibration,grud,1,Magnesium,84,0.053830777832661714
external_calibration,grud,1,Phosphate,84,0.035868953359091564
external_calibration,grud,1,Potassium,84,0.07294429898528117
external_calibration,grud,1,Hct,84,0.06433228942166482
external_calibration,grud,1,Hgb,84,0.06077518641749131
external_calibration,grud,1,WBC,84,0.052864586593516706
external_calibration,grud,1,Platelets,84,0.052262539958714375
external_calibration,grud,3,HR,84,0.06709807664654883
external_calibration,grud,3,O2Sat,84,0.0693335141778724
external_calibration,grud,3,Temp,84,0.21081915639695667
external_calibration,grud,3,SBP,84,0.06147864340510707
external_calibration,grud,3,MAP,84,0.0727996374189388
external_calibration,grud,3,DBP,84,0.16425584917998917
external_calibration,grud,3,Resp,84,0.09500258211933431
external_calibration,grud,3,BaseExcess,84,0.0022441061030674192
external_calibration,grud,3,HCO3,84,0.01096425342118545
external_calibration,grud,3,FiO2,84,0.0036250733981086384
external_calibration,grud,3,pH,84,0.003570578618174685
external_calibration,grud,3,PaCO2,84,0.002407392510490137
external_calibration,grud,3,SaO2,84,0.0008551172033462319
external_calibration,grud,3,BUN,84,0.04586005297356418
external_calibration,grud,3,Chloride,84,0.010871499965322159
external_calibration,grud,3,Creatinine,84,0.04319551024430742
external_calibration,grud,3,Glucose,84,0.14546332900811518
external_calibration,grud,3,Magnesium,84,0.05718198480151061
external_calibration,grud,3,Phosphate,84,0.023422864835343456
external_calibration,grud,3,Potassium,84,0.05669738190426003
external_calibration,grud,3,Hct,84,0.03274719023500525
external_calibration,grud,3,Hgb,84,0.029147709292980533
external_calibration,grud,3,WBC,84,0.02801682769564823
external_calibration,grud,3,Platelets,84,0.024129557622862712
