split,model,horizon_hours,variable,targets,brier
internal_test,grud,1,HR,66,0.0408267592380677
internal_test,grud,1,O2Sat,66,0.10894050186845672
internal_test,grud,1,Temp,66,0.18414589514334997
internal_test,grud,1,SBP,66,0.12935107622549616
internal_test,grud,1,MAP,66,0.1136856055095312
internal_test,grud,1,DBP,66,0.010257776428206302
internal_test,grud,1,Resp,66,0.06467934781385613
internal_test,grud,1,BaseExcess,66,0.0354181436705403
internal_test,grud,1,HCO3,66,0.037006740592363654
internal_test,grud,1,FiO2,66,0.04373525204419187
internal_test,grud,1,pH,66,0.055013981104517974
internal_test,grud,1,PaCO2,66,0.03283671562552847
internal_test,grud,1,SaO2,66,0.02424970484786503
internal_test,grud,1,BUN,66,0.037650300577903785
internal_test,grud,1,Chloride,66,0.037334409627047455
internal_test,grud,1,Creatinine,66,0.027058686468411575
internal_test,grud,1,Glucose,66,0.0696789783171632
internal_test,grud,1,Magnesium,66,0.05278615417862029
internal_test,grud,1,Phosphate,66,0.003299205720946757
internal_test,grud,1,Potassium,66,0.06526475653729656
internal_test,grud,1,Hct,66,0.06699250867082314
internal_test,grud,1,Hgb,66,0.04384334365639723
internal_test,grud,1,WBC,66,0.03599165545099161
internal_test,grud,1,Platelets,66,0.02687764097230904
internal_test,grud,3,HR,66,0.04632914025481141
internal_test,grud,3,O2Sat,66,0.09943775587475323
internal_test,grud,3,Temp,66,0.18900072326262793
internal_test,grud,3,SBP,66,0.13009723607771748
internal_test,grud,3,MAP,66,0.11406891960227354
internal_test,grud,3,DBP,66,0.045661816637165786
internal_test,grud,3,Resp,66,0.08673022733295732
internal_test,grud,3,BaseExcess,66,0.029779711491287206
internal_test,grud,3,HCO3,66,0.05790318265049295
internal_test,grud,3,FiO2,66,0.03939934570172971
internal_test,grud,3,pH,66,0.043591614361062195
internal_test,grud,3,PaCO2,66,0.029793799353876348
internal_test,grud,3,SaO2,66,0.018299775200196593
internal_test,grud,3,BUN,66,0.05756655579545733
internal_test,grud,3,Chloride,66,0.07110494372406692
internal_test,grud,3,Creatinine,66,0.055969263462236886
internal_test,grud,3,Glucose,66,0.0868203177709471
internal_test,grud,3,Magnesium,66,0.06987470056805195
internal_test,grud,3,Phosphate,66,0.05582996665951655
internal_test,grud,3,Potassium,66,0.08337782233050375
internal_test,grud,3,Hct,66,0.08740022820843892
internal_test,grud,3,Hgb,66,0.0872043984180147
internal_test,grud,3,WBC,66,0.07231453810395165
internal_test,grud,3,Platelets,66,0.05627613527361642
