split,model,horizon_hours,constraint,violations,generated_states,violations_per_1000_states
external_calibration,grud,1,FiO2_bounds,106,66280,1.5992757996379
external_calibration,grud,1,O2Sat_bounds,8007,66280,120.80567290283645
external_calibration,grud,1,SaO2_bounds,432,66280,6.51780325890163
external_calibration,grud,1,emitted_FiO2_bounds,1286,66280,19.40253470126735
external_calibration,grud,1,emitted_O2Sat_bounds,8805,66280,132.84550392275196
external_calibration,grud,1,emitted_SaO2_bounds,13677,66280,206.35184067592033
external_calibration,grud,1,emitted_pressure_order,6572,66280,99.15509957754979
external_calibration,grud,1,pressure_order,5693,66280,85.89318044659022
external_calibration,grud,3,FiO2_bounds,232,66280,3.500301750150875
external_calibration,grud,3,O2Sat_bounds,8756,66280,132.10621605310803
external_calibration,grud,3,SaO2_bounds,1022,66280,15.419432709716355
external_calibration,grud,3,emitted_FiO2_bounds,1109,66280,16.732045866022933
external_calibration,grud,3,emitted_O2Sat_bounds,8847,66280,133.47917923958963
external_calibration,grud,3,emitted_SaO2_bounds,14109,66280,212.86964393482197
external_calibration,grud,3,emitted_pressure_order,7837,66280,118.24079662039831
external_calibration,grud,3,pressure_order,7585,66280,114.43874471937237
external_calibration,grud,6,FiO2_bounds,309,66280,4.662039831019915
external_calibration,grud,6,O2Sat_bounds,8753,66280,132.06095353047675
external_calibration,grud,6,SaO2_bounds,1904,66280,28.72661436330718
external_calibration,grud,6,emitted_FiO2_bounds,1046,66280,15.781532890766446
external_calibration,grud,6,emitted_O2Sat_bounds,8759,66280,132.15147857573928
external_calibration,grud,6,emitted_SaO2_bounds,13664,66280,206.15570307785154
external_calibration,grud,6,emitted_pressure_order,8683,66280,131.004828002414
external_calibration,grud,6,pressure_order,8831,66280,133.23777911888956
external_calibration,grud,12,FiO2_bounds,348,66280,5.250452625226313
external_calibration,grud,12,O2Sat_bounds,8752,66280,132.045866022933
external_calibration,grud,12,SaO2_bounds,3208,66280,48.4007242003621
external_calibration,grud,12,emitted_FiO2_bounds,1005,66280,15.162945081472541
external_calibration,grud,12,emitted_O2Sat_bounds,8732,66280,131.74411587205793
external_calibration,grud,12,emitted_SaO2_bounds,13330,66280,201.11647555823777
external_calibration,grud,12,emitted_pressure_order,10152,66280,153.16837658418828
external_calibration,grud,12,pressure_order,10238,66280,154.46590223295112
external_calibration,grud,24,FiO2_bounds,358,66280,5.401327700663851
external_calibration,grud,24,O2Sat_bounds,8559,66280,129.13397706698854
external_calibration,grud,24,SaO2_bounds,5192,66280,78.33433916716959
external_calibration,grud,24,emitted_FiO2_bounds,909,66280,13.714544357272178
external_calibration,grud,24,emitted_O2Sat_bounds,8587,66280,129.55642727821365
external_calibration,grud,24,emitted_SaO2_bounds,12750,66280,192.3657211828606
external_calibration,grud,24,emitted_pressure_order,11199,66280,168.9649969824985
external_calibration,grud,24,pressure_order,11478,66280,173.17441158720578
