split,model,horizon_hours,constraint,violations,generated_states,violations_per_1000_states
external_test,grud,1,FiO2_bounds,1076,609000,1.7668308702791462
external_test,grud,1,O2Sat_bounds,74793,609000,122.8128078817734
external_test,grud,1,SaO2_bounds,4506,609000,7.399014778325123
external_test,grud,1,emitted_FiO2_bounds,7926,609000,13.014778325123153
external_test,grud,1,emitted_O2Sat_bounds,82197,609000,134.9704433497537
external_test,grud,1,emitted_SaO2_bounds,126723,609000,208.08374384236453
external_test,grud,1,emitted_pressure_order,63004,609000,103.45484400656814
external_test,grud,1,pressure_order,56381,609000,92.57963875205255
external_test,grud,3,FiO2_bounds,1942,609000,3.1888341543513956
external_test,grud,3,O2Sat_bounds,81000,609000,133.00492610837438
external_test,grud,3,SaO2_bounds,11760,609000,19.310344827586206
external_test,grud,3,emitted_FiO2_bounds,7734,609000,12.699507389162562
external_test,grud,3,emitted_O2Sat_bounds,81596,609000,133.98357963875205
external_test,grud,3,emitted_SaO2_bounds,126639,609000,207.94581280788177
external_test,grud,3,emitted_pressure_order,72877,609000,119.66666666666667
external_test,grud,3,pressure_order,73535,609000,120.74712643678161
external_test,grud,6,FiO2_bounds,2619,609000,4.300492610837439
external_test,grud,6,O2Sat_bounds,77672,609000,127.54022988505747
external_test,grud,6,SaO2_bounds,20256,609000,33.26108374384236
external_test,grud,6,emitted_FiO2_bounds,7650,609000,12.561576354679802
external_test,grud,6,emitted_O2Sat_bounds,77773,609000,127.70607553366175
external_test,grud,6,emitted_SaO2_bounds,123712,609000,203.13957307060755
external_test,grud,6,emitted_pressure_order,81219,609000,133.36453201970443
external_test,grud,6,pressure_order,85099,609000,139.73563218390805
external_test,grud,12,FiO2_bounds,3278,609000,5.382594417077176
external_test,grud,12,O2Sat_bounds,71204,609000,116.91954022988506
external_test,grud,12,SaO2_bounds,33150,609000,54.433497536945815
external_test,grud,12,emitted_FiO2_bounds,8007,609000,13.147783251231527
external_test,grud,12,emitted_O2Sat_bounds,71364,609000,117.18226600985221
external_test,grud,12,emitted_SaO2_bounds,120610,609000,198.04597701149424
external_test,grud,12,emitted_pressure_order,91980,609000,151.0344827586207
external_test,grud,12,pressure_order,98006,609000,160.9293924466338
external_test,grud,24,FiO2_bounds,3954,609000,6.4926108374384235
external_test,grud,24,O2Sat_bounds,66104,609000,108.54515599343186
external_test,grud,24,SaO2_bounds,50293,609000,82.58292282430213
external_test,grud,24,emitted_FiO2_bounds,8041,609000,13.203612479474549
external_test,grud,24,emitted_O2Sat_bounds,66256,609000,108.79474548440065
external_test,grud,24,emitted_SaO2_bounds,116776,609000,191.7504105090312
external_test,grud,24,emitted_pressure_order,101673,609000,166.95073891625617
external_test,grud,24,pressure_order,108205,609000,177.67651888341544
internal_test,grud,1,FiO2_bounds,225,102860,2.18743923779895
internal_test,grud,1,O2Sat_bounds,12494,102860,121.4660703869337
internal_test,grud,1,SaO2_bounds,1102,102860,10.713591289130857
internal_test,grud,1,emitted_FiO2_bounds,1483,102860,14.41765506513708
internal_test,grud,1,emitted_O2Sat_bounds,13852,102860,134.66848143107137
internal_test,grud,1,emitted_SaO2_bounds,20735,102860,201.58467820338325
internal_test,grud,1,emitted_pressure_order,13806,102860,134.22127163134357
internal_test,grud,1,pressure_order,8916,102860,86.68092552984639
internal_test,grud,3,FiO2_bounds,414,102860,4.024888197550068
internal_test,grud,3,O2Sat_bounds,13494,102860,131.18802255492903
internal_test,grud,3,SaO2_bounds,2669,102860,25.947890336379544
internal_test,grud,3,emitted_FiO2_bounds,1369,102860,13.309352517985612
internal_test,grud,3,emitted_O2Sat_bounds,13668,102860,132.87964223216022
internal_test,grud,3,emitted_SaO2_bounds,20963,102860,203.80128329768618
internal_test,grud,3,emitted_pressure_order,14458,102860,140.55998444487653
internal_test,grud,3,pressure_order,10096,102860,98.15282908808089
internal_test,grud,6,FiO2_bounds,513,102860,4.987361462181606
internal_test,grud,6,O2Sat_bounds,13307,102860,129.3700174995139
internal_test,grud,6,SaO2_bounds,4422,102860,42.99047248687536
internal_test,grud,6,emitted_FiO2_bounds,1271,102860,12.356601205522068
internal_test,grud,6,emitted_O2Sat_bounds,13369,102860,129.9727785339296
internal_test,grud,6,emitted_SaO2_bounds,20510,102860,199.39723896558428
internal_test,grud,6,emitted_pressure_order,14821,102860,144.08905308185885
internal_test,grud,6,pressure_order,10941,102860,106.36787867003694
internal_test,grud,12,FiO2_bounds,579,102860,5.629010305269298
internal_test,grud,12,O2Sat_bounds,12701,102860,123.47851448570873
internal_test,grud,12,SaO2_bounds,6764,102860,65.75928446432043
internal_test,grud,12,emitted_FiO2_bounds,1200,102860,11.6663426015944
internal_test,grud,12,emitted_O2Sat_bounds,12738,102860,123.83822671592456
internal_test,grud,12,emitted_SaO2_bounds,20222,102860,196.59731674120164
internal_test,grud,12,emitted_pressure_order,15374,102860,149.46529263076025
internal_test,grud,12,pressure_order,12255,102860,119.1425238187828
internal_test,grud,24,FiO2_bounds,600,102860,5.8331713007972
internal_test,grud,24,O2Sat_bounds,12418,102860,120.72720202216605
internal_test,grud,24,SaO2_bounds,9307,102860,90.48220882753257
internal_test,grud,24,emitted_FiO2_bounds,1211,102860,11.77328407544235
internal_test,grud,24,emitted_O2Sat_bounds,12560,102860,122.10771923002139
internal_test,grud,24,emitted_SaO2_bounds,19647,102860,191.0071942446043
internal_test,grud,24,emitted_pressure_order,16147,102860,156.98036165662066
internal_test,grud,24,pressure_order,13984,102860,135.95177911724673
