split,model,horizon_hours,variable,targets,brier
external_test,rssm,1,HR,30450,0.0774281433141486
external_test,rssm,1,O2Sat,30450,0.09191585373604434
external_test,rssm,1,Temp,30450,0.22516932269818285
external_test,rssm,1,SBP,30450,0.09230879843724381
external_test,rssm,1,MAP,30450,0.09612360672997723
external_test,rssm,1,DBP,30450,0.22793538558267804
external_test,rssm,1,Resp,30450,0.1594947306961066
external_test,rssm,1,BaseExcess,30450,0.010611446673549064
external_test,rssm,1,HCO3,30450,0.007940213226626072
external_test,rssm,1,FiO2,30450,0.03634756743027072
external_test,rssm,1,pH,30450,0.030382502640800915
external_test,rssm,1,PaCO2,30450,0.02722304706405145
external_test,rssm,1,SaO2,30450,0.021285177344220807
external_test,rssm,1,BUN,30450,0.05212348553934708
external_test,rssm,1,Chloride,30450,0.012392572459622556
external_test,rssm,1,Creatinine,30450,0.05177841364456515
external_test,rssm,1,Glucose,30450,0.19979818961107476
external_test,rssm,1,Magnesium,30450,0.046860587148635065
external_test,rssm,1,Phosphate,30450,0.02941652195304877
external_test,rssm,1,Potassium,30450,0.07394546150182464
external_test,rssm,1,Hct,30450,0.05832145492823057
external_test,rssm,1,Hgb,30450,0.056877050742335705
external_test,rssm,1,WBC,30450,0.050344964203184656
external_test,rssm,1,Platelets,30450,0.05110354835470322
external_test,rssm,3,HR,30450,0.07573151916314425
external_test,rssm,3,O2Sat,30450,0.09166804620589333
external_test,rssm,3,Temp,30450,0.22554169839630378
external_test,rssm,3,SBP,30450,0.0915076804200221
external_test,rssm,3,MAP,30450,0.09537282979547096
external_test,rssm,3,DBP,30450,0.2275494811570116
external_test,rssm,3,Resp,30450,0.1570151502119105
external_test,rssm,3,BaseExcess,30450,0.01054940713327898
external_test,rssm,3,HCO3,30450,0.007858352189996755
external_test,rssm,3,FiO2,30450,0.03561840114922359
external_test,rssm,3,pH,30450,0.029850050505550427
external_test,rssm,3,PaCO2,30450,0.02637357837044938
external_test,rssm,3,SaO2,30450,0.02060115159469334
external_test,rssm,3,BUN,30450,0.04713421949795608
external_test,rssm,3,Chloride,30450,0.011631611921199046
external_test,rssm,3,Creatinine,30450,0.04654950822882464
external_test,rssm,3,Glucose,30450,0.19647566990312096
external_test,rssm,3,Magnesium,30450,0.04280480127078168
external_test,rssm,3,Phosphate,30450,0.026229375534444706
external_test,rssm,3,Potassium,30450,0.06835469258413918
external_test,rssm,3,Hct,30450,0.05300721407866439
external_test,rssm,3,Hgb,30450,0.051683849711919264
external_test,rssm,3,WBC,30450,0.04396638674493298
external_test,rssm,3,Platelets,30450,0.04430114714664289
external_test,rssm,6,HR,30450,0.0803102795488533
external_test,rssm,6,O2Sat,30450,0.09577374860766681
external_test,rssm,6,Temp,30450,0.22685904670427193
external_test,rssm,6,SBP,30450,0.09395847981003509
external_test,rssm,6,MAP,30450,0.09767386659221304
external_test,rssm,6,DBP,30450,0.22275108992368325
external_test,rssm,6,Resp,30450,0.16192572023285237
external_test,rssm,6,BaseExcess,30450,0.011016030294701384
external_test,rssm,6,HCO3,30450,0.008199658717452403
external_test,rssm,6,FiO2,30450,0.03413529100823285
external_test,rssm,6,pH,30450,0.028302888089702244
external_test,rssm,6,PaCO2,30450,0.02451388641714756
external_test,rssm,6,SaO2,30450,0.018923485943518444
external_test,rssm,6,BUN,30450,0.044016592796212936
external_test,rssm,6,Chloride,30450,0.011620974264953328
external_test,rssm,6,Creatinine,30450,0.043223089704959854
external_test,rssm,6,Glucose,30450,0.18856222541069945
external_test,rssm,6,Magnesium,30450,0.040058763650642044
external_test,rssm,6,Phosphate,30450,0.024892616086013994
external_test,rssm,6,Potassium,30450,0.06468488461082596
external_test,rssm,6,Hct,30450,0.04973736707995874
external_test,rssm,6,Hgb,30450,0.04776361575952696
external_test,rssm,6,WBC,30450,0.040495900065930214
external_test,rssm,6,Platelets,30450,0.04116048819203486
external_test,rssm,12,HR,30450,0.07787400982650043
external_test,rssm,12,O2Sat,30450,0.09493753957043728
external_test,rssm,12,Temp,30450,0.22673198123675067
external_test,rssm,12,SBP,30450,0.0927573924463958
external_test,rssm,12,MAP,30450,0.09588084046672327
external_test,rssm,12,DBP,30450,0.21430661920256217
external_test,rssm,12,Resp,30450,0.1542023802527849
external_test,rssm,12,BaseExcess,30450,0.010731706008779983
external_test,rssm,12,HCO3,30450,0.007914777113299064
external_test,rssm,12,FiO2,30450,0.03233150581518809
external_test,rssm,12,pH,30450,0.02613022944610107
external_test,rssm,12,PaCO2,30450,0.021919934265866067
external_test,rssm,12,SaO2,30450,0.016484151322376257
external_test,rssm,12,BUN,30450,0.04782034178048813
external_test,rssm,12,Chloride,30450,0.010368837138457447
external_test,rssm,12,Creatinine,30450,0.04710883006539153
external_test,rssm,12,Glucose,30450,0.18186732271817713
external_test,rssm,12,Magnesium,30450,0.04472269250939437
external_test,rssm,12,Phosphate,30450,0.02714685919714483
external_test,rssm,12,Potassium,30450,0.06602040409405635
external_test,rssm,12,Hct,30450,0.05304980771980066
external_test,rssm,12,Hgb,30450,0.050953721663928385
external_test,rssm,12,WBC,30450,0.044796253152326215
external_test,rssm,12,Platelets,30450,0.04531186914172372
external_test,rssm,24,HR,30450,0.08458547623800526
external_test,rssm,24,O2Sat,30450,0.10236274201098726
external_test,rssm,24,Temp,30450,0.22580999287478443
external_test,rssm,24,SBP,30450,0.10130395922559039
external_test,rssm,24,MAP,30450,0.10545503010695008
external_test,rssm,24,DBP,30450,0.20690674726207464
external_test,rssm,24,Resp,30450,0.1595689847008348
external_test,rssm,24,BaseExcess,30450,0.010977667511145666
external_test,rssm,24,HCO3,30450,0.008051346133788818
external_test,rssm,24,FiO2,30450,0.0319900088743819
external_test,rssm,24,pH,30450,0.025060880611878507
external_test,rssm,24,PaCO2,30450,0.020736102745891206
external_test,rssm,24,SaO2,30450,0.015045254610491112
external_test,rssm,24,BUN,30450,0.04822433771036431
external_test,rssm,24,Chloride,30450,0.01002058662241707
external_test,rssm,24,Creatinine,30450,0.047393745296376286
external_test,rssm,24,Glucose,30450,0.17340545921685857
external_test,rssm,24,Magnesium,30450,0.04499654546832706
external_test,rssm,24,Phosphate,30450,0.026115903457801036
external_test,rssm,24,Potassium,30450,0.0639568310479323
external_test,rssm,24,Hct,30450,0.05389711990536532
external_test,rssm,24,Hgb,30450,0.050870904204342364
external_test,rssm,24,WBC,30450,0.04577047802862667
external_test,rssm,24,Platelets,30450,0.04634086189745682
internal_test,rssm,1,HR,5143,0.059269721026367746
internal_test,rssm,1,O2Sat,5143,0.08748437007901827
internal_test,rssm,1,Temp,5143,0.2188663467831494
internal_test,rssm,1,SBP,5143,0.10387845443144815
internal_test,rssm,1,MAP,5143,0.07537564120124848
internal_test,rssm,1,DBP,5143,0.2080678465578219
internal_test,rssm,1,Resp,5143,0.07068351193344038
internal_test,rssm,1,BaseExcess,5143,0.09572098068798791
internal_test,rssm,1,HCO3,5143,0.07146405953506123
internal_test,rssm,1,FiO2,5143,0.13860413222931342
internal_test,rssm,1,pH,5143,0.1021619109346689
internal_test,rssm,1,PaCO2,5143,0.08432964130804368
internal_test,rssm,1,SaO2,5143,0.04430496267396352
internal_test,rssm,1,BUN,5143,0.07255564236858812
internal_test,rssm,1,Chloride,5143,0.07149409624289242
internal_test,rssm,1,Creatinine,5143,0.06272386295795904
internal_test,rssm,1,Glucose,5143,0.10468912071322227
internal_test,rssm,1,Magnesium,5143,0.07115650597699719
internal_test,rssm,1,Phosphate,5143,0.050793337066906474
internal_test,rssm,1,Potassium,5143,0.09062663965968801
internal_test,rssm,1,Hct,5143,0.09981413054925191
internal_test,rssm,1,Hgb,5143,0.07812095532128951
internal_test,rssm,1,WBC,5143,0.06617503241066708
internal_test,rssm,1,Platelets,5143,0.06117181782126311
internal_test,rssm,3,HR,5143,0.057414424053175823
internal_test,rssm,3,O2Sat,5143,0.08736097736162085
internal_test,rssm,3,Temp,5143,0.21941396018630355
internal_test,rssm,3,SBP,5143,0.10450861928251126
internal_test,rssm,3,MAP,5143,0.07453702090895874
internal_test,rssm,3,DBP,5143,0.21601538043436594
internal_test,rssm,3,Resp,5143,0.07197846014769003
internal_test,rssm,3,BaseExcess,5143,0.09598473468319164
internal_test,rssm,3,HCO3,5143,0.07372301382335178
internal_test,rssm,3,FiO2,5143,0.13680694623839965
internal_test,rssm,3,pH,5143,0.10297801205788794
internal_test,rssm,3,PaCO2,5143,0.08494214384142768
internal_test,rssm,3,SaO2,5143,0.04737431677675841
internal_test,rssm,3,BUN,5143,0.07436181125347888
internal_test,rssm,3,Chloride,5143,0.07554613032647893
internal_test,rssm,3,Creatinine,5143,0.060846919589716705
internal_test,rssm,3,Glucose,5143,0.10113044015030302
internal_test,rssm,3,Magnesium,5143,0.0738173914447082
internal_test,rssm,3,Phosphate,5143,0.04935767038448437
internal_test,rssm,3,Potassium,5143,0.0955138652212954
internal_test,rssm,3,Hct,5143,0.10039120250793136
internal_test,rssm,3,Hgb,5143,0.07627027003873584
internal_test,rssm,3,WBC,5143,0.06488861826498546
internal_test,rssm,3,Platelets,5143,0.05667214484564089
internal_test,rssm,6,HR,5143,0.06227292308495848
internal_test,rssm,6,O2Sat,5143,0.09594872687174934
internal_test,rssm,6,Temp,5143,0.22329717203496657
internal_test,rssm,6,SBP,5143,0.11007362549670725
internal_test,rssm,6,MAP,5143,0.07887324894213987
internal_test,rssm,6,DBP,5143,0.2229592297157378
