split,model,horizon_hours,constraint,violations,generated_states,violations_per_1000_states
external_calibration,rssm,1,FiO2_bounds,2,66280,0.030175015087507542
external_calibration,rssm,1,O2Sat_bounds,2050,66280,30.92939046469523
external_calibration,rssm,1,SaO2_bounds,639,66280,9.64091732045866
external_calibration,rssm,1,emitted_FiO2_bounds,11,66280,0.1659625829812915
external_calibration,rssm,1,emitted_O2Sat_bounds,2314,66280,34.91249245624623
external_calibration,rssm,1,emitted_SaO2_bounds,15776,66280,238.0205190102595
external_calibration,rssm,1,emitted_pressure_order,54,66280,0.8147254073627037
external_calibration,rssm,1,pressure_order,1399,66280,21.10742305371153
external_calibration,rssm,3,FiO2_bounds,4,66280,0.060350030175015085
external_calibration,rssm,3,O2Sat_bounds,1875,66280,28.289076644538323
external_calibration,rssm,3,SaO2_bounds,1909,66280,28.80205190102595
external_calibration,rssm,3,emitted_FiO2_bounds,7,66280,0.1056125528062764
external_calibration,rssm,3,emitted_O2Sat_bounds,1867,66280,28.16837658418829
external_calibration,rssm,3,emitted_SaO2_bounds,15386,66280,232.13639106819554
external_calibration,rssm,3,emitted_pressure_order,42,66280,0.6336753168376584
external_calibration,rssm,3,pressure_order,534,66280,8.056729028364515
external_calibration,rssm,6,FiO2_bounds,4,66280,0.060350030175015085
external_calibration,rssm,6,O2Sat_bounds,1675,66280,25.271575135787568
external_calibration,rssm,6,SaO2_bounds,3684,66280,55.5823777911889
external_calibration,rssm,6,emitted_FiO2_bounds,7,66280,0.1056125528062764
external_calibration,rssm,6,emitted_O2Sat_bounds,1693,66280,25.543150271575136
external_calibration,rssm,6,emitted_SaO2_bounds,15530,66280,234.30899215449608
external_calibration,rssm,6,emitted_pressure_order,38,66280,0.5733252866626434
external_calibration,rssm,6,pressure_order,230,66280,3.4701267350633676
external_calibration,rssm,12,FiO2_bounds,5,66280,0.07543753771876886
external_calibration,rssm,12,O2Sat_bounds,1478,66280,22.299336149668076
external_calibration,rssm,12,SaO2_bounds,6369,66280,96.09233554616777
external_calibration,rssm,12,emitted_FiO2_bounds,5,66280,0.07543753771876886
external_calibration,rssm,12,emitted_O2Sat_bounds,1491,66280,22.495473747736874
external_calibration,rssm,12,emitted_SaO2_bounds,14985,66280,226.08630054315026
external_calibration,rssm,12,emitted_pressure_order,18,66280,0.27157513578756787
external_calibration,rssm,12,pressure_order,114,66280,1.71997585998793
external_calibration,rssm,24,FiO2_bounds,1,66280,0.015087507543753771
external_calibration,rssm,24,O2Sat_bounds,1216,66280,18.346409173204588
external_calibration,rssm,24,SaO2_bounds,10057,66280,151.7350633675317
external_calibration,rssm,24,emitted_FiO2_bounds,0,66280,0.0
external_calibration,rssm,24,emitted_O2Sat_bounds,1209,66280,18.24079662039831
external_calibration,rssm,24,emitted_SaO2_bounds,14444,66280,217.92395896197948
external_calibration,rssm,24,emitted_pressure_order,29,66280,0.4375377187688594
external_calibration,rssm,24,pressure_order,73,66280,1.1013880506940255
