split,model,horizon_hours,constraint,violations,generated_states,violations_per_1000_states
external_test,rssm,1,FiO2_bounds,385,609000,0.632183908045977
external_test,rssm,1,O2Sat_bounds,6865,609000,11.272577996715928
external_test,rssm,1,SaO2_bounds,5569,609000,9.144499178981938
external_test,rssm,1,emitted_FiO2_bounds,314,609000,0.5155993431855501
external_test,rssm,1,emitted_O2Sat_bounds,7738,609000,12.70607553366174
external_test,rssm,1,emitted_SaO2_bounds,121243,609000,199.08538587848932
external_test,rssm,1,emitted_pressure_order,133,609000,0.21839080459770116
external_test,rssm,1,pressure_order,15660,609000,25.714285714285715
external_test,rssm,3,FiO2_bounds,271,609000,0.44499178981937604
external_test,rssm,3,O2Sat_bounds,5064,609000,8.31527093596059
external_test,rssm,3,SaO2_bounds,15909,609000,26.123152709359605
external_test,rssm,3,emitted_FiO2_bounds,247,609000,0.40558292282430214
external_test,rssm,3,emitted_O2Sat_bounds,4984,609000,8.183908045977011
external_test,rssm,3,emitted_SaO2_bounds,118612,609000,194.76518883415434
external_test,rssm,3,emitted_pressure_order,86,609000,0.1412151067323481
external_test,rssm,3,pressure_order,5165,609000,8.48111658456486
external_test,rssm,6,FiO2_bounds,243,609000,0.39901477832512317
external_test,rssm,6,O2Sat_bounds,3794,609000,6.2298850574712645
external_test,rssm,6,SaO2_bounds,29598,609000,48.600985221674875
external_test,rssm,6,emitted_FiO2_bounds,214,609000,0.35139573070607555
external_test,rssm,6,emitted_O2Sat_bounds,3819,609000,6.270935960591133
external_test,rssm,6,emitted_SaO2_bounds,117604,609000,193.11001642036126
external_test,rssm,6,emitted_pressure_order,72,609000,0.11822660098522167
external_test,rssm,6,pressure_order,1449,609000,2.3793103448275863
external_test,rssm,12,FiO2_bounds,204,609000,0.33497536945812806
external_test,rssm,12,O2Sat_bounds,3151,609000,5.174055829228243
external_test,rssm,12,SaO2_bounds,52079,609000,85.51559934318556
external_test,rssm,12,emitted_FiO2_bounds,123,609000,0.2019704433497537
external_test,rssm,12,emitted_O2Sat_bounds,3168,609000,5.201970443349754
external_test,rssm,12,emitted_SaO2_bounds,117108,609000,192.29556650246306
external_test,rssm,12,emitted_pressure_order,58,609000,0.09523809523809523
external_test,rssm,12,pressure_order,740,609000,1.2151067323481117
external_test,rssm,24,FiO2_bounds,99,609000,0.1625615763546798
external_test,rssm,24,O2Sat_bounds,3047,609000,5.003284072249589
external_test,rssm,24,SaO2_bounds,82627,609000,135.67651888341544
external_test,rssm,24,emitted_FiO2_bounds,73,609000,0.11986863711001643
external_test,rssm,24,emitted_O2Sat_bounds,3060,609000,5.024630541871921
external_test,rssm,24,emitted_SaO2_bounds,119663,609000,196.49096880131364
external_test,rssm,24,emitted_pressure_order,27,609000,0.04433497536945813
external_test,rssm,24,pressure_order,534,609000,0.8768472906403941
internal_test,rssm,1,FiO2_bounds,11,102860,0.10694147384794866
internal_test,rssm,1,O2Sat_bounds,1034,102860,10.052498541707175
internal_test,rssm,1,SaO2_bounds,972,102860,9.449737507291465
internal_test,rssm,1,emitted_FiO2_bounds,94,102860,0.9138635037915613
internal_test,rssm,1,emitted_O2Sat_bounds,1173,102860,11.403849893058526
internal_test,rssm,1,emitted_SaO2_bounds,21085,102860,204.9873614621816
internal_test,rssm,1,emitted_pressure_order,27,102860,0.26249270853587403
internal_test,rssm,1,pressure_order,1702,102860,16.546762589928058
internal_test,rssm,3,FiO2_bounds,23,102860,0.22360489986389268
internal_test,rssm,3,O2Sat_bounds,911,102860,8.85669842504375
internal_test,rssm,3,SaO2_bounds,2823,102860,27.445070970250825
internal_test,rssm,3,emitted_FiO2_bounds,67,102860,0.6513707952556873
internal_test,rssm,3,emitted_O2Sat_bounds,910,102860,8.846976472875754
internal_test,rssm,3,emitted_SaO2_bounds,20626,102860,200.52498541707175
internal_test,rssm,3,emitted_pressure_order,21,102860,0.204160995527902
internal_test,rssm,3,pressure_order,483,102860,4.6957028971417465
internal_test,rssm,6,FiO2_bounds,29,102860,0.28193661287186467
internal_test,rssm,6,O2Sat_bounds,667,102860,6.484542096052888
internal_test,rssm,6,SaO2_bounds,5274,102860,51.27357573400739
internal_test,rssm,6,emitted_FiO2_bounds,32,102860,0.3111024693758507
internal_test,rssm,6,emitted_O2Sat_bounds,664,102860,6.455376239548902
internal_test,rssm,6,emitted_SaO2_bounds,20438,102860,198.69725840948863
internal_test,rssm,6,emitted_pressure_order,7,102860,0.06805366517596734
internal_test,rssm,6,pressure_order,207,102860,2.012444098775034
internal_test,rssm,12,FiO2_bounds,26,102860,0.25277075636787866
internal_test,rssm,12,O2Sat_bounds,586,102860,5.6970639704452655
internal_test,rssm,12,SaO2_bounds,9360,102860,90.99747229243633
internal_test,rssm,12,emitted_FiO2_bounds,25,102860,0.24304880419988334
internal_test,rssm,12,emitted_O2Sat_bounds,586,102860,5.6970639704452655
internal_test,rssm,12,emitted_SaO2_bounds,20190,102860,196.28621427182577
internal_test,rssm,12,emitted_pressure_order,15,102860,0.14582928251993
internal_test,rssm,12,pressure_order,135,102860,1.31246354267937
internal_test,rssm,24,FiO2_bounds,18,102860,0.174995139023916
internal_test,rssm,24,O2Sat_bounds,542,102860,5.269298075053471
internal_test,rssm,24,SaO2_bounds,14543,102860,141.38635037915614
internal_test,rssm,24,emitted_FiO2_bounds,14,102860,0.13610733035193467
internal_test,rssm,24,emitted_O2Sat_bounds,541,102860,5.259576122885475
internal_test,rssm,24,emitted_SaO2_bounds,20494,102860,199.24168773089636
