split,model,horizon_hours,variable,targets,brier
internal_test,transformer,1,HR,66,0.045355959201873644
internal_test,transformer,1,O2Sat,66,0.11499728606202442
internal_test,transformer,1,Temp,66,0.17899078006545702
internal_test,transformer,1,SBP,66,0.10314866382351752
internal_test,transformer,1,MAP,66,0.12435615446178638
internal_test,transformer,1,DBP,66,0.0026148184181445026
internal_test,transformer,1,Resp,66,0.06456945049682293
internal_test,transformer,1,BaseExcess,66,0.036803784907202826
internal_test,transformer,1,HCO3,66,0.03662526680890358
internal_test,transformer,1,FiO2,66,0.04739295809783719
internal_test,transformer,1,pH,66,0.05741701813442915
internal_test,transformer,1,PaCO2,66,0.03201386238674097
internal_test,transformer,1,SaO2,66,0.02213008624279279
internal_test,transformer,1,BUN,66,0.036744363881139594
internal_test,transformer,1,Chloride,66,0.03715552194185103
internal_test,transformer,1,Creatinine,66,0.029421737502244385
internal_test,transformer,1,Glucose,66,0.07171723212708127
internal_test,transformer,1,Magnesium,66,0.050855139743141604
internal_test,transformer,1,Phosphate,66,0.003348351435058496
internal_test,transformer,1,Potassium,66,0.06500897325123801
internal_test,transformer,1,Hct,66,0.06800955731534597
internal_test,transformer,1,Hgb,66,0.044868556415718616
internal_test,transformer,1,WBC,66,0.03664275802051028
internal_test,transformer,1,Platelets,66,0.029206660477388086
internal_test,transformer,3,HR,66,0.05446171639557702
internal_test,transformer,3,O2Sat,66,0.09867674850675305
internal_test,transformer,3,Temp,66,0.1930313968297207
internal_test,transformer,3,SBP,66,0.11892258080435127
internal_test,transformer,3,MAP,66,0.1280721815410564
internal_test,transformer,3,DBP,66,0.04108991177936056
internal_test,transformer,3,Resp,66,0.1020259451064648
internal_test,transformer,3,BaseExcess,66,0.029021246864982513
internal_test,transformer,3,HCO3,66,0.05742989592324717
internal_test,transformer,3,FiO2,66,0.04841182622917448
internal_test,transformer,3,pH,66,0.044222832332844984
internal_test,transformer,3,PaCO2,66,0.027008311290322155
internal_test,transformer,3,SaO2,66,0.019039108323561253
internal_test,transformer,3,BUN,66,0.057182487245
internal_test,transformer,3,Chloride,66,0.07087685088062602
internal_test,transformer,3,Creatinine,66,0.05622105057012628
internal_test,transformer,3,Glucose,66,0.08266969437174725
internal_test,transformer,3,Magnesium,66,0.0699561705890422
internal_test,transformer,3,Phosphate,66,0.056275109394460524
internal_test,transformer,3,Potassium,66,0.08201639454416705
internal_test,transformer,3,Hct,66,0.08801292247054252
internal_test,transformer,3,Hgb,66,0.08749092450704087
internal_test,transformer,3,WBC,66,0.07311329496742199
internal_test,transformer,3,Platelets,66,0.05703486264048314
