split,model,horizon_hours,constraint,violations,generated_states,violations_per_1000_states
external_test,transformer,1,FiO2_bounds,1561,609000,2.5632183908045976
external_test,transformer,1,O2Sat_bounds,67640,609000,111.06732348111659
external_test,transformer,1,SaO2_bounds,4636,609000,7.61247947454844
external_test,transformer,1,emitted_FiO2_bounds,23996,609000,39.40229885057471
external_test,transformer,1,emitted_O2Sat_bounds,76803,609000,126.11330049261083
external_test,transformer,1,emitted_SaO2_bounds,120831,609000,198.40886699507388
external_test,transformer,1,emitted_pressure_order,79764,609000,130.97536945812809
external_test,transformer,1,pressure_order,72495,609000,119.03940886699507
external_test,transformer,3,FiO2_bounds,3079,609000,5.055829228243021
external_test,transformer,3,O2Sat_bounds,80137,609000,131.5878489326765
external_test,transformer,3,SaO2_bounds,11715,609000,19.236453201970445
external_test,transformer,3,emitted_FiO2_bounds,27019,609000,44.36617405582923
external_test,transformer,3,emitted_O2Sat_bounds,82707,609000,135.807881773399
external_test,transformer,3,emitted_SaO2_bounds,119896,609000,196.8735632183908
external_test,transformer,3,emitted_pressure_order,110528,609000,181.49096880131364
external_test,transformer,3,pressure_order,103025,609000,169.17077175697867
external_test,transformer,6,FiO2_bounds,4290,609000,7.044334975369458
external_test,transformer,6,O2Sat_bounds,84806,609000,139.2545155993432
external_test,transformer,6,SaO2_bounds,19781,609000,32.48111658456486
external_test,transformer,6,emitted_FiO2_bounds,28506,609000,46.80788177339902
external_test,transformer,6,emitted_O2Sat_bounds,85531,609000,140.44499178981937
external_test,transformer,6,emitted_SaO2_bounds,119152,609000,195.65188834154353
external_test,transformer,6,emitted_pressure_order,124747,609000,204.83908045977012
external_test,transformer,6,pressure_order,116251,609000,190.88834154351395
external_test,transformer,12,FiO2_bounds,5680,609000,9.326765188834154
external_test,transformer,12,O2Sat_bounds,90070,609000,147.89819376026273
external_test,transformer,12,SaO2_bounds,31071,609000,51.01970443349754
external_test,transformer,12,emitted_FiO2_bounds,26796,609000,44.0
external_test,transformer,12,emitted_O2Sat_bounds,90790,609000,149.08045977011494
external_test,transformer,12,emitted_SaO2_bounds,116911,609000,191.9720853858785
external_test,transformer,12,emitted_pressure_order,142328,609000,233.70771756978652
external_test,transformer,12,pressure_order,132670,609000,217.84893267651887
external_test,transformer,24,FiO2_bounds,6789,609000,11.147783251231527
external_test,transformer,24,O2Sat_bounds,94989,609000,155.97536945812809
external_test,transformer,24,SaO2_bounds,46835,609000,76.9047619047619
external_test,transformer,24,emitted_FiO2_bounds,23003,609000,37.77175697865353
external_test,transformer,24,emitted_O2Sat_bounds,95538,609000,156.8768472906404
external_test,transformer,24,emitted_SaO2_bounds,113168,609000,185.82594417077175
external_test,transformer,24,emitted_pressure_order,159203,609000,261.41707717569784
external_test,transformer,24,pressure_order,148865,609000,244.44170771756978
internal_test,transformer,1,FiO2_bounds,310,102860,3.0138051720785533
internal_test,transformer,1,O2Sat_bounds,12756,102860,124.01322185494847
internal_test,transformer,1,SaO2_bounds,1067,102860,10.37332296325102
internal_test,transformer,1,emitted_FiO2_bounds,2934,102860,28.52420766089831
internal_test,transformer,1,emitted_O2Sat_bounds,14075,102860,136.83647676453432
internal_test,transformer,1,emitted_SaO2_bounds,20141,102860,195.809838615594
internal_test,transformer,1,emitted_pressure_order,15839,102860,153.9860003888781
internal_test,transformer,1,pressure_order,10877,102860,105.74567373128524
internal_test,transformer,3,FiO2_bounds,613,102860,5.95955667898114
internal_test,transformer,3,O2Sat_bounds,14710,102860,143.00991639121136
internal_test,transformer,3,SaO2_bounds,2590,102860,25.179856115107913
internal_test,transformer,3,emitted_FiO2_bounds,2866,102860,27.863114913474625
internal_test,transformer,3,emitted_O2Sat_bounds,15006,102860,145.88761423293798
internal_test,transformer,3,emitted_SaO2_bounds,20004,102860,194.47793116857866
internal_test,transformer,3,emitted_pressure_order,18999,102860,184.70736923974334
internal_test,transformer,3,pressure_order,14045,102860,136.54481819949447
internal_test,transformer,6,FiO2_bounds,800,102860,7.777561734396267
internal_test,transformer,6,O2Sat_bounds,14835,102860,144.22516041221078
internal_test,transformer,6,SaO2_bounds,4183,102860,40.66692591872448
internal_test,transformer,6,emitted_FiO2_bounds,2857,102860,27.77561734396267
internal_test,transformer,6,emitted_O2Sat_bounds,14931,102860,145.15846782033833
internal_test,transformer,6,emitted_SaO2_bounds,19663,102860,191.16274547929225
internal_test,transformer,6,emitted_pressure_order,20206,102860,196.44176550651372
internal_test,transformer,6,pressure_order,15436,102860,150.06805366517597
internal_test,transformer,12,FiO2_bounds,816,102860,7.933112969084192
internal_test,transformer,12,O2Sat_bounds,15224,102860,148.00699980556095
internal_test,transformer,12,SaO2_bounds,6177,102860,60.05249854170717
internal_test,transformer,12,emitted_FiO2_bounds,2816,102860,27.377017305074858
internal_test,transformer,12,emitted_O2Sat_bounds,15281,102860,148.5611510791367
internal_test,transformer,12,emitted_SaO2_bounds,19091,102860,185.60178883919892
internal_test,transformer,12,emitted_pressure_order,21686,102860,210.8302547151468
internal_test,transformer,12,pressure_order,17066,102860,165.91483569900836
internal_test,transformer,24,FiO2_bounds,861,102860,8.370600816643982
internal_test,transformer,24,O2Sat_bounds,15374,102860,149.46529263076025
internal_test,transformer,24,SaO2_bounds,8544,102860,83.06435932335214
internal_test,transformer,24,emitted_FiO2_bounds,2703,102860,26.278436710091388
internal_test,transformer,24,emitted_O2Sat_bounds,15453,102860,150.2333268520319
internal_test,transformer,24,emitted_SaO2_bounds,18521,102860,180.06027610344157
internal_test,transformer,24,emitted_pressure_order,23412,102860,227.61034415710674
internal_test,transformer,24,pressure_order,19319,102860,187.81839393350185
