split,model,horizon_hours,variable,observed_targets,nmae,crps_scaled,coverage_90,coverage_error_90,mean_interval_width_scaled,nll_scaled
external_test,transformer,1,HR,27901,0.22938455706800398,0.17463640399587774,0.8781047274291244,0.021895272570875646,0.9574366853184257,0.2767892225955679
external_test,transformer,1,O2Sat,27340,0.399482540693611,0.29973880837411887,0.8809070958302853,0.019092904169714764,1.6114120043187397,0.9244751159344263
external_test,transformer,1,Temp,11091,0.3053973758739815,0.227552242698666,0.8141736543143089,0.08582634568569114,1.0406263943628242,0.5249063541951315
external_test,transformer,1,SBP,27367,0.38423784124919613,0.28326383428761437,0.8196367888332663,0.08036321116673373,1.320059710095709,0.7726308742168724
external_test,transformer,1,MAP,27192,0.4013090941240662,0.30203624204717405,0.8848190644307149,0.015180935569285126,1.7016065791621915,0.8694478616394622
external_test,transformer,1,DBP,27361,0.40523471122448357,0.30436912414592887,0.8564745440590622,0.04352545594093782,1.559342779910537,0.8922302122462201
external_test,transformer,1,Resp,24857,0.3594965576986471,0.27067028463771636,0.8769763044615199,0.02302369553848016,1.482305510312567,0.7171894853590921
external_test,transformer,1,BaseExcess,86,0.5144616995699877,0.36245176265406054,0.7674418604651163,0.1325581395348837,1.675985831160878,1.0385639719491782
external_test,transformer,1,HCO3,74,0.3417500344583312,0.26353243879369787,0.8648648648648649,0.03513513513513511,1.569448448516227,0.6487438803589022
external_test,transformer,1,FiO2,807,1.2623128405041633,1.034037919449614,0.8302354399008675,0.06976456009913257,2.724946121891783,55.886665696031244
external_test,transformer,1,pH,760,0.5399264508564221,0.4053415086512503,0.7894736842105263,0.1105263157894737,1.7272658246912453,1.3305502066094623
external_test,transformer,1,PaCO2,767,0.6758681495310896,0.5139800944648479,0.7666232073011734,0.13337679269882663,2.0123167235350827,1.6667090486905098
external_test,transformer,1,SaO2,648,1.2198276264064105,0.8933955635645507,0.9722222222222222,0.07222222222222219,6.776289775047773,1.89725112169981
external_test,transformer,1,BUN,1660,0.3894786370581532,0.30008527663008994,0.8927710843373494,0.0072289156626506035,1.5504052515848574,0.7873723316623504
external_test,transformer,1,Chloride,229,0.35249835566727356,0.277772211189093,0.8384279475982532,0.06157205240174679,1.293968154158134,1.4986865957751545
external_test,transformer,1,Creatinine,1662,0.6935433897713175,0.5763949242686106,0.9037304452466908,0.00373044524669075,2.6442575057347617,1.4715840884996523
external_test,transformer,1,Glucose,7394,0.5078015827249119,0.3878243369994242,0.8809845820935894,0.019015417906410592,2.0821596995088774,1.1808520565492127
external_test,transformer,1,Magnesium,1477,0.6392811198889725,0.48369611689749004,0.8341232227488151,0.0658767772511849,2.3691878710232155,1.3391106280428215
external_test,transformer,1,Phosphate,913,0.5261657363923852,0.3890320783050533,0.755750273822563,0.14424972617743703,1.632267262627496,1.1537776052429538
external_test,transformer,1,Potassium,2433,0.5343986272419915,0.4079691724820339,0.8779284833538841,0.022071516646115952,2.1790064556139073,1.2427517141376656
external_test,transformer,1,Hct,1815,0.5166053955219994,0.38022095903384784,0.8110192837465565,0.0889807162534435,1.6920272409423325,1.091141824584362
external_test,transformer,1,Hgb,1826,0.4991778696500589,0.36638008071944067,0.7929901423877328,0.10700985761226722,1.5557303867034558,1.1053394179419906
external_test,transformer,1,WBC,1607,0.47997963439160873,0.37145711381426494,0.9234598630989421,0.023459863098942102,2.2208246850937736,1.6495601299317935
external_test,transformer,1,Platelets,1644,0.3092662865690289,0.23233472817371217,0.8698296836982968,0.030170316301703193,1.267091640083169,0.5238946262574834
external_test,transformer,3,HR,27960,0.3124014216175407,0.2340946777056215,0.8772174535050071,0.022782546494992895,1.281639719555136,0.5558459607657786
external_test,transformer,3,O2Sat,27358,0.47801356087634506,0.3515435714925257,0.8914394327070693,0.008560567292930754,1.980504208676377,1.007072209736715
external_test,transformer,3,Temp,11015,0.39228428297566653,0.28994055023747467,0.814979573309124,0.08502042669087606,1.3679826784934772,0.7840718292724637
external_test,transformer,3,SBP,27409,0.45635086177731427,0.33470667862501585,0.8114123098252399,0.08858769017476009,1.5384433063258092,0.9262267398079195
external_test,transformer,3,MAP,27221,0.468794503502236,0.35045875379609254,0.8804966753609346,0.019503324639065456,1.9747900611608658,0.9872398909865213
external_test,transformer,3,DBP,27400,0.46214484053806665,0.34873868619438503,0.8998905109489052,0.00010948905109486873,2.0853021193942887,0.9974096723542596
external_test,transformer,3,Resp,24952,0.4150636814637381,0.3087782554230502,0.8715934594421288,0.028406540557871174,1.6817900245485493,0.8330732945564199
external_test,transformer,3,BaseExcess,83,0.8843948583466461,0.6727827670703451,0.6626506024096386,0.23734939759036144,2.019328311983361,1.972489844603711
external_test,transformer,3,HCO3,70,0.4898062441498041,0.36176798726831166,0.8,0.09999999999999998,1.537249801840101,1.0152408838272096
external_test,transformer,3,FiO2,772,0.9155735690822255,0.656361274382611,0.8419689119170984,0.05803108808290158,3.094347581190149,1.5768609956447324
external_test,transformer,3,pH,734,0.5836763964199565,0.4377809675659081,0.7574931880108992,0.14250681198910087,1.801760691144486,1.3387069043573956
external_test,transformer,3,PaCO2,735,0.7103655893685056,0.53703188010219,0.8040816326530612,0.09591836734693882,2.129939234337839,1.6361387561778633
external_test,transformer,3,SaO2,625,1.1612654531717301,0.8192351902961731,0.9792,0.07919999999999994,6.494314958190918,1.8491801517486572
external_test,transformer,3,BUN,1482,0.359690981666971,0.2768019455436029,0.8805668016194332,0.019433198380566785,1.3983281069760702,0.6327827400483905
external_test,transformer,3,Chloride,200,0.3887858474627137,0.30790337204933166,0.835,0.06500000000000006,1.4974613535404204,1.0652479763329028
external_test,transformer,3,Creatinine,1483,0.7051683329121132,0.5838006003153783,0.9116655428186109,0.011665542818610874,2.507140921646087,1.472432932657562
external_test,transformer,3,Glucose,7268,0.5805875690480675,0.4395199033524482,0.8853880022014309,0.014611997798569143,2.4333972222344458,1.2036713821978509
