split,model,horizon_hours,variable,observed_targets,nmae,crps_scaled,coverage_90,coverage_error_90,mean_interval_width_scaled,nll_scaled
external_calibration,transformer,1,HR,3025,0.21880954963116606,0.16618291965200882,0.8558677685950413,0.0441322314049587,0.8468100278239605,0.23627803617272494
external_calibration,transformer,1,O2Sat,2971,0.39713847777611555,0.30634908056628296,0.8832043083136991,0.016795691686300906,1.603309265414058,1.7463458301001067
external_calibration,transformer,1,Temp,1220,0.3028297588473461,0.22903633586695937,0.8540983606557377,0.04590163934426228,1.1714245702399582,0.4852898036847349
external_calibration,transformer,1,SBP,2972,0.36529785466868014,0.26952026092508763,0.8098923283983849,0.09010767160161515,1.2080787046440196,0.7319158683073472
external_calibration,transformer,1,MAP,2959,0.3860070677212905,0.2875667156581743,0.8367691787766137,0.0632308212233863,1.3971983989214083,0.8646327963387818
external_calibration,transformer,1,DBP,2972,0.386583288136273,0.2881144031701787,0.8156123822341858,0.08438761776581427,1.3454014167169543,0.8504105586543539
external_calibration,transformer,1,Resp,2654,0.35384128303930285,0.2631730461983009,0.8707611152976639,0.029238884702336154,1.420732790667398,0.6500519771906516
external_calibration,transformer,1,BaseExcess,10,0.5160261549055576,0.4010224983096123,0.8,0.09999999999999998,1.6020405292510986,1.5637703776359557
external_calibration,transformer,1,HCO3,8,0.34090358577668667,0.2549562565982342,0.75,0.15000000000000002,1.4012838155031204,0.5418726056814194
external_calibration,transformer,1,FiO2,75,0.822028431892395,0.6081286633014679,0.7333333333333333,0.16666666666666674,2.284176319440206,1.5724974465370178
external_calibration,transformer,1,pH,77,0.6314265973769225,0.47596574371511285,0.6493506493506493,0.2506493506493507,1.7651458692241024,1.582673644864714
external_calibration,transformer,1,PaCO2,77,0.7310001250211294,0.5439929662199764,0.7012987012987013,0.1987012987012987,1.7328809174624356,1.9077799281516632
external_calibration,transformer,1,SaO2,62,0.968760883615863,0.7429293442157007,1.0,0.09999999999999998,5.656287662444576,1.6825811507240418
external_calibration,transformer,1,BUN,190,0.4568012778696261,0.3550054737611821,0.8578947368421053,0.04210526315789476,1.4082306748942326,1.1971958831736915
external_calibration,transformer,1,Chloride,24,0.36158324878973264,0.2605570399512847,0.9166666666666666,0.016666666666666607,1.477865199247996,0.5823553403218588
external_calibration,transformer,1,Creatinine,191,0.795701654325605,0.6679760486043561,0.8691099476439791,0.030890052356020936,2.33366930297532,1.7433737844072712
external_calibration,transformer,1,Glucose,818,0.5134858819849625,0.38308344668455985,0.871638141809291,0.02836185819070902,1.9809039449342014,1.0435805215812255
external_calibration,transformer,1,Magnesium,170,0.6323805959785685,0.4804353717495413,0.8176470588235294,0.08235294117647063,2.253582288237179,1.3478334328707526
external_calibration,transformer,1,Phosphate,107,0.48436194003742433,0.3620888663229541,0.8037383177570093,0.0962616822429907,1.6492141797163775,1.0682457808022188
external_calibration,transformer,1,Potassium,256,0.5332913716556504,0.39535052224528044,0.90625,0.006249999999999978,2.2318611475639045,1.278630627086386
external_calibration,transformer,1,Hct,204,0.4889955234293844,0.36271992040907636,0.7892156862745098,0.11078431372549025,1.585933997058401,0.993108290959807
external_calibration,transformer,1,Hgb,203,0.49467186475622243,0.3717351469206693,0.7832512315270936,0.11674876847290638,1.4219827910362206,1.6517333103518181
external_calibration,transformer,1,WBC,177,0.40365099574381347,0.2995798032162553,0.8813559322033898,0.01864406779661021,1.7694216414360002,0.6619852397401454
external_calibration,transformer,1,Platelets,179,0.352485797758209,0.2554951342623993,0.8547486033519553,0.04525139664804467,1.1890712510274108,0.4610459741267412
external_calibration,transformer,3,HR,3017,0.284046035276014,0.2141951003689461,0.8723897911832946,0.027610208816705395,1.1555368690882686,0.48793047328717587
external_calibration,transformer,3,O2Sat,2959,0.4513186441558807,0.3342786280034804,0.900304156809733,0.00030415680973294723,1.9749310342956934,0.9822773967251741
external_calibration,transformer,3,Temp,1229,0.38489727279439606,0.2866252339691336,0.8673718470301057,0.0326281529698943,1.5008376938623564,0.7631252038954136
external_calibration,transformer,3,SBP,2971,0.437295574726219,0.3208228162305197,0.7923258162234937,0.10767418377650628,1.4057784733728944,0.9102434307908579
external_calibration,transformer,3,MAP,2946,0.4420065552866224,0.3240598978352077,0.8309572301425662,0.06904276985743385,1.6085597696712206,0.8713686522867755
external_calibration,transformer,3,DBP,2969,0.45805855606814033,0.33656806518590665,0.8635904344897272,0.03640956551027286,1.8122061668079925,0.9271994603928913
external_calibration,transformer,3,Resp,2646,0.4078779667503259,0.3013761416584456,0.8582766439909297,0.04172335600907029,1.5932164296721836,0.7978986565668477
external_calibration,transformer,3,BaseExcess,9,0.8276761107974582,0.6321550872590807,0.5555555555555556,0.34444444444444444,2.3765472306145563,1.7159690856933594
external_calibration,transformer,3,HCO3,7,0.3936662886823927,0.29607701301574707,0.7142857142857143,0.18571428571428572,1.586594785962786,0.9394924810954502
external_calibration,transformer,3,FiO2,58,1.0881382834230517,0.772356593403323,0.6724137931034483,0.22758620689655173,2.9746816795447777,2.2165627674809816
external_calibration,transformer,3,pH,62,0.5533017084498199,0.4208514820183477,0.7903225806451613,0.10967741935483877,1.896247559978116,1.2491298808205513
external_calibration,transformer,3,PaCO2,61,0.5462818757676687,0.4015277953910046,0.7868852459016393,0.11311475409836069,1.9848904101575007,1.1266446377410264
external_calibration,transformer,3,SaO2,51,0.9152365350255779,0.6854130380293902,0.9803921568627451,0.08039215686274503,5.79833163467108,1.7221509311713425
external_calibration,transformer,3,BUN,161,0.47616736803736004,0.3749258346994471,0.8260869565217391,0.07391304347826089,1.2320376327319176,1.2653991613328828
external_calibration,transformer,3,Chloride,17,0.3196224517682019,0.23667678412269144,1.0,0.09999999999999998,1.523361844175002,0.5140576327548307
external_calibration,transformer,3,Creatinine,160,0.9201900780200958,0.7431263753212989,0.8625,0.03749999999999998,2.451959277316928,3.1374547231942413
external_calibration,transformer,3,Glucose,796,0.6020379926092062,0.4445064544078693,0.8756281407035176,0.024371859296482445,2.2804521112585787,1.2571373770584413
external_calibration,transformer,3,Magnesium,151,0.5922556347429555,0.44011299835135603,0.8543046357615894,0.045695364238410585,2.40364459650406,1.1646083893365418
external_calibration,transformer,3,Phosphate,90,0.5369083844539192,0.40350381169054245,0.8666666666666667,0.033333333333333326,1.9503682216008504,1.131159711546368
external_calibration,transformer,3,Potassium,232,0.5469371858855774,0.42927079737700263,0.8620689655172413,0.037931034482758696,2.3486891126838225,1.1811087337033501
external_calibration,transformer,3,Hct,171,0.48190337454366405,0.3537046041404992,0.8304093567251462,0.06959064327485387,1.6366346272808767,0.9234213100539314
external_calibration,transformer,3,Hgb,172,0.43282373526761697,0.3215512170694595,0.8081395348837209,0.0918604651162791,1.4169528678406116,0.8824584534348443
external_calibration,transformer,3,WBC,156,0.39959164842581135,0.3104141025015941,0.8589743589743589,0.0410256410256411,1.7627614736557007,0.8670243846300321
external_calibration,transformer,3,Platelets,156,0.3084897588078792,0.23092624908074355,0.8910256410256411,0.008974358974358942,1.282407826338059,0.3987425653598247
external_calibration,transformer,6,HR,3017,0.3456854374550177,0.26003565059658074,0.8617832283725555,0.038216771627444523,1.3345650346381086,0.7176537230823228
