split,model,horizon_hours,patients,mean_patient_nmae,median_patient_nmae,bootstrap_95_ci_lower,bootstrap_95_ci_upper
external_test,ridge_var,1,10245,0.3609548725896776,0.3294031213916066,0.3575262329854993,0.3645323169230535
external_test,ridge_var,3,10245,0.42511477798939795,0.3929554116657063,0.42162685421961377,0.42888827758404297
external_test,ridge_var,6,10218,0.47822298411483627,0.4447554422479268,0.4744451292316433,0.48207060141233943
external_test,ridge_var,12,10178,0.5300539742222082,0.495781301939279,0.525727901726111,0.5343032341621432
external_test,ridge_var,24,10162,0.5862053668638448,0.5424720590854442,0.5812615024415325,0.5909261148193378
internal_test,ridge_var,1,1810,0.34166485606415126,0.31602231746307763,0.3343606358491588,0.34927050176991997
internal_test,ridge_var,3,1807,0.40898282516158935,0.3800365073834613,0.40076774962634737,0.41699557749399807
internal_test,ridge_var,6,1796,0.4592656116444388,0.4363842417356158,0.4512634684930797,0.4677143718959483
internal_test,ridge_var,12,1806,0.5102423620124077,0.4860855885079609,0.5018637353438973,0.5189685350157958
internal_test,ridge_var,24,1773,0.5664272839548364,0.5357616391423766,0.5560409255959734,0.5768699663757082
