split,model,horizon_hours,patients,mean_patient_nmae,median_patient_nmae,bootstrap_95_ci_lower,bootstrap_95_ci_upper
external_test,ridge_var,1,17223,0.3639316358737308,0.348790851470932,0.36247732595649124,0.365510200436687
external_test,ridge_var,3,16790,0.4190978886308113,0.40256447848997534,0.4171378456160403,0.42099116626283245
external_test,ridge_var,6,15865,0.4674857651244089,0.4474507227494249,0.46487373550474564,0.47016758545659404
external_test,ridge_var,12,13200,0.5227863856748337,0.49729378601402086,0.519842790024949,0.525654492579226
external_test,ridge_var,24,10509,0.5830136933287438,0.547369867064887,0.5789186250912955,0.5869985202940194
internal_test,ridge_var,1,2965,0.3500063348060553,0.3375874505405625,0.3467284249582188,0.3534367813628625
internal_test,ridge_var,3,2900,0.40492161644181335,0.390408882173969,0.4008119972692605,0.4089885751407282
internal_test,ridge_var,6,2735,0.44868336307053824,0.4301812112970708,0.44409571051852487,0.4535894632268134
internal_test,ridge_var,12,2333,0.5018164144796249,0.4813347665202724,0.49573175596454355,0.5076305126784785
internal_test,ridge_var,24,1821,0.5580463584785281,0.5285634313441622,0.5503555203084999,0.5667651578177206
