split,model,horizon_hours,violations,evaluated_states,violations_per_1000_states
external_test,global_median,1,0,30450,0.0
external_test,hourly_median,1,0,30450,0.0
external_test,locf,1,162,30450,5.320197044334975
external_test,ridge_var,1,92,30450,3.0213464696223316
external_test,global_median,3,0,30450,0.0
external_test,hourly_median,3,0,30450,0.0
external_test,locf,3,162,30450,5.320197044334975
external_test,ridge_var,3,78,30450,2.561576354679803
external_test,global_median,6,0,30450,0.0
external_test,hourly_median,6,0,30450,0.0
external_test,locf,6,162,30450,5.320197044334975
external_test,ridge_var,6,50,30450,1.6420361247947455
external_test,global_median,12,0,30450,0.0
external_test,hourly_median,12,0,30450,0.0
external_test,locf,12,162,30450,5.320197044334975
external_test,ridge_var,12,19,30450,0.6239737274220033
external_test,global_median,24,0,30450,0.0
external_test,hourly_median,24,0,30450,0.0
external_test,locf,24,162,30450,5.320197044334975
external_test,ridge_var,24,4,30450,0.13136288998357964
internal_test,global_median,1,0,5143,0.0
internal_test,hourly_median,1,0,5143,0.0
internal_test,locf,1,231,5143,44.91541901613844
internal_test,ridge_var,1,101,5143,19.638343379350573
internal_test,global_median,3,0,5143,0.0
internal_test,hourly_median,3,0,5143,0.0
internal_test,locf,3,231,5143,44.91541901613844
internal_test,ridge_var,3,60,5143,11.6663426015944
internal_test,global_median,6,0,5143,0.0
internal_test,hourly_median,6,0,5143,0.0
internal_test,locf,6,231,5143,44.91541901613844
internal_test,ridge_var,6,22,5143,4.277658953917947
internal_test,global_median,12,0,5143,0.0
internal_test,hourly_median,12,0,5143,0.0
internal_test,locf,12,231,5143,44.91541901613844
internal_test,ridge_var,12,3,5143,0.58331713007972
internal_test,global_median,24,0,5143,0.0
internal_test,hourly_median,24,0,5143,0.0
internal_test,locf,24,231,5143,44.91541901613844
internal_test,ridge_var,24,0,5143,0.0
