split,model,horizon_hours,violations,evaluated_states,violations_per_1000_states
external_test,global_median,1,0,470641,0.0
external_test,hourly_median,1,0,470641,0.0
external_test,locf,1,2331,470641,4.952819665095051
external_test,ridge_var,1,1177,470641,2.5008445928000325
external_test,global_median,3,0,436246,0.0
external_test,hourly_median,3,0,436246,0.0
external_test,locf,3,2121,436246,4.861935696831604
external_test,ridge_var,3,787,436246,1.8040280025490205
external_test,global_median,6,0,386355,0.0
external_test,hourly_median,6,0,386355,0.0
external_test,locf,6,1827,386355,4.728811585200139
external_test,ridge_var,6,393,386355,1.017199207982296
external_test,global_median,12,0,296856,0.0
external_test,hourly_median,12,0,296856,0.0
external_test,locf,12,1410,296856,4.749777669981405
external_test,ridge_var,12,151,296856,0.5086641334519093
external_test,global_median,24,0,154977,0.0
external_test,hourly_median,24,0,154977,0.0
external_test,locf,24,743,154977,4.794259793388696
external_test,ridge_var,24,15,154977,0.09678855572117152
internal_test,global_median,1,0,81324,0.0
internal_test,hourly_median,1,0,81324,0.0
internal_test,locf,1,4124,81324,50.71073729772269
internal_test,ridge_var,1,2058,81324,25.306182676700605
internal_test,global_median,3,0,75394,0.0
internal_test,hourly_median,3,0,75394,0.0
internal_test,locf,3,3755,75394,49.805024272488524
internal_test,ridge_var,3,1233,75394,16.354086532084782
internal_test,global_median,6,0,66802,0.0
internal_test,hourly_median,6,0,66802,0.0
internal_test,locf,6,3261,66802,48.81590371545762
internal_test,ridge_var,6,534,66802,7.993772641537679
internal_test,global_median,12,0,51187,0.0
internal_test,hourly_median,12,0,51187,0.0
internal_test,locf,12,2401,51187,46.90644108855764
internal_test,ridge_var,12,113,51187,2.207591771348194
internal_test,global_median,24,0,25966,0.0
internal_test,hourly_median,24,0,25966,0.0
internal_test,locf,24,1120,25966,43.13332819841331
internal_test,ridge_var,24,0,25966,0.0
