model,seed,trajectory_samples,patients_requested,patient_subset_sha256,horizon_hours,metric,value,panel_quantity,panel_value,constraint,violations_per_1000_states
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.840092162172662,coverage_90,0.840092162172662,,
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.846326554704193,coverage_90,0.846326554704193,,
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.8832198786457742,coverage_90,0.8832198786457742,,
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.8910469529277606,coverage_90,0.8910469529277606,,
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.8944689831270476,coverage_90,0.8944689831270476,,
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.9033327650659072,coverage_90,0.9033327650659072,,
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.863157180771903,coverage_90,0.863157180771903,,
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.8758754829889628,coverage_90,0.8758754829889628,,
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.9030354089869232,coverage_90,0.9030354089869232,,
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.9165511013741194,coverage_90,0.9165511013741194,,
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.919534582301224,coverage_90,0.919534582301224,,
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.925191051618858,coverage_90,0.925191051618858,,
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.4978375640745056,coverage_90,0.4978375640745056,,
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.5012310051479065,coverage_90,0.5012310051479065,,
rssm,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.5314498859332277,coverage_90,0.5314498859332277,,
rssm,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.5446867852652895,coverage_90,0.5446867852652895,,
rssm,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,coverage_90,0.5490566500569474,coverage_90,0.5490566500569474,,
rssm,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.5557908665781573,coverage_90,0.5557908665781573,,
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,patient_crps,0.3851353719889393,patient_crps,0.3851353719889393,,
grud,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_crps,0.4016966215126241,patient_crps,0.4016966215126241,,
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,patient_crps,0.3732827243152362,patient_crps,0.3732827243152362,,
grud,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_crps,0.3899147611869055,patient_crps,0.3899147611869055,,
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,patient_crps,0.3709252943547993,patient_crps,0.3709252943547993,,
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_crps,0.3855685064447524,patient_crps,0.3855685064447524,,
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,patient_crps,0.3808060473180319,patient_crps,0.3808060473180319,,
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_crps,0.4009661565854943,patient_crps,0.4009661565854943,,
transformer,20260912,50,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,patient_crps,0.3685205905698566,patient_crps,0.3685205905698566,,
