model,horizon_hours,mean,seed_sd,seeds,input_rows,finite_rows
global_median,1,0.6633621348717863,0.0,1,1,1
global_median,3,0.6639278444566871,0.0,1,1,1
global_median,6,0.6658232321325104,0.0,1,1,1
global_median,12,0.6634230813143884,0.0,1,1,1
global_median,24,0.6697730318621201,0.0,1,1,1
grud,1,0.37703010029790024,0.0010095796604352022,5,5,5
grud,3,0.4367383346821482,0.0009170229423408798,5,5,5
grud,6,0.4829697050552248,0.001219876374247417,5,5,5
grud,12,0.5215633530383685,0.0013148919671999927,5,5,5
grud,24,0.5607335384892476,0.002968429207885551,5,5,5
hourly_median,1,0.6698902053534631,0.0,1,1,1
hourly_median,3,0.6707439764838267,0.0,1,1,1
hourly_median,6,0.6719050173153197,0.0,1,1,1
hourly_median,12,0.6617272366683973,0.0,1,1,1
hourly_median,24,0.662441769155088,0.0,1,1,1
locf,1,0.3852637821507965,0.0,1,1,1
locf,3,0.4613848849535536,0.0,1,1,1
locf,6,0.5223365130796808,0.0,1,1,1
locf,12,0.5752986591510477,0.0,1,1,1
locf,24,0.6033291539173524,0.0,1,1,1
ridge_var,1,0.3609548725896776,0.0,1,1,1
ridge_var,3,0.4251147779893978,0.0,1,1,1
ridge_var,6,0.4782229841148362,0.0,1,1,1
ridge_var,12,0.5300539742222081,0.0,1,1,1
ridge_var,24,0.5862053668638448,0.0,1,1,1
rssm,1,0.49575399947802967,0.014247986046161343,5,5,5
rssm,3,0.5477926823286562,0.008960026327336184,5,5,5
rssm,6,0.5900933976352774,0.00569256914770704,5,5,5
rssm,12,0.6219893636846971,0.004735264859389825,5,5,5
rssm,24,0.6538996623407353,0.008073546874274036,5,5,5
transformer,1,0.37683644333402766,0.0015721574695046448,5,5,5
transformer,3,0.4388629320459452,0.0019430724788166162,5,5,5
transformer,6,0.4835262597980116,0.002544438802294008,5,5,5
transformer,12,0.5207278077166555,0.0038319023339737366,5,5,5
transformer,24,0.5590982200835957,0.0061888266692274995,5,5,5
