model,model_label,horizon_hours,zero_shot_coverage_90_mean,zero_shot_coverage_90_seed_sd,zero_shot_coverage_error_90_mean,zero_shot_coverage_error_90_seed_sd,zero_shot_patient_crps_mean,zero_shot_patient_crps_seed_sd,zero_shot_mean_interval_width_scaled_mean,zero_shot_mean_interval_width_scaled_seed_sd,zero_shot_patient_nll_mean,zero_shot_patient_nll_seed_sd,recalibrated_coverage_90_mean,recalibrated_coverage_90_seed_sd,recalibrated_coverage_error_90_mean,recalibrated_coverage_error_90_seed_sd,recalibrated_patient_crps_mean,recalibrated_patient_crps_seed_sd,recalibrated_mean_interval_width_scaled_mean,recalibrated_mean_interval_width_scaled_seed_sd,recalibrated_patient_nll_mean,recalibrated_patient_nll_seed_sd
grud,Probabilistic GRU-D-style model,1,0.8560185058264225,0.0064623552187866,0.0439814941735775,0.0064623552187866,0.2834343033252892,0.0009555833875744,1.4467684413311994,0.0296922433771451,0.8014225472407809,0.0089042002883198,0.9001633512416503,0.0046672146700877,0.0033025981637235,0.0028604726922451,0.2885505984721882,0.0005249979857904,1.7048574309800242,0.0304341631542569,0.7754352326104929,0.0112731693587456
grud,Probabilistic GRU-D-style model,3,0.8479099974187113,0.0069790816554529,0.0520900025812887,0.0069790816554529,0.3250062761090369,0.0006859922626591,1.6273666916758522,0.0315081959363504,0.9165939490131476,0.0076001674745408,0.8818450356388619,0.0020930920381953,0.0181549643611382,0.0020930920381953,0.3278478835330715,0.0006202236255702,1.8254645130229548,0.0167190832484581,0.8971568932458462,0.0023472106484103
grud,Probabilistic GRU-D-style model,6,0.8407497103709914,0.007223234543798,0.0592502896290086,0.007223234543798,0.3578230478269945,0.0007981098834595,1.7686905092730296,0.0359879791667757,1.03319550904938,0.0104208459622618,0.8890567465662009,0.0057600766499949,0.010943253433799,0.0057600766499949,0.3622188648032449,0.0018277906292505,2.0732760027354855,0.0515726393101102,1.0081353849064425,0.0049168719376214
grud,Probabilistic GRU-D-style model,12,0.8421708163178483,0.0073021244270875,0.0578291836821516,0.0073021244270875,0.384967039371483,0.0008498356799535,1.9115896740508205,0.0366193954057725,1.1100290217874664,0.0093775716998259,0.8841097454368414,0.002730870933456,0.0158902545631585,0.002730870933456,0.3884651310921513,0.0012113588084566,2.1839052231230776,0.0189863953201408,1.0874309297160496,0.0049947285492869
grud,Probabilistic GRU-D-style model,24,0.8445423375524976,0.0054297796190241,0.0554576624475023,0.0054297796190241,0.4132187299089275,0.0023043337439251,2.0566364627934863,0.031131518726361,1.1886462881054245,0.0104550974667008,0.882836020974503,0.0041108911263364,0.0171639790254968,0.0041108911263364,0.4165052190591078,0.0021918457548981,2.321830486806494,0.0252782746491219,1.1669726909942486,0.0077357831510203
transformer,Causally masked Transformer,1,0.854022829305239,0.0084715690009291,0.0459771706947609,0.0084715690009291,0.2828330231707662,0.0015235064871129,1.437180496091458,0.0443059264702263,0.7828766592726595,0.0063665273083505,0.9017287767625198,0.0027116093607168,0.0020048371668438,0.0024626097156198,0.2883466002414446,0.0007961829378653,1.7160774090902913,0.0156779040703994,0.7571258749120187,0.0064625452568301
transformer,Causally masked Transformer,3,0.8630869673011947,0.0098554610143136,0.0369130326988052,0.0098554610143136,0.3262694901413231,0.0018813560026673,1.7324736728058678,0.060722787032262,0.8993711316094736,0.0046527941867674,0.8795821124412562,0.0014914440750775,0.0204178875587438,0.0014914440750775,0.3277685028307848,0.0011667872771641,1.8317676354788737,0.011462528358017,0.8929961875011297,0.0050519872067164
transformer,Causally masked Transformer,6,0.8596712787740746,0.0114184338579651,0.0403287212259253,0.0114184338579651,0.3580575486700678,0.0022602433184004,1.9065933914743916,0.0788675592164647,1.0116643440590916,0.0067123915816497,0.8883212165885123,0.0052890320468553,0.0116787834114877,0.0052890320468553,0.3612200171618507,0.0018003885346978,2.103455336842015,0.0473377270016796,1.0043459082981352,0.0042681695998509
transformer,Causally masked Transformer,12,0.8673325248731064,0.0122625713796781,0.0326674751268936,0.0122625713796781,0.385114126157478,0.0031176310155554,2.1120364382570993,0.1004279493434933,1.0926845426248455,0.004635445508053,0.8866063732084681,0.0033757444757786,0.0133936267915318,0.0033757444757786,0.387413424930047,0.002064383615477,2.2555417102271793,0.0345977923005759,1.0886129601011656,0.0071372166356077
transformer,Causally masked Transformer,24,0.8730829879100446,0.0117685231514315,0.0269170120899554,0.0117685231514315,0.4146798851743666,0.0052432378135999,2.3191846374190517,0.1256466121874829,1.1801059560332037,0.0058762640378887,0.8813530032936707,0.0019786339406848,0.0186469967063292,0.0019786339406848,0.4155816205407434,0.0036671029783025,2.3798155708845563,0.0340612570025984,1.1767490019235578,0.0075218805780732
rssm,Recurrent state-space model,1,0.5725469669230387,0.0155267092322864,0.3274530330769613,0.0155267092322864,0.3858828212763313,0.0127616875987246,0.975395374717966,0.0155079022960358,2.2865837746376196,0.1296501388463809,0.8959911218958844,0.0044940014331295,0.0040655440086356,0.0044299117756848,0.3792824899057904,0.0102041453298951,2.2572058502247847,0.0533306830944684,1.0545450266789511,0.0267685950365881
rssm,Recurrent state-space model,3,0.5317370148880989,0.0123516166495977,0.3682629851119011,0.0123516166495977,0.4310270663956926,0.0085456826816655,0.9915352267121016,0.0182738205251615,2.6574142759788084,0.1406693173170174,0.8749979112805267,0.0030612111570597,0.0250020887194733,0.0030612111570597,0.4139144803727464,0.0066533651783939,2.317865674881926,0.0416982857987638,1.142898783773745,0.0146153355400803
rssm,Recurrent state-space model,6,0.5073723457341816,0.0117316979472779,0.3926276542658186,0.0117316979472779,0.4679154020135711,0.0066406434144843,1.0065562951675218,0.024477790331897,3.040456341690959,0.1623788181709727,0.8800381522933126,0.0032601347496123,0.0199618477066874,0.0032601347496123,0.4463762303117176,0.0053924634071923,2.548109558596315,0.0451973990390401,1.221471049339479,0.0093120665507201
rssm,Recurrent state-space model,12,0.4980992063853261,0.0149371474588318,0.401900793614674,0.0149371474588318,0.4956887318482659,0.0064822896643936,1.0268797877251292,0.0396389660799017,3.2855511800886923,0.2624739442615107,0.878357172546016,0.0032791098471337,0.0216428274539839,0.0032791098471337,0.4706221799280055,0.0056593841567644,2.662935971634113,0.0647908922890973,1.2794783354242147,0.011389854404107
rssm,Recurrent state-space model,24,0.4876858170982781,0.0204020776820529,0.4123141829017219,0.0204020776820529,0.5236822091798825,0.0098032677253309,1.0439468627827622,0.0539005505399075,3.656478375848789,0.3799381794376715,0.8779110903607096,0.0022301227937132,0.0220889096392904,0.0022301227937132,0.4950786206340283,0.0075147457639179,2.7861206062379535,0.0415136494956386,1.3468855061356693,0.0118498995196642
