model,horizon_hours,mean,seed_sd,seeds,input_rows,finite_rows
grud,1,0.06326657633177608,0.0006357595731034903,5,5,5
grud,3,0.06025479746504546,0.0010037119899717255,5,5,5
grud,6,0.06140705134804162,0.001469808442289292,5,5,5
grud,12,0.061679708261577856,0.0019974231089989747,5,5,5
grud,24,0.06595069208779336,0.002375618251625608,5,5,5
rssm,1,0.07149348035404472,0.0004483490201628903,5,5,5
rssm,3,0.06716127127981714,0.00042663189276718805,5,5,5
rssm,6,0.06569005092223923,0.000395481228708589,5,5,5
rssm,12,0.06451773984063273,0.00037472655777697237,5,5,5
rssm,24,0.06760302315093902,0.00040813502790324667,5,5,5
transformer,1,0.06294795111880862,0.00043536327926401607,5,5,5
transformer,3,0.0597653551733906,0.0008139713728125773,5,5,5
transformer,6,0.060956103766585036,0.0011770529537093277,5,5,5
transformer,12,0.06278508197332436,0.0011193119407170782,5,5,5
transformer,24,0.06966681181447498,0.0012589238957629075,5,5,5
