candidate_id,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,reviewer_a_decision,reviewer_a_reason_code,reviewer_a_dynamics,reviewer_a_evaluation,reviewer_a_lineage,reviewer_a_full_text_url,reviewer_b_decision,reviewer_b_reason_code,reviewer_b_dynamics,reviewer_b_evaluation,reviewer_b_lineage,reviewer_b_full_text_url,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
MWM-0031,Beyond Patient Invariance: Learning Cardiac Dynamics via Action-Conditioned JEPAs,"Self-supervised learning in healthcare has largely relied on invariance-based objectives, which maximize similarity between different views of the same patient. While effective for static anatomy, this paradigm is fundamentally misaligned with clinical diagnosis, as it mathematically compels the model to suppress the transient pathological changes it is intended to detect. We propose a shift towards Action-Conditioned World Models that learn to simulate the dynamics of disease progression, or Event-Conditioned. Adapting the LeJEPA framework to physiological time-series, we define pathology not as a static label, but as a transition vector acting on a patient's latent state. By predicting the future electrophysiological state of the heart given a disease onset, our model explicitly disentangles stable anatomical features from dynamic pathological forces. Evaluated on the MIMIC-IV-ECG dataset, our approach outperforms fully supervised baselines on the critical triage task. Crucially, we demonstrate superior sample efficiency: in low-resource regimes, our world model outperforms supervised learning by over 0.05 AUROC. These results suggest that modeling biological dynamics provides a dense supervision signal that is far more robust than static classification. Source code is available at https://github.com/cljosegfer/lesaude-dynamics",José Geraldo Fernandes; Luiz Facury; Pedro Robles Dutenhefner; Wagner Meira Jr,2026,2026-04-24,arXiv (Cornell University),10.48550/arxiv.2604.22618,2604.22618,https://arxiv.org/abs/2604.22618,preprint,openalex,"""medical world model"";""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" physiology;""world model"" treatment",open-access,exclude,no_future_or_action_evaluation,Predicts a future ECG latent state conditioned on a pathology-transition vector.,Reported results emphasize downstream AUROC and a qualitative transition visualization rather than future-state or rollout accuracy.,Single identified arXiv preprint.,https://arxiv.org/pdf/2604.22618,exclude,no_future_or_action_evaluation,Trains an action-conditioned network to predict a future ECG latent from a pathology-transition vector.,Evaluation is limited to downstream triage and monitoring probes; counterfactual simulation is proposed as future work.,Distinct cardiac-JEPA study; no duplicate record identified.,https://arxiv.org/abs/2604.22618,exclude,not_applicable,no_future_or_action_evaluation,reviewer_consensus,"A: The predictive objective is not accompanied by an empirical dynamics-capability metric. B: The dynamics objective is not itself evaluated as forecasting, rollout, action response, or planning."
MWM-0036,Bridging Individual Trajectories and Population Dynamics through A Multi-scale Health World Model,,Jingyi Wu; Xiaoyuan Liu; Pengfei Li; Luxia Zhang,2026,2026-01-01,SSRN Electronic Journal,10.2139/ssrn.7384522,,https://doi.org/10.2139/ssrn.7384522,preprint,openalex,"""world model"" clinical",open-access,uncertain,inaccessible_full_text,"Available metadata suggests individual and population health-trajectory dynamics, but the primary text could not be accessed.",The claimed empirical evaluation could not be verified from an accessible primary scholarly text.,No duplicate identified; linked SSRN primary text was inaccessible.,https://doi.org/10.2139/ssrn.7384522,uncertain,inaccessible_full_text,"The abstract describes a multiscale health world model, but the transition mechanism could not be inspected.",Official SSRN access did not expose sufficient methods and results for capability verification.,No duplicate identified from available metadata.,https://doi.org/10.2139/ssrn.7384522,exclude,not_applicable,no_primary_empirical_evaluation,third_adjudication,"The registered abstract proposes coupled micro- and macro-health dynamics but reports no implemented model, dataset experiment, or empirical capability evaluation."
MWM-0052,Contextual Invertible World Models: A Neuro-Symbolic Agentic Framework for Colorectal Cancer Drug Response,"Precision oncology is currently limited by the small-N, large-P paradox, where high-dimensional genomic data is abundant but pharmacological response samples are sparse. While deep learning achieves predictive accuracy, it frequently fails to provide the mechanistic clarity required for clinical adoption. We present the Contextual Invertible World Model (CIWM), a Neuro-Symbolic Agentic Framework that bridges this gap by integrating a quantitative machine learning emulator with a Large Language Model reasoning layer. Utilising a stringently curated, high-fidelity data engineering pipeline on the Sanger GDSC dataset (\( N=83 \)), we isolate true biological signals from in vitro artifacts to establish a rigorous baseline predictive correlation for complex transcriptomics (\( r=0.268 \)). Through Inverse Reasoning, we perform in silico CRISPR perturbations across the colorectal landscape. The framework autonomously overturns classical mechanistic assumptions, identifying a hierarchical dominance of mutant KRAS over the APC/Wnt-axis in driving 5-fluorouracil resistance (\( Δ=-0.0469 \)) via a ""KRAS Shield"" mapped to MAPK/PI3K networks. Furthermore, the agentic layer identified a ""PIK3CA Paradox"", revealing that repairing PIK3CA inadvertently increases chemoresistance (\( Δ=+0.0085 \)) by triggering a compensatory feedback loop that hyperactivates the dominant MAPK survival pathway.",Christopher Baker; Tianyu Ren; Karen Rafferty; Hui Wang,2026,2026-03-01,Research Portal (Queen's University Belfast),10.48550/arxiv.2603.02274,2603.02274,https://pure.qub.ac.uk/en/publications/ac14c4a2-7a43-476c-a3f2-397e0b2508e5,report,openalex,"""world model"" clinical;""world model"" medicine;""world model"" patient",open-access,exclude,no_learned_dynamics,Uses a static tabular drug-response regressor as a deterministic simulator under edited genomic features.,Evaluation reports held-out drug-response correlation and MAE; simulated CRISPR perturbations lack temporal or held-out intervention validation.,Single identified arXiv preprint.,https://arxiv.org/pdf/2603.02274,exclude,no_learned_dynamics,Uses a static drug-response emulator plus LLM reasoning for in-silico gene perturbations.,"Reports response correlation and perturbation effects, but no temporal transition, rollout, or planning model is evaluated.",Distinct CIWM study; no duplicate record identified.,https://arxiv.org/abs/2603.02274,exclude,not_applicable,no_learned_dynamics,reviewer_consensus,"A: The system is a static response regressor with feature perturbations, not a learned state-transition or rollout model. B: The framework is a static response emulator rather than a learned medical dynamics model."
MWM-0090,From language to world: Bridging LLMs and world models for intelligent surgery,,Yang Liu; Yuxuan Song; Yiqing Du; Caipeng Qin; Tao Xu,2026,2026-01-01,The Innovation Informatics,10.59717/j.xinn-inform.2026.100040,,https://doi.org/10.59717/j.xinn-inform.2026.100040,article,openalex,"""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" physiology",open-access,exclude,no_primary_empirical_evaluation,Discusses connections between language models and surgical world models without presenting a learned dynamics study.,The official publisher record identifies the article as commentary and provides no primary empirical results.,Single publisher commentary; no empirical publication lineage identified.,https://doi.org/10.59717/j.xinn-inform.2026.100040,uncertain,inaccessible_full_text,"The accessible abstract discusses linking language and surgical world models, but methods could not be inspected.",The official publisher page did not provide sufficient primary methods and results for eligibility assessment.,No duplicate identified from available metadata.,https://doi.org/10.59717/j.xinn-inform.2026.100040,exclude,not_applicable,no_primary_empirical_evaluation,third_adjudication,The official publication is a commentary on language and surgical world models rather than an empirical study or a structured review of the field.
MWM-0101,Harnessing AI to Build Virtual Cells,"A virtual cell is a world model of a cell: a computational system that predicts, simulates and programs cellular processes across modalities and scales. An important path toward this goal is to model how genetic and chemical perturbations give rise to transcriptional responses, a core capability for disease understanding and drug discovery. However, current approaches remain expert-intensive, relying on iterative manual model design, training and debugging over months. Here we present VCHarness, an autonomous AI system that constructs perturbation-response models by combining an AI coding agent with multimodal biological foundation models. The system explores large spaces of architectures and training pipelines with minimal human intervention, iteratively generating, evaluating and refining candidate models. Across multiple perturbation-response benchmarks, VCHarness identifies architectures that outperform expert-designed approaches while reducing development time from months to days. It further uncovers non-obvious architectural patterns associated with improved performance, indicating that automated search can extend beyond conventional design strategies. These results suggest a shift from manually engineered models toward autonomous systems for constructing components of virtual cell world models, enabling scalable and data-driven exploration of cellular systems.","Cheng X, Li P, Guo H, Liang Y, Gong J, de Vazelhes W, Gou C, Xie P, Song L, Xing E.",2026,2026-04-14,,10.64898/2026.04.11.717183,,https://europepmc.org/article/PPR/PPR1212648,,europe_pmc,europe_pmc_core,indexed,uncertain,inaccessible_full_text,"Metadata indicates a virtual-cell world-model agenda, but the primary article could not be retrieved.",Whether a learned cell dynamics capability is empirically evaluated could not be verified.,No duplicate identified; linked bioRxiv primary text was inaccessible.,https://europepmc.org/article/PPR/PPR1212648,uncertain,inaccessible_full_text,"The abstract describes agent-built virtual-cell perturbation models, but the learned dynamics implementation could not be verified.",Official bioRxiv endpoints did not provide inspectable primary methods and results.,No duplicate identified from available metadata.,https://doi.org/10.64898/2026.04.11.717183,exclude,not_applicable,no_learned_dynamics,third_adjudication,"VCHarness searches architectures for perturbation-response prediction, but the evaluated models are endpoint mappings described as components toward a future virtual-cell world model rather than temporal state dynamics."
MWM-0111,LungSage: A World-Model-Driven Clinical Decision Engine Fusing TCM Syndrome Patterns with PET-CT Imaging for Non-Small Cell Lung Cancer Prognosis,,Huidong Long; Duo-Hua Su; DU Yi-peng; Guan-Cheng Liu; Ruo-Yue Guo; Jing-Yu Zhou; Han-Rui Chen; Yunen Lin,2026,2026-01-01,IEEE Transactions on Consumer Electronics,10.1109/tce.2026.3725948,,https://doi.org/10.1109/tce.2026.3725948,article,openalex,"""world model"" clinical",indexed,uncertain,inaccessible_full_text,"Metadata suggests a world-model-driven multimodal lung-cancer decision engine, but methods were unavailable.",Dynamics and action-response evaluation could not be checked in the inaccessible IEEE primary text.,No duplicate identified; linked IEEE primary text was inaccessible.,https://doi.org/10.1109/tce.2026.3725948,uncertain,inaccessible_full_text,"The title and abstract indicate a world-model clinical decision engine, but its dynamics could not be inspected.",The official IEEE record did not expose sufficient full text for methods and results verification.,No duplicate identified from available metadata.,https://doi.org/10.1109/tce.2026.3725948,exclude,not_applicable,inaccessible_full_text,third_adjudication,"Stable metadata exists, but sufficient primary methods and results were not accessible to verify learned dynamics and capability evaluation."
MWM-0127,Multimodal EEG World Model: Self-Supervised Latent Transition Learning for Wearable EEG Seizure Detection,"Abstract Existing supervised and self-supervised EEG models mainly learn discriminative or reconstructive representations within individual segments, while the transition information between adjacent EEG segments remains underexplored. In this study, we propose a Multimodal self-supervised EEG World Model for wearable seizure detection. Inspired by Le World Model, the proposed method encodes consecutive EEG segments into a shared latent space and predicts the next-segment latent representation from the current-segment representation conditioned on synchronized physiological information from ECG, EMG, and movement (MOV) signals. A learnable query-based fusion module aggregates the auxiliary multimodal representations into a compact physiological condition, while Sketched Isotropic Gaussian Regularization (SIGReg) is applied to stabilize the latent space and prevent representation collapse. After pretraining, only the pretrained EEG encoder is retained and frozen for linear binary probing, enabling EEG-only downstream seizure detection. We evaluated the proposed model on the SeizeIT2 wearable focal epilepsy dataset using a strict patient-wise training, validation, and test split. The proposed Multimodal EEG World Model achieved an AUPRC of 0.3748 ± 0.0127, ROC-AUC of 0.8025 ± 0.0071, and balanced accuracy of 0.7308 ± 0.0075, ranking first on these three metrics among the ablation studies. It also achieved the highest AUPRC, ROC-AUC, balanced accuracy, and F1-score among the evaluated external baselines. These findings demonstrate that synchronized multimodal physiological information can provide useful contextual information for latent EEG transition learning and improve wearable EEG representation learning.","Yin Z, Zhu H.",2026,2026-07-22,medRxiv,10.64898/2026.07.20.26358450,,https://europepmc.org/article/PPR/PPR1284354,preprint,europe_pmc;openalex,"""world model"" patient;""world model"" physiology;europe_pmc_core",indexed,exclude,no_future_or_action_evaluation,Learns a physiologically conditioned next-segment EEG latent predictor.,"Experiments report downstream seizure-detection AUPRC and representation ablations, not future-latent or rollout accuracy.",Single medRxiv preprint; no duplicate candidate identified.,https://www.medrxiv.org/content/10.64898/2026.07.20.26358450v1.full.pdf,exclude,no_future_or_action_evaluation,Predicts the next EEG-segment latent conditioned on synchronized physiological modalities.,Reports only frozen-encoder seizure-detection metrics; longer-range transition and event-level evaluation are future work.,Distinct EEG world-model study; no duplicate record identified.,https://europepmc.org/article/PPR/PPR1284354,exclude,not_applicable,no_future_or_action_evaluation,reviewer_consensus,"A: The transition pretext task lacks direct empirical evaluation of its dynamics capability. B: The latent dynamics objective is not directly tested as future prediction, rollout, action response, or planning."
MWM-0146,Physics-informed Koopman-constrained implicitQ-learning for safe offline reinforcement learning in mechanical ventilation.,"Mechanical ventilation management in intensive care units requires continuous optimization of ventilator parameters while adhering to clinical safety constraints. This paper presents physics-informed Koopman-constrained implicitQ-learning (PIK-IQL), a novel offline reinforcement learning framework that integrates respiratory mechanics with data-driven policy optimization. The proposed approach addresses three fundamental challenges: learning from retrospective clinical data without online interaction, incorporating physical laws governing respiratory dynamics, and ensuring policy robustness against unmeasured confounding. We develop a PIK world model that lifts nonlinear respiratory dynamics into a linear representation while preserving mechanical constraints. The Koopman model guides policy learning by providing physics-consistent state representations and enabling model-based reward computation, while the IQL policy learns conservative ventilation strategies through expectile regression with hierarchical action regularization. Experiments on the MIMIC-IV database (15,446 patients, 1.58 million hourly observations) demonstrate that PIK-IQL achieves a policy value improvement of 0.088 (95% CI: [0.078, 0.096]) over behavior policy, with zero aggressive actions exceeding safety thresholds. A simplified Rosenbaum sensitivity analysis suggests robustness to unmeasured confounding with criticalΓ∗=3.0, providing an approximate indicator of causal validity for the observed improvements.",Bailing Zhang; Yuwei Mi; Yuan Miao,2026,2026,Biomedical physics & engineering express,10.1088/2057-1976/ae7d30,,https://pubmed.ncbi.nlm.nih.gov/42296990/,journal-article,europe_pmc;openalex;pubmed,"""world model"" clinical;""world model"" patient;""world model"" physiology;""world model"" treatment;europe_pmc_core;pubmed_core",indexed,uncertain,inaccessible_full_text,Metadata indicates Koopman-constrained learned dynamics for ventilation policy optimization.,Transition accuracy and model-based policy evaluation could not be verified in the inaccessible publisher text.,No duplicate identified; linked IOP primary text was inaccessible.,https://pubmed.ncbi.nlm.nih.gov/42296990/,uncertain,inaccessible_full_text,"The abstract indicates a Koopman-constrained learned model used in ventilation control, but details could not be inspected.",Official publisher and PubMed pages did not expose sufficient full text for dynamics and planning verification.,No duplicate identified from available metadata.,https://pubmed.ncbi.nlm.nih.gov/42296990/,exclude,not_applicable,no_future_or_action_evaluation,third_adjudication,"The Koopman world model supplies state representations and model-based reward computation, but the accessible primary report evaluates policy value and action safety without direct transition, rollout, or simulator-validity evidence."
MWM-0183,"The Bioprocess World Model for Simulating Cell-State Evolution, Manufacturing Intervention, Process Uncertainty, and Critical Quality Attributes","Biopharmaceutical manufacturing increasingly uses mechanistic models, statistical predictors, process analytical technologies, metabolic reconstructions, and digital-twin concepts to anticipate culture behavior and product quality. However, an accurate predictor of a selected process variable is not necessarily a model of the evolving manufacturing system. It may lack a persistent representation of cell state, explicit intervention semantics, multiscale temporal dynamics, calibrated uncertainty,",Grace Collins; Oliver Evans; Noah Williams; Ethan Brooks,2026,2026-01-01,International Journal Of Pharmaceutical Research And Allied Sciences,10.51847/xb0rdsqitf,,https://doi.org/10.51847/xb0rdsqitf,article,openalex,"""world model"" clinical",open-access,exclude,no_primary_empirical_evaluation,Proposes a multiscale bioprocess world-model architecture with intervention-conditioned transitions.,The article distinguishes conceptual readiness from future validation and reports no implemented empirical model results.,Single peer-reviewed conceptual architecture article; no duplicate candidate identified.,https://doi.org/10.51847/xb0rdsqitf,exclude,no_primary_empirical_evaluation,Proposes a conceptual multiscale bioprocess state-transition and intervention architecture.,Provides literature examples and design requirements but no original trained model or empirical dynamics results.,Distinct conceptual article; no duplicate record identified.,https://doi.org/10.51847/xb0rdsqitf,exclude,not_applicable,no_primary_empirical_evaluation,reviewer_consensus,A: The paper proposes an architecture but does not empirically evaluate learned dynamics. B: The article is a conceptual synthesis rather than a primary empirical world-model study or eligible review of medical world models.
MWM-0192,The Patient is not a Moving Document: A World Model Training Paradigm for Longitudinal EHR,"Large language models (LLMs) trained with next-word-prediction have achieved success as clinical foundation models. Representations from these language backbones yield strong linear probe performance across biomedical tasks, suggesting that patient semantics emerge from next-token prediction at scale. However, this paradigm treats patients as a document to be summarized rather than a dynamical system to be simulated; a patient's trajectory emerges from their state evolving under interventions and time, requiring models that simulate dynamics rather than predict tokens. To address this, we introduce SMB-Structure, a world model for structured EHR that grounds a joint-embedding prediction architecture (JEPA) with next-token prediction (SFT). SFT grounds our model to reconstruct future patient states in token space, while JEPA predicts those futures in latent space from the initial patient representation alone, forcing trajectory dynamics to be encoded before the next state is observed. We validate across two large-scale cohorts: Memorial Sloan Kettering (23,319 oncology patients; 323,000+ patient-years) and INSPECT (19,402 pulmonary embolism patients). Using a linear probe evaluated at multiple points along the disease trajectory, we demonstrate that our training paradigm learns embeddings that capture disease dynamics not recoverable by autoregressive baselines, enabling SMB-Structure to achieve competitive performance on complex tasks characterized by high patient heterogeneity. Model weights are available at https://huggingface.co/standardmodelbio/SMB-v1-1.7B-Structure.",Irsyad Adam; Zekai Chen; David Laprade; Shaun Porwal; David Laub; Erik Reinertsen; Arda Pekis; Kevin Brown,2026,2026-01-29,arXiv (Cornell University),10.48550/arxiv.2601.22128,2601.22128,http://arxiv.org/abs/2601.22128,preprint,openalex,"""world model"" EHR;""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" physiology;""world model"" treatment",open-access,exclude,no_future_or_action_evaluation,Uses a JEPA objective to predict future EHR embeddings in latent space.,All reported results are frozen-embedding linear probes for downstream outcomes rather than future-state or rollout accuracy.,Single identified arXiv preprint.,https://arxiv.org/pdf/2601.22128,exclude,no_future_or_action_evaluation,Trains a JEPA to predict masked future EHR embeddings from the current patient representation.,"All reported outcomes use frozen linear probes for progression, toxicity, and survival rather than model rollouts or transition predictions.",Distinct SMB-Structure study; no duplicate record identified.,https://arxiv.org/abs/2601.22128,exclude,not_applicable,no_future_or_action_evaluation,reviewer_consensus,A: The future-latent training objective is not directly evaluated as a dynamics capability. B: The dynamics objective is not directly evaluated as a generative future-state or planning capability.
