audit_id,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status
ALT-71b8d7cba961,162. Digital twin campus intervention for stress adaptation in university students with depressive symptoms,"Abstract Background Rates of depression among college students keep rising, with 20–30% showing symptoms worldwide. Academic and life stress, along with poor adaptation, drive this trend. Traditional counseling requires personal disclosure and long sessions, leading to low help-seeking rates. Digital-twin technology creates an immersive virtual campus and offers a VR-based mental-health approach, but its use in stress-adaptation training for depression remains limited. This study integrates a digital-twin campus with Cognitive Behavioral Therapy (CBT) to build a virtual stress-coping system grounded in real settings. The goal is to test its effectiveness in improving depressive symptoms and stress adaptation, supporting intelligent mental-health systems. Methods A single-blind randomized controlled trial recruited 210 university students aged 18 to 24 from two universities, all with Beck Depression Inventory-II (BDI-II) scores between 13 and 28. Participants were randomly assigned to a digital-twin intervention group (n = 105) or traditional CBT control group (n = 105). The intervention used a Unity-based VR “Smart Campus Mental Training System,” delivered via headsets, for 10 weeks. Training included: (1) Exposure training: gradual exposure to 12 types of academic, interpersonal, and daily-life stressors; (2) Cognitive restructuring: AI-guided identification and modification of negative automatic thoughts; (3) Behavioral activation: social, physical, and interest-related activities with gamified reinforcement. Primary outcome: BDI-II. Secondary outcomes: Perceived Stress Scales-14 (PSS-14) and Coping Inventory for Stressful Situations (CISS). Assessments occurred at baseline, week 5, 10, and 16 follow-up. Results The main outcomes are shown in Table 1. As shown in Table 1, at mid-intervention (5 weeks), the digital twins group’s BDI-II score decreased from 21.3 ± 4.2 at baseline to 14.6 ± 3.8, and further to 9.2 ± 3.5 at intervention completion (10 weeks), representing a 12.1-point reduction compared to 9.1 points in the control group (p<.001, Cohen’s d = 0.65). The digital twins group also showed greater reductions in PSS-14 scores (12.7 vs. 8.8 points) and larger improvements in CISS scores (14.6 points), indicating enhanced adaptive coping strategies. At follow-up (16 weeks), therapeutic effects remained stable in the digital twins group (10.1 ± 3.9) compared to controls (12.5 ± 4.6, p<.001, Cohen’s d = 0.57). Discussion This study showed that the digital twin–based VR intervention produced greater reductions in depressive symptoms and perceived stress than traditional CBT across the intervention and follow-up periods. Participants in the VR group also demonstrated more effective coping strategies, suggesting that immersive environments can strengthen cognitive and behavioral change. These findings indicate that integrating VR technology into campus-based mental health services may offer a practical and effective approach for supporting students with mild to moderate depression. Future studies with longer follow-ups and broader samples can further validate the stability and generalizability of these results.",Huashan Zhou,2026,2026,Schizophrenia Bulletin,10.1093/schbul/sbag003.160,,https://doi.org/10.1093/schbul/sbag003.160,journal-article,crossref,"""clinical digital twin"" intervention",registered
ALT-7a3f166abf00,227Chapter 17 Machine Learning Algorithms for Predicting Disease Progression and Personalized Treatment in Chronic Diseases,,Ashutosh Roy; Swapnil M. Parikh; R. M. Joany,2026,2026,Generative AI and Internet of Medical Things,10.1515/9783112237083-017,,https://doi.org/10.1515/9783112237083-017,book-chapter,crossref,"""disease progression model"" generative intervention",registered
ALT-29398f6f2107,23 AN INTERVENTION STUDY ON SOCIAL ANXIETY DISORDER USING DIGITAL TWIN VIRTUAL COMMUNITIES,,Ling Feng; Sanuo Cheng*,2026,2026,Current Opinion in Psychiatry,10.1097/01.yco.0001239920.79314.84,,https://doi.org/10.1097/01.yco.0001239920.79314.84,journal-article,crossref,"""clinical digital twin"" intervention",registered
ALT-8803de121c39,[Digital twins in uro-oncology].,"BACKGROUND: Uro-oncology is moving toward precision medicine, driven by high-dimensional longitudinal data from imaging, pathology, molecular profiling, and follow-up. However, clinical decision-making often relies on static risk scores that cannot fully capture individual disease dynamics. Digital twins aim to integrate multimodal patient data and to provide patient-specific, dynamically updated simulation models, thereby enabling ""what-if"" testing of interventions. OBJECTIVE: How is a medical digital twin defined, which data foundation is available in uro-oncology, and which clinical use cases can be envisaged? METHODS: This work comprises a narrative review including a description of the digital twin concept, a structured presentation of multimodal data (laboratory parameters, imaging, pathology, omics, long-term outcomes), and an overview of representative published applications (e.g., tumor growth reconstruction, virtual pathology, surgical 3D twins). RESULTS: Current digital twin research in uro-oncology largely represents partial digital twins (e.g., tumor progression models, virtual assessment, patient-specific 3D surgical planning). Potential clinical value of digital twins includes dynamic risk stratification, individualized treatment planning, and adaptive follow-up strategies. Major limitations relate to data quality, interoperability, external validation, interpretability, data privacy, and regulatory requirements for clinical deployment. CONCLUSION: Digital twins have the potential to enable a new era of predictive precision medicine in uro-oncology. Progress toward clinically actionable digital twins requires multimodal architectures, rigorous monitoring, and seamless integration into clinical workflows under robust governance and regulatory frameworks.",Johanna Smielowski; Maximilian Glienke; Sherif Mehralivand; Gregor Duwe; Felix Chun; Hendrik Borgmann; Magdalena Görtz,2026,2026,"Urologie (Heidelberg, Germany)",10.1007/s00120-026-02827-2,,https://pubmed.ncbi.nlm.nih.gov/42018198/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed
ALT-fdb4f752cf95,A cost-optimized medical digital twin framework for secure and efficient patient data management in smart healthcare.,"The increasing demand for personalized, real-time healthcare necessitates efficient, secure patient data management. Digital Twins (DTs) enable AI-powered monitoring and decision support but also introduce challenges related to latency, computational cost, and security. This paper proposes a cost-optimized, AI-driven Medical Digital Twin (MDT) framework that manages task allocation across heterogeneous edge, fog, and cloud infrastructures. The system is formulated as a tri-objective optimization model that jointly minimizes latency and operational cost while maximizing security, subject to resource and clinical-priority constraints. To solve this problem, three complementary approaches are developed: (i) an exact Integer Linear Programming (ILP) model for optimal benchmarking, (ii) a Patient-Aware Task Intelligence Greedy (PATI-Greedy) heuristic algorithm for low-latency decision-making, and (iii) a Hybrid Q-Learning Enhanced Genetic Algorithm (HybridQeGA) for scalable, near-optimal performance in complex environments. Extensive simulations in a smart ICU scenario with 4, 8, and 12 patients demonstrate that ILP consistently achieves the best objective values but is computationally impractical for large instances. PATI-Greedy executes rapidly with polynomial complexity, achieving results within 5-[Formula: see text] of ILP for small- to medium-scale workloads. HybridQeGA offers the closest match to ILP in larger problem sizes, with less than [Formula: see text] deviation in overall objective value while maintaining scalability. Security-sensitive scenarios highlight HybridQeGA's adaptability, improving security scores by an average of [Formula: see text] compared to PATI-Greedy. These findings establish a balanced trade-off between accuracy and computational efficiency, positioning the proposed framework as a robust and deployable solution for intelligent and trustworthy digital health ecosystems.",Faisal Mohammed Alotaibi; Sadiq Ahmad; Tallha Akram; Sultan Alanazi; Moteeb Almoteri; Abdullah M Alotaibi,2026,2026,Scientific reports,10.1038/s41598-026-41205-y,,https://pubmed.ncbi.nlm.nih.gov/41760818/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed
ALT-36a3691f146d,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,"Anti-amyloid immunotherapies have recently demonstrated the first significant slowing of cognitive decline in Alzheimer's disease (AD), yet clinical benefit varies markedly across drugs and scales with the completeness of amyloid clearance. Pharmacokinetic/pharmacodynamic (PK/PD) models are currently the standard tool for trial simulation, but they typically operate on single biomarkers and rely on drug-concentration assumptions, leaving the multi-scale cascade from amyloid clearance through tau, neurodegeneration, and cognition largely unmodelled. No existing framework has been jointly validated against the quantitative outcomes of multiple real-world phase III trials, spanning clearance kinetics, multi-modal biomarker trajectories, and statistical power. We present a trial simulation platform based on SimulAD, a disease progression model trained exclusively on longitudinal observational data from ADNI, with no access to trial-arm labels or drug-specific outcomes. SimulAD encodes intervention as piecewise amyloid clearance terms within a latent ordinary differential equation system that jointly governs amyloid, tau, structural MRI, and cognitive trajectories under the amyloid cascade hypothesis. We retrospectively simulated six landmark phase III anti-amyloid trials (TRAILBLAZER-ALZ2, CLARITY AD, EMERGE and ENGAGE, GRADUATE I and GRADUATE II) using a single trained model with trial-specific calibration limited to amyloid clearance kinetics. SimulAD reproduced published mean centiloid reductions within 5% error across all six trials and generated CDR-SB distributions broadly consistent with reported placebo and treated-arm outcomes. In a retrospective power analysis, calibrated simulations separated the three positive from the three null trials, with EMERGE near the decision boundary and ENGAGE and both GRADUATE trials below it. Across trials, higher amyloid-clearance rates were associated with larger calibrated clinical effects and lower estimated sample sizes. These results establish SimulAD as a valid disease-progression-centric trial simulator providing quantitative guidance on sample size planning and treatment kinetics optimisation that is grounded in the full multi-modal biomarker cascade of AD.",Marco Lorenzi; Anna Custo; Giovanni B Frisoni; Valentina Garibotto,2026,2026,medRxiv : the preprint server for health sciences,10.64898/2026.05.03.26352317,,https://pubmed.ncbi.nlm.nih.gov/42145636/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed
ALT-ee4cb20248cc,"A Data-Scarce Digital Twin for Tourism-Driven Island Mobility: Simulation, Validation, and Intervention Evaluation on Milos, Greece","Abstract Small Greek islands face acute transport pressures during peak summer season, where tourism-driven traffic surges overwhelm road networks never designed for sustained high demand. Conventional infrastructure responses are constrained by spatial limitation, environmental protection designations, and financial cost, yet data scarcity prevents sensor-dependent Digital Twin approaches developed for urban contexts. This study addresses that gap by developing and validating a prototype Digital Twin of the road network of Milos Island, Greece, using the open-source Simulation of Urban Mobility (SUMO) platform and entirely locally collected, non-sensor data. Demand was constructed from ferry schedules, car rental records, and a points-of-interest-weighted origin–destination framework, calibrated against manual traffic counts at 16 locations. Multi-seed validation across 100 stochastic runs yielded a mean GEH of 4.499 ± 0.320 (95% CI: [4.436, 4.562]), with Monte Carlo and elasticity analyses confirming robustness to ± 20% demand perturbations and ± 5% vehicle parameter variations. Three planning interventions were evaluated across 30 stochastic runs each: a one-way system, static and actuated traffic signal control, and port relocation, ranked using a composite congestion and sustainability index combining fuel consumption, CO₂ emissions, and time loss. The one-way system delivered the strongest performance, reducing fuel and CO₂ by 55–60% at the main Adamas junction with minimal delay penalty. Actuated control was a robust second-best; static control improved emissions but imposed delays exceeding + 600% at key nodes. The findings demonstrate that credible, policy-relevant Digital Twin analysis is achievable under persistent data scarcity, offering a transferable methodology for eco-sensitive mobility planning on tourism-dependent islands.",Ioanna Malli,2026,2026,Springer Science and Business Media LLC,10.21203/rs.3.rs-9982997/v1,,https://doi.org/10.21203/rs.3.rs-9982997/v1,posted-content,crossref,"""clinical digital twin"" intervention",registered
ALT-e2ee109817a8,"A decade of innovation in healthcare: Automation, bio-printing and digital twin technologies for personalized therapies.","Advanced therapy medicinal products (ATMPs) face a distinct manufacturing challenge: delivering patient-specific therapies with reproducible quality, acceptable cost, and GMP-compliant manufacturing control. This narrative review examines how, over the past decade, the manufacturing of these therapies has moved from operator-dependent, open workflows toward more automated, closed or functionally closed, and increasingly data-supported process architectures. Three converging technology streams are discussed: (i) closed and semi-closed automated platforms for GMP-compliant cell manufacturing, (ii) advanced bioprinting and 3D manufacturing systems for tissue-engineered products, and (iii) digital twin concepts and related data-driven strategies as emerging enabling layers for monitoring, traceability, and process support. Across these domains, the dominant engineering trend is a shift from standalone equipment toward integrated frameworks aimed at reducing operator dependence, improving reproducibility, and strengthening GMP readiness. Overall, the field is shifting from isolated tools to more coordinated, automation-oriented, and increasingly data-supported workflows.","Ghavami D, Giulietti N, Sandri G, Giberti H.",2026,2026-03-26,,10.1016/j.ijpx.2026.100526,,https://europepmc.org/article/MED/41970505,,europe_pmc,europe_pmc_core,indexed
ALT-b41d73135078,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,"A bstract Hospital antimicrobial resistance (AMR) emanates from an array of complex interactions between patient turnover, heterogeneous patient–staff contact patterns, antibiotic-driven within-host selection, and imperfect surveillance. We present a hospital AMR digital twin that combines mechanistic simulation with temporal graph learning to forecast resistance emergence from evolving daily contact networks and enable support intervention planning. Our approach is twofold: graph neural networks and transformers to model predictions and mathematical programming optimization to provide decision support. The main predictive task asks whether future spread of resistant infections is more likely to be driven by endogenous hospital transmission and selection or from importation on admission. We evaluated this task under both fully observed and partially observed settings, using baseline benchmarks together with ablations, surveillance perturbations, and distribution-shift stress tests. Under canonical conditions, the model achieved very strong predictive performance, especially when ground-truth system states were available, and remained informative under partial observation. Ablations showed that contact-weight information was relatively robust, whereas compressed node-feature representations weakened performance more noticeably when observations were incomplete. Surveillance stress tests further showed that delayed or less frequent reporting can be tolerated in some settings, but threshold calibration becomes fragile under more severe observation changes. Across broader epidemiological and surveillance shifts, the ground-truth model generally preserved strong ranking ability, while partial-observation performance was less stable. When models were trained directly in the shifted regime, performance improved compared with zero-shot transfer, indicating that the digital twin can adapt to new and previously unseen operating conditions but that portability across regimes can improve, particularly when only partial surveillance data are available. We also evaluated intervention-conditioned forecasting by branching hospital states into a small library of screening and isolation policies under a shock-and-superspreader regime. The learned models supported useful within-state action ranking and frequently identified policies that improved on the baseline containment protocols or avoided worsening outcomes. The same digital twin can also support constrained intervention selection, although reliable deployment will require careful calibration, improved robustness under partial observation, and broader policy libraries.","Triantafyllidis CP, Aguas R.",2026,2026-05-22,openRxiv,10.64898/2026.05.15.26353296,,https://europepmc.org/article/PPR/PPR1237042,posted-content,crossref;europe_pmc,"""clinical digital twin"" intervention;""intervention-conditioned forecasting"" clinical;europe_pmc_core",indexed
ALT-235a80953b68,A Digital Twin-based Approach for Energy Optimisation in Medical Gas Systems in Hospital Intensive Care Units,"Given the increasing energy demands associated with the use of advanced medical technologies in healthcare services, it has become imperative to implement energy optimisation measures in line with global trends. New technologies such as digital twins, system information modelling, the Internet of Things, sensing technologies, and data analytics have become indispensable elements in creating more efficient systems. This study presents analyses using a digital twin-based approach to ensure energy efficiency in medical gas systems through predictive demand control in hospital intensive care units. Within the scope of the study, a digital twin was developed by simulating operational dynamics, taking into account the physical system model, operational dynamics modelling, and control-optimisation modelling. The time series data generated by the modelled digital twin simulation was used to train an LSTM deep learning model that predicts with 99.5% R2 accuracy. The model, implemented through the digital twin simulation, proactively optimises the operating strategy of the medical compressor system using predictions generated by the developed predictive demand control (PDC) algorithm. The use of the created PDC simulation resulted in an 18.8% energy saving in annual energy consumption compared to traditional methods. Furthermore, there was a 32% improvement in compressor on-off cycles compared to traditional methods. As an advanced approach to system optimisation, the Cycle-Limited Predictive Demand Control (CL-PDC) algorithm was developed by imposing a maximum limit of 10 start-stop cycles per day. This demand cycle resulted in a 13.2% reduction in cycles, 6.0% additional savings, and a +2.5-year extension in contactor life. In the study, the data production process was created by adhering to patient admissions and discharges to the ICU, changes in patient status, and medical gas demand, while also prioritising patient safety. The research draws attention to the energy efficiency and operational digital twin concept and its potential, particularly in hospital infrastructure.",Mustafa Akkaya; Sinem Akkaya,2026,2026,Elsevier BV,10.2139/ssrn.6240076,,https://doi.org/10.2139/ssrn.6240076,posted-content,crossref,"""medical digital twin"" trajectory",registered
