candidate_id,title,primary_source_url,publication_status,domain,dataset_or_cohort,sample_scale,institution_count,split_strategy,observation_process,missingness,censoring_or_competing_events,state,observation_decoder,action,action_provenance,transition_mechanism,maximum_horizon,rollout_regime,capability_claim,baselines,state_fidelity_metrics,transition_metrics,rollout_stability,action_sensitivity,calibration_and_uncertainty,external_validation,decision_utility,safety_evaluation,statistical_analysis,causal_language,estimand,confounding_strategy,positivity_and_overlap,counterfactual_validation,code_access,weights_access,data_access,preprocessing_reproducibility,randomness,evidence_anchors,appraisal_strengths,appraisal_limitations,source_status,reviewer_confidence
MWM-XA9B007D895,A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation,https://doi.org/10.1109/access.2021.3100007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open-access,
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,https://europepmc.org/article/MED/42454569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,https://doi.org/10.1109/ijcnn48605.2020.9206875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,registered,
MWM-X36A3691F14,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,https://pubmed.ncbi.nlm.nih.gov/42145636/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-XB41D731350,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,https://europepmc.org/article/PPR/PPR1237042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,https://doi.org/10.64898/2026.03.13.26346736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,registered,
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,https://pubmed.ncbi.nlm.nih.gov/42062819/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-XD3411F7D18,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling",https://europepmc.org/article/PPR/PPR1215662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-X1BBCF32528,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics",https://doi.org/10.64898/2026.02.25.707938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,registered,
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,https://arxiv.org/abs/2605.28111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open-access,
MWM-XC0A20D0271,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,https://arxiv.org/abs/2605.10840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open-access,
MWM-XA5A2F4844E,Control of Magnetic Surgical Robots With Model-Based Simulators and Reinforcement Learning.,https://europepmc.org/article/MED/37600471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-XD7F5DAFF27,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.,https://europepmc.org/article/MED/39255169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-XFA677C184B,DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories,https://arxiv.org/abs/2607.25864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open-access,
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,https://europepmc.org/article/MED/42644119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-X872C154484,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,https://pubmed.ncbi.nlm.nih.gov/34877803/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-X1305C7353F,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,https://doi.org/10.1038/s41746-025-01444-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,registered,
MWM-XF38CEA9063,Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.,https://europepmc.org/article/MED/41053343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-X056BF65776,Generating whole-brain neural activity and behavior through unified latent dynamics,https://doi.org/10.64898/2026.06.05.730482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,registered,
MWM-X6A64D732FB,Koopman-based linearization of preparatory EEG dynamics in Parkinson's disease during galvanic vestibular stimulation.,https://europepmc.org/article/MED/40438537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-XEA4B3285B2,Learning Temporal Basis Vectors for Closed-Loop Neural Stimulation.,https://pubmed.ncbi.nlm.nih.gov/41336632/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-XC890A9B151,Machine Learning for Mechanical Ventilation Control,https://doi.org/10.1101/2021.02.26.21252524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open-access,
MWM-X6C3AA8358E,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,https://europepmc.org/article/MED/40709099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-X21155DF63C,Modelling neural coding in the auditory midbrain with high resolution and accuracy.,https://pubmed.ncbi.nlm.nih.gov/41019457/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
MWM-X772584A789,Multi-Objective Model-based Reinforcement Learning for Infectious Disease Control,https://europepmc.org/article/PPR/PPR597469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indexed,
