audit_id,stratum,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
AUD-669035784e86,alternate_dynamics_enriched,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,"We present Clin-JEPA, a multi-phase co-training framework for joint-embedding predictive (JEPA) pretraining on EHR patient trajectories. JEPA architectures have enabled latent-space planning in robotics and high-quality representation learning in vision, but extending the paradigm to EHR data -- to obtain a single backbone that simultaneously forecasts patient trajectories and serves diverse downstream risk-prediction tasks without per-task fine-tuning -- remains an open challenge. Existing JEPA frameworks either discard the predictor after pretraining (I-JEPA, V-JEPA) or train it on a frozen pretrained encoder (V-JEPA 2-AC), leaving the encoder unaware of the rollout signal that the retained predictor must use at inference; co-training the encoder and predictor under a shared JEPA prediction objective would supply this grounding, but naïve co-training is unstable, with representation collapse and online/target drift causing autoregressive rollout to diverge. Clin-JEPA's five-phase pretraining curriculum -- predictor warmup, joint refinement, EMA target alignment, hard sync, and predictor finalization -- addresses each failure mode by phase, stably co-training a Qwen3-8B-based encoder and a 92M-parameter latent trajectory predictor. On MIMIC-IV ICU data, three independent evaluations support the framework: (1) latent $\ell_1$ rollout drift uniquely converges ($-$15.7%) over 48-hour horizons while baselines and ablations diverge (+3% to +4951%); (2) the encoder learns a clinically discriminative latent geometry (deteriorating-patient cohorts displace 4.83$\times$ further than stable patients in latent space, vs $\leq$2.62$\times$ for baseline encoders); (3) a single backbone outperforms strong tabular and sequence baselines on multi-task downstream evaluation. Clin-JEPA achieves mean AUROC 0.851 on ICareFM EEP and 0.883 on 8 binary risk tasks (+0.038 and +0.041 vs baseline average).",Yixuan Yang; Mehak Arora; Ryan Zhang; Baraa Abed; Junseob Kim; Tilendra Choudhary; Md Hassanuzzaman; Kevin Zhu; Ayman Ali; Chengkun Yang; A.E. Gent; Victor Moas; Rishikesan Kamaleswaran,2026,2026-05-11,arXiv (Cornell University),,2605.10840,https://arxiv.org/abs/2605.10840,preprint,['openalex'],"['""medical world model""', '""world model"" EHR', '""world model"" patient']",open-access,world-model phrase absent from title and abstract,include,empirical,include_empirical,The study learns an autoregressive latent patient-trajectory model and evaluates 48-hour rollout behavior on MIMIC-IV.,include,empirical,include_empirical,Learns an autoregressive latent EHR transition model and evaluates 48-hour rollouts on MIMIC-IV.,include,empirical,include_empirical,reviewer_consensus,A: The primary text implements learned action-aware patient-state dynamics and directly evaluates multistep future rollouts. B: The full text presents learned longitudinal patient-state dynamics and directly evaluates multistep future rollout behavior on clinical EHR data.
AUD-23bda78572c9,alternate_dynamics_enriched,Combining machine learning and physiological network models for sepsis prediction,"As the most extreme course of an infectious disease, sepsis poses a serious health threat, with a high mortality rate and frequent long-term consequences for survivors. Despite its enormous burden on global healthcare and ongoing research efforts, early sepsis onset prediction remains challenging due to the complex nature of its pathophysiology. Current approaches face a fundamental trade-off: data-driven machine learning models achieve strong performance but lack interpretability, while biologically inspired models provide mechanistic insights but have limited clinical validation. In this study, we propose the Latent Dynamics Model , a hybrid machine learning approach that integrates a functional model of coupled oscillators representing organ- and immune-cell populations and their interactions. Here, the model parameters encode physiological conditions and allow for an interpretable differentiation between healthy and pathological states. By projecting high-dimensional patient data into the low-dimensional parameter space of the functional model, machine-learned trajectories through this space allow the prediction of critical organ system states and simultaneously offer interpretability beyond plain risk estimates. The proposed method is trained and evaluated on real intensive care patients, achieving competitive AUROC/AUPRC performance on a retrospective MIMIC-IV cohort. Additional qualitative analysis reveals that the learned trajectories exhibit clinically plausible patterns of deterioration, recovery, and stability. We demonstrate that a physiological network model can be embedded within a deep learning architecture without compromising predictive performance while providing an interpretable latent structure for sepsis onset prediction.",Juri Backes; Artyom Tsanda; Tobias Knopp; Wolfgang Renz; Eckehard Schöll,2026,2026-06-19,Frontiers in Network Physiology,10.3389/fnetp.2026.1852577,,https://doi.org/10.3389/fnetp.2026.1852577,article,['openalex'],"['""world model"" physiology']",open-access,world-model phrase absent from title and abstract,include,empirical,include_empirical,The hybrid model learns patient trajectories through a physiological parameter space and evaluates future critical-organ-state prediction on ICU data.,include,empirical,include_empirical,Learns patient trajectories in a physiological latent dynamics model and evaluates future organ-state prediction.,exclude,not_applicable,no_future_or_action_evaluation,third_full_text_adjudication,"The GRU updates a latent position only when each new EHR observation arrives, and the paper states that the oscillator trajectory is not patient-state evolution. Evaluation is online sepsis discrimination and observed SOFA tracking, while temporal rollout is listed as future work."
AUD-906a4df1eae9,alternate_dynamics_enriched,Commercial impact of adding real-world evidence to clinical trials at regulatory approval: a Markovian-like transition model,,Ravi Jandhyala,2023,2023,Current Medical Research and Opinion,10.1080/03007995.2023.2174330,,https://doi.org/10.1080/03007995.2023.2174330,journal-article,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,uncertain,empirical,insufficient_abstract,"The title suggests a medical transition model, but no abstract is available to establish learned dynamics or future/action evaluation.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,third_full_text_adjudication,"The transition states describe drug-development, regulatory, launch, adoption, and commercial timelines. Patient survival is a derived downstream estimate, not the state of a learned clinical or biomedical dynamics model."
AUD-a2362b6cabf5,alternate_dynamics_enriched,Fetal Twin: a mechanistic computational model of fetal physiology for heart-rate-variability biomarker research,"Abstract Fetal-monitoring biomarkers for neonatal hypoxic-ischemic brain injury face a structural gap: the mechanistic ground truth that would label a training set — perfusion pressure, the moment of decompensation, the injury time course — cannot be measured at scale or ethically in human pregnancy or labor, and generative synthetic data carry no mechanistic labels. We address this with a mechanistic computational model of the fetal cardiovascular, autonomic, and metabolic response to controlled hypoxic stress, and use it to test how beat detection and acquisition fidelity alter the interpretation of fetal-heart-rate-variability (HRV) biomarkers. The model integrates these systems forward in time across antepartum development (gestational-age growth scaling) and intrapartum stress (umbilical-cord occlusions), emitting synthetic monitoring signals (fetal heart rate, RR intervals) co-registered with model-computed latent labels (pH, base deficit, lactate, perfusion pressure, decompensation and injury states). In a fetal-sheep-derived autonomic-loop configuration we report three results. First, a phase-accumulator beat detector shows that the apparently physiologic baseline HRV of an earlier build was largely a detector artifact, and a noise-off control shows beat-to-beat variability requires an explicit stochastic driver rather than self-sustained autonomic oscillation. Second, a sampling-fidelity sweep yields a fidelity-matched selection rule: a deceleration-area biomarker is preserved at CTG-grade 4 Hz whereas RMSSD is corrupted there (inflated about 8-fold by timing quantization) and recovers only at fetal-ECG rates. Third, autonomic modulation alone does not reproduce the published RMSSD rise-then-collapse — a negative result that motivates, but does not prove, an intrinsic sinoatrial-pacemaker contribution as a testable hypothesis. This is an in-silico, hypothesis-generating study: the model is not validated for individual fetal prediction, clinical risk estimation, or clinical decision-making. The model is implemented as Fetal Twin (engine fetaltwin ), a source-available research instrument released under a noncommercial license, together with all figure configurations, so that these controlled experiments are reproducible. Key Points Progress on fetal-monitoring biomarkers for neonatal brain-injury risk is constrained by a structural gap: the mechanistic ground truth that would label a training set — perfusion pressure, the moment of cardiovascular decompensation, the time course of injury — cannot be measured at scale or ethically during human pregnancy or labor. We present Fetal Twin (source-available engine fetaltwin ), a publicly available, noncommercially-licensed mechanistic testbed for fetal physiological development. It integrates the fetal cardiovascular, metabolic, and autonomic systems forward in time across antepartum development (gestational-age growth scaling) and intrapartum stress (umbilical-cord occlusions), and emits synthetic monitoring signals (fetal heart rate, RR intervals) co-registered with model-computed latent labels (pH, lactate, perfusion pressure, decompensation and injury states). The name’s digital-twin connotation is deliberate but bounded: Fetal Twin is a mechanistic, population-level twin of fetal physiology used as a research instrument — not a validated, patient-specific clinical digital twin or predictor. Its purpose is to interrogate what candidate biomarkers can and cannot mean, via in-silico controls impossible in vivo — swapping the beat detector, turning a noise source off, ablating a reflex, or quantizing the signal to a monitor’s sampling grid. Demonstrations in a fetal-sheep-derived autonomic-loop configuration show that beat-to-beat HRV amplitude can be a numerical artifact of the beat detector, and that in this model class beat-to-beat variability requires an explicit stochastic driver — it does not arise as a self-sustained oscillation of the deterministic autonomic loop. A further demonstration establishes a fidelity-matched biomarker-selection rule — a deceleration-area biomarker survives CTG-grade 4 Hz sampling whereas RMSSD is corrupted at that rate and needs fetal-ECG timing — and a negative result shows the published RMSSD “rise-then-collapse” is not reproducible from autonomic modulation in this model class, motivating (but not proving) an intrinsic-pacemaker hypothesis.",Martin G. Frasch,2026,2026,openRxiv,10.64898/2026.07.14.738362,,https://doi.org/10.64898/2026.07.14.738362,posted-content,['crossref'],"['""world model"" physiology']",registered,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The fetal simulator is described as a mechanistic computational model rather than a learned or adapted transition model.,include,empirical,include_empirical,Runs an adapted fetal physiology simulator under cord-occlusion interventions and evaluates generated trajectories.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,"The available primary text identifies a mechanistic population-level fetal physiology simulator run under prescribed stress and acquisition controls, but does not establish learned or data-fitted transition dynamics. A fetal-sheep-derived configuration alone does not satisfy the frozen adaptation criterion."
AUD-2cc6cfea5438,alternate_dynamics_enriched,Mobility traces and spreading of COVID-19,"1 Executive summary We use human mobility models, for which we are experts, and attach a virus infection dynamics to it, for which we are not experts but have taken it from the literature, including recent publications. This results in a virus spreading dynamics model. The results should be verified, but because of the current time pressure, we publish them in their current state. Recommendations for improvement are welcome. We come to the following conclusions: Complete lockdown works . About 10 days after lockdown, the infection dynamics dies down. This assumes that lockdown is complete, which can be guaranteed in the simulation, but not in reality. Still, it gives strong support to the argument that it is never too late for complete lockdown. As a rule of thumb, we would suggest complete lockdown no later than once 10% of hospital capacities available for COVID-19 are in use , and possibly much earlier. This is based on the following insights: Even after lockdown, the infection dynamics continues at home, leading to another tripling of the cases before the dynamics is slowed. There will be many critical cases coming from people who were infected before lockdown. Because of the exponential growth dynamics, their number will be large. Researchers with more detailed disease progression models should improve upon these statements. Our simulations say that complete removal of infections at child care, primary schools, workplaces and during leisure activities will not be enough to sufficiently slow down the infection dynamics . It would have been better, but still not sufficient, if initiated earlier. Infections in public transport play an important role . In the simulations shown later, removing infections in the public transport system reduces the infection speed and the height of the peak by approximately 20%. Evidently, this depends on the infection parameters, which are not well known. – This does not point to reducing public transport capacities as a reaction to the reduced demand, but rather use it for lower densities of passengers and thus reduced infection rates. In our simulations, removal of infections at child care, primary schools, workplaces, leisure activities, and in public transport may barely have been sufficient to control the infection dynamics if implemented early on. Now according to our simulations it is too late for this, and (even) harsher measures will have to be initiated until possibly a return to such a restrictive, but still somewhat functional regime will again be possible. Evidently, all of these results have to be taken with care. They are based on preliminary infection parameters taken from the literature, used inside a model that has more transport/movement details than all others that we are aware of but still not enough to describe all aspects of reality, and suffer from having to write computer code under time pressure. Optimally, they should be confirmed independently. Short of that, given current knowledge we believe that they provide justification for “complete lockdown” at the latest when about 10% of available hospital capacities for COVID-19 are in use (and possibly earlier; we are no experts of hospital capabilities). 1 What was not investigated in detail in our simulations was contact tracing, i.e. tracking down the infection chains and moving all people along infection chains into quarantine. The case of Singapore has so far shown that this may be successful. Preliminary simulation of that tactic shows that it is difficult to implement for COVID-19, since the incubation time is rather long, people are contagious before they feel sick, or maybe never feel sufficiently sick at all. We will investigate in future work if and how contact tracing can be used together with a restrictive, but not totally locked down regime. When opening up after lockdown, it would be important to know the true fraction of people who are already immune, since that would slow down the infection dynamics by itself. For Wuhan, the currently available numbers report that only about 0.1% of the population was infected, which would be very far away from “herd immunity”. However, there have been and still may be many unknown infections (Frankfurter Allgemeine Zeitung GmbH 2020).","Müller SA, Balmer M, Neumann A, Nagel K.",2020,2020-03-30,,10.1101/2020.03.27.20045302,,https://europepmc.org/article/PPR/PPR130633,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The work attaches literature-derived infection rules to a mobility simulator rather than learning or adapting medical state transitions.,include,empirical,include_empirical,Combines mobility and infection dynamics to simulate intervention-dependent COVID-19 trajectories.,include,empirical,include_empirical,third_full_text_adjudication,"Although most infection rules are mechanistic or literature-derived, the free transmission parameter is calibrated to observed epidemic growth. The adapted simulator is then rolled forward under lockdown and contact-removal actions, satisfying dynamics adaptation and intervention-response evaluation."
AUD-fa60370df827,alternate_dynamics_enriched,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,"Reinforcement learning is emerging as a powerful tool for microrobots control, as it enables autonomous navigation in environments where classical control approaches fall short. However, applying reinforcement learning to microrobotics is difficult due to the need for large training datasets, the slow convergence in physical systems and poor generalizability across environments. These challenges are amplified in ultrasound-actuated microrobots, which require rapid, precise adjustments in high-dimensional action space, which are often too complex for human operators. Addressing these challenges requires sample-efficient algorithms that adapt from limited data while managing complex physical interactions. To meet these challenges, we implemented model-based reinforcement learning for autonomous control of an ultrasound-driven microrobot, which learns from recurrent imagined environments. Our non-invasive, AI-controlled microrobot offers precise propulsion and efficiently learns from images in data-scarce environments. On transitioning from a pretrained simulation environment, we achieved sample-efficient collision avoidance and channel navigation, reaching a 90% success rate in target navigation across various channels within an hour of fine-tuning. Moreover, our model initially generalized successfully in 50% of tasks in new environments, improving to over 90% with 30 min of further training. We further demonstrated real-time manipulation of microrobots in complex vasculatures under both static and flow conditions, thus underscoring the potential of AI to revolutionize microrobotics in biomedical applications.","Medany M, Piglia L, Achenbach L, Mukkavilli SK, Ahmed D.",2025,2025-06-26,,10.1038/s42256-025-01054-2,,https://europepmc.org/article/MED/40709099,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,include,empirical,include_empirical,The biomedical microrobot learns recurrent imagined environments and is evaluated for autonomous control in vascular settings.,include,empirical,include_empirical,Learns recurrent imagined environments for biomedical microrobot control and evaluates navigation performance.,include,empirical,include_empirical,reviewer_consensus,A: The study learns an action-conditioned world model for a biomedical microrobot and directly evaluates planning and control in physical vascular environments. B: The study learns an action-conditioned world model and directly evaluates model-based planning and control in biomedical navigation environments.
AUD-82f6e10de1f4,alternate_dynamics_enriched,Role of health digital twins in oncology drug development - a primer,"Health Digital Twins (HDTs) have attracted increasing interest as a potential tool for improving both patient care and clinical research, particularly in oncology where clinical trials remain slow, costly, and operationally complex. This primer introduces the concept of digital twins in a form accessible to professionals involved in oncology clinical research and outlines the main components of health digital twins, describes how these systems are generated, and highlights their potential relevance to oncology trials. HDTs are personalized, dynamically updated, predictive, and decision-informing computational representations that integrate clinical records, laboratory measurements, imaging, pathology, and molecular data. The generation of an HDT begins with the integration of multiple sources of information to create a digital representation that reflects the patient's disease state and can be updated as new information becomes available. These systems may be built using data-driven AI models, mechanistic physiological models, or hybrid approaches that combine both. Emerging HDT-based approaches have been proposed as a means of addressing several of the structural limitations of oncology trials by enabling in-silico experimentation, improved biological stratification of patients, and more efficient use of longitudinal real-world and historical data. In early-phase studies, HDTs can support dose selection, safety evaluation, and cohort selection, while in later phases they may contribute to optimized trial designs, synthetic control arms, and adaptive trial methodologies. These applications may reduce patient enrolment time, improve efficiency, and support simulation-driven decision-making. Despite this promise, the application of HDTs remains associated with technical, ethical, regulatory, and data-governance challenges, including data quality, model validity, bias, and uncertainty. Regulatory agencies currently view HDTs as complementary tools within model-informed drug development rather than as replacements for conventional clinical evidence. In conclusion, HDTs have the potential to transform clinical trials by enabling personalized treatments, optimizing trial design, and facilitating predictive analytics, although their applications remain emerging and require further validation, governance frameworks, and regulatory alignment to support widespread adoption.",Maria Garcia Requesens; Arun K. Mankan; Luca Cantini; Marco Calabresi; Laura Vidal; Joan Brown; Steven Lang; Bobby Kaura; Kirill Veselkov; Ioannis Xénarios; Kamal S. Saini,2026,2026-08-24,Frontiers in Oncology,10.3389/fonc.2026.1885797,,https://doi.org/10.3389/fonc.2026.1885797,article,['openalex'],"['""world model"" clinical', '""world model"" physiology']",open-access,world-model phrase absent from title and abstract,uncertain,review,include_review,"The primer centrally synthesizes predictive, intervention-oriented oncology digital twins, but full text is needed to determine whether it is a core medical-world-model review.",exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,include,review,include_review,reviewer_consensus,"A: Medical digital-twin and simulation capabilities are the review's primary subject, with explicit taxonomy and translation analysis. B: Health digital twins in oncology are the primary topic, and the article supplies definitions, use-case synthesis, validation requirements, and a translational perspective."
AUD-33a686ae8415,alternate_dynamics_enriched,Structural requirements for intelligent clinical digital twins in feedback-driven care,"Clinical digital twins are increasingly promoted for decision support, yet most are designed and validated for prediction under observed care rather than decision-support validity. We identify four structural requirements for intelligent clinical digital twins used in bidirectional clinical care. Using Alzheimer's disease and related dementias as an example, we show how routine deployment can induce care-path-dependent epistemic drift despite stable predictive performance.",Yanfei Wang; Glenn E. Smith; Gloria P. Lipori; Ramon C. Sun; Elizabeth Shenkman; Mei Liu; Yonghui Wu; Yi Guo,2026,2026-09-02,npj Health Systems,10.1038/s44401-026-00143-7,,https://doi.org/10.1038/s44401-026-00143-7,article,['openalex'],"['""world model"" EHR', '""world model"" clinical']",open-access,world-model phrase absent from title and abstract,uncertain,review,include_review,"The abstract proposes structural requirements for decision-valid clinical digital twins, but its review methodology and scope are not clear.",exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,include,review,include_review,reviewer_consensus,"A: The primary focus is defining and translating intelligent clinical digital-twin capabilities, satisfying the review-corpus criteria. B: Clinical digital twins are the central topic, and the full text presents a structured requirements framework and clinical-translation analysis that meet the review criterion."
AUD-5b8afa4dfc3d,alternate_dynamics_enriched,Towards Effective Patient Simulators,"In this paper we give an overview of the field of patient simulators and provide qualitative and quantitative comparison of different modeling and simulation approaches. Simulators can be used to train human caregivers but also to develop and optimize algorithms for clinical decision support applications and test and validate interventions. In this paper we introduce three novel patient simulators with different levels of representational accuracy: HeartPole, a simplistic transparent rule-based system, GraphSim, a graph-based model trained on intensive care data, and Auto-ALS-an adjusted version of an educational software package used for training junior healthcare professionals. We provide a qualitative and quantitative comparison of the previously existing as well as proposed simulators.",Vadim Liventsev; Aki Härmä; Milan Petković,2021,2021-12-15,Frontiers in Artificial Intelligence,10.3389/frai.2021.798659,,https://doi.org/10.3389/frai.2021.798659,article,['openalex'],"['""world model"" EHR', '""world model"" clinical', '""world model"" medicine', '""world model"" patient', '""world model"" physiology']",open-access,world-model phrase absent from title and abstract,include,empirical,include_empirical,The paper introduces a graph-based simulator trained on intensive-care data and quantitatively compares patient simulation approaches.,include,empirical,include_empirical,Introduces a graph-based simulator trained on ICU data and quantitatively compares patient simulators.,include,review,include_review,third_full_text_adjudication,"The article explicitly contributes a systematic review of interactive healthcare patient simulators, defines action-conditioned future-state simulation, and compares simulator validity, bias, transparency, and benchmark difficulty. Its additional simulator proposals do not negate the primary field-synthesis contribution."
AUD-5087605e130b,alternate_dynamics_enriched,Towards Surgical World-Action Modeling: A Preliminary Joint Visual-Trajectory Forecasting for Surgical Motion Planning,"Reliable surgical planning requires models to anticipate not only how instruments will move, but also how the operative visual state will evolve together with such motion. Existing approaches typically treat future scene generation and instrument trajectory prediction as two separate tasks. Scene-only models cannot directly evaluate the accuracy of future instrument motion at the trajectory level, while trajectory-only models fail to capture the visual consequences of instrument movement, leaving the consistency between predicted trajectories and future scene evolution unaddressed. Jointly forecasting both provides a more complete account of surgical action-scene dynamics by enabling explicit trajectory-level evaluation while simultaneously modeling the corresponding visual evolution. To bridge this gap, we present a preliminary joint visual-trajectory world-action model that simultaneously forecasts future visual states and instrument trajectories from historical surgical observations. Specifically, we encode historical video frames and tool trajectories into latent representations, which are processed by a temporal-spatial encoder and subsequently decoded through separate visual-state and trajectory prediction heads. Based on this preliminary architecture, a chunked autoregressive rollout is repeatedly applied to predict fifteen future steps. The chunked strategy consistently outperforms direct one-shot prediction across all evaluated horizons, improving first-segment PSNR from 18.86 to 23.11 dB and reducing ADE from 45.77 to 22.22 pixels. These results demonstrate the initial feasibility of joint visual-motion forecasting. However, we observe progressive visual degradation and accumulated trajectory errors over longer prediction horizons, which remain important challenges for future surgical world-action modeling.",Weiliang Huang; Huanrong Liu; Bob Zhang; Qi Dou; Zhen Chen; Yun Gu; Guy Rosman; Qingbiao Li,2026,2026-08-20,arXiv (Cornell University),10.48550/arxiv.2608.20284,2608.20284,https://arxiv.org/abs/2608.20284,preprint,['openalex'],"['""surgical world model""']",open-access,world-model phrase absent from title and abstract,include,empirical,include_empirical,The model jointly learns surgical visual and instrument dynamics and evaluates fifteen-step autoregressive rollouts.,include,empirical,include_empirical,Learns joint surgical visual and tool-trajectory dynamics and evaluates 15-step autoregressive forecasts.,include,empirical,include_empirical,reviewer_consensus,A: The model learns surgical visual and motion dynamics and directly evaluates multistep future observations and trajectories. B: The model learns surgical future-observation and motion dynamics and directly evaluates multistep forecasting capability.
