audit_id,stratum,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale,qc_decision,qc_corpus_type,qc_reason_code,qc_rationale,full_text_anchor,confidence
AUD-23bda78572c9,alternate_dynamics_enriched,Combining machine learning and physiological network models for sepsis prediction,"As the most extreme course of an infectious disease, sepsis poses a serious health threat, with a high mortality rate and frequent long-term consequences for survivors. Despite its enormous burden on global healthcare and ongoing research efforts, early sepsis onset prediction remains challenging due to the complex nature of its pathophysiology. Current approaches face a fundamental trade-off: data-driven machine learning models achieve strong performance but lack interpretability, while biologically inspired models provide mechanistic insights but have limited clinical validation. In this study, we propose the Latent Dynamics Model , a hybrid machine learning approach that integrates a functional model of coupled oscillators representing organ- and immune-cell populations and their interactions. Here, the model parameters encode physiological conditions and allow for an interpretable differentiation between healthy and pathological states. By projecting high-dimensional patient data into the low-dimensional parameter space of the functional model, machine-learned trajectories through this space allow the prediction of critical organ system states and simultaneously offer interpretability beyond plain risk estimates. The proposed method is trained and evaluated on real intensive care patients, achieving competitive AUROC/AUPRC performance on a retrospective MIMIC-IV cohort. Additional qualitative analysis reveals that the learned trajectories exhibit clinically plausible patterns of deterioration, recovery, and stability. We demonstrate that a physiological network model can be embedded within a deep learning architecture without compromising predictive performance while providing an interpretable latent structure for sepsis onset prediction.",Juri Backes; Artyom Tsanda; Tobias Knopp; Wolfgang Renz; Eckehard Schöll,2026,2026-06-19,Frontiers in Network Physiology,10.3389/fnetp.2026.1852577,,https://doi.org/10.3389/fnetp.2026.1852577,article,['openalex'],"['""world model"" physiology']",open-access,world-model phrase absent from title and abstract,include,empirical,include_empirical,The hybrid model learns patient trajectories through a physiological parameter space and evaluates future critical-organ-state prediction on ICU data.,include,empirical,include_empirical,Learns patient trajectories in a physiological latent dynamics model and evaluates future organ-state prediction.,exclude,not_applicable,no_future_or_action_evaluation,third_full_text_adjudication,"The GRU updates a latent position only when each new EHR observation arrives, and the paper states that the oscillator trajectory is not patient-state evolution. Evaluation is online sepsis discrimination and observed SOFA tracking, while temporal rollout is listed as future work.",,,,,,
AUD-906a4df1eae9,alternate_dynamics_enriched,Commercial impact of adding real-world evidence to clinical trials at regulatory approval: a Markovian-like transition model,,Ravi Jandhyala,2023,2023,Current Medical Research and Opinion,10.1080/03007995.2023.2174330,,https://doi.org/10.1080/03007995.2023.2174330,journal-article,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,uncertain,empirical,insufficient_abstract,"The title suggests a medical transition model, but no abstract is available to establish learned dynamics or future/action evaluation.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,third_full_text_adjudication,"The transition states describe drug-development, regulatory, launch, adoption, and commercial timelines. Patient survival is a derived downstream estimate, not the state of a learned clinical or biomedical dynamics model.",,,,,,
AUD-a2362b6cabf5,alternate_dynamics_enriched,Fetal Twin: a mechanistic computational model of fetal physiology for heart-rate-variability biomarker research,"Abstract Fetal-monitoring biomarkers for neonatal hypoxic-ischemic brain injury face a structural gap: the mechanistic ground truth that would label a training set — perfusion pressure, the moment of decompensation, the injury time course — cannot be measured at scale or ethically in human pregnancy or labor, and generative synthetic data carry no mechanistic labels. We address this with a mechanistic computational model of the fetal cardiovascular, autonomic, and metabolic response to controlled hypoxic stress, and use it to test how beat detection and acquisition fidelity alter the interpretation of fetal-heart-rate-variability (HRV) biomarkers. The model integrates these systems forward in time across antepartum development (gestational-age growth scaling) and intrapartum stress (umbilical-cord occlusions), emitting synthetic monitoring signals (fetal heart rate, RR intervals) co-registered with model-computed latent labels (pH, base deficit, lactate, perfusion pressure, decompensation and injury states). In a fetal-sheep-derived autonomic-loop configuration we report three results. First, a phase-accumulator beat detector shows that the apparently physiologic baseline HRV of an earlier build was largely a detector artifact, and a noise-off control shows beat-to-beat variability requires an explicit stochastic driver rather than self-sustained autonomic oscillation. Second, a sampling-fidelity sweep yields a fidelity-matched selection rule: a deceleration-area biomarker is preserved at CTG-grade 4 Hz whereas RMSSD is corrupted there (inflated about 8-fold by timing quantization) and recovers only at fetal-ECG rates. Third, autonomic modulation alone does not reproduce the published RMSSD rise-then-collapse — a negative result that motivates, but does not prove, an intrinsic sinoatrial-pacemaker contribution as a testable hypothesis. This is an in-silico, hypothesis-generating study: the model is not validated for individual fetal prediction, clinical risk estimation, or clinical decision-making. The model is implemented as Fetal Twin (engine fetaltwin ), a source-available research instrument released under a noncommercial license, together with all figure configurations, so that these controlled experiments are reproducible. Key Points Progress on fetal-monitoring biomarkers for neonatal brain-injury risk is constrained by a structural gap: the mechanistic ground truth that would label a training set — perfusion pressure, the moment of cardiovascular decompensation, the time course of injury — cannot be measured at scale or ethically during human pregnancy or labor. We present Fetal Twin (source-available engine fetaltwin ), a publicly available, noncommercially-licensed mechanistic testbed for fetal physiological development. It integrates the fetal cardiovascular, metabolic, and autonomic systems forward in time across antepartum development (gestational-age growth scaling) and intrapartum stress (umbilical-cord occlusions), and emits synthetic monitoring signals (fetal heart rate, RR intervals) co-registered with model-computed latent labels (pH, lactate, perfusion pressure, decompensation and injury states). The name’s digital-twin connotation is deliberate but bounded: Fetal Twin is a mechanistic, population-level twin of fetal physiology used as a research instrument — not a validated, patient-specific clinical digital twin or predictor. Its purpose is to interrogate what candidate biomarkers can and cannot mean, via in-silico controls impossible in vivo — swapping the beat detector, turning a noise source off, ablating a reflex, or quantizing the signal to a monitor’s sampling grid. Demonstrations in a fetal-sheep-derived autonomic-loop configuration show that beat-to-beat HRV amplitude can be a numerical artifact of the beat detector, and that in this model class beat-to-beat variability requires an explicit stochastic driver — it does not arise as a self-sustained oscillation of the deterministic autonomic loop. A further demonstration establishes a fidelity-matched biomarker-selection rule — a deceleration-area biomarker survives CTG-grade 4 Hz sampling whereas RMSSD is corrupted at that rate and needs fetal-ECG timing — and a negative result shows the published RMSSD “rise-then-collapse” is not reproducible from autonomic modulation in this model class, motivating (but not proving) an intrinsic-pacemaker hypothesis.",Martin G. Frasch,2026,2026,openRxiv,10.64898/2026.07.14.738362,,https://doi.org/10.64898/2026.07.14.738362,posted-content,['crossref'],"['""world model"" physiology']",registered,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The fetal simulator is described as a mechanistic computational model rather than a learned or adapted transition model.,include,empirical,include_empirical,Runs an adapted fetal physiology simulator under cord-occlusion interventions and evaluates generated trajectories.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,"The available primary text identifies a mechanistic population-level fetal physiology simulator run under prescribed stress and acquisition controls, but does not establish learned or data-fitted transition dynamics. A fetal-sheep-derived configuration alone does not satisfy the frozen adaptation criterion.",,,,,,
AUD-2cc6cfea5438,alternate_dynamics_enriched,Mobility traces and spreading of COVID-19,"1 Executive summary We use human mobility models, for which we are experts, and attach a virus infection dynamics to it, for which we are not experts but have taken it from the literature, including recent publications. This results in a virus spreading dynamics model. The results should be verified, but because of the current time pressure, we publish them in their current state. Recommendations for improvement are welcome. We come to the following conclusions: Complete lockdown works . About 10 days after lockdown, the infection dynamics dies down. This assumes that lockdown is complete, which can be guaranteed in the simulation, but not in reality. Still, it gives strong support to the argument that it is never too late for complete lockdown. As a rule of thumb, we would suggest complete lockdown no later than once 10% of hospital capacities available for COVID-19 are in use , and possibly much earlier. This is based on the following insights: Even after lockdown, the infection dynamics continues at home, leading to another tripling of the cases before the dynamics is slowed. There will be many critical cases coming from people who were infected before lockdown. Because of the exponential growth dynamics, their number will be large. Researchers with more detailed disease progression models should improve upon these statements. Our simulations say that complete removal of infections at child care, primary schools, workplaces and during leisure activities will not be enough to sufficiently slow down the infection dynamics . It would have been better, but still not sufficient, if initiated earlier. Infections in public transport play an important role . In the simulations shown later, removing infections in the public transport system reduces the infection speed and the height of the peak by approximately 20%. Evidently, this depends on the infection parameters, which are not well known. – This does not point to reducing public transport capacities as a reaction to the reduced demand, but rather use it for lower densities of passengers and thus reduced infection rates. In our simulations, removal of infections at child care, primary schools, workplaces, leisure activities, and in public transport may barely have been sufficient to control the infection dynamics if implemented early on. Now according to our simulations it is too late for this, and (even) harsher measures will have to be initiated until possibly a return to such a restrictive, but still somewhat functional regime will again be possible. Evidently, all of these results have to be taken with care. They are based on preliminary infection parameters taken from the literature, used inside a model that has more transport/movement details than all others that we are aware of but still not enough to describe all aspects of reality, and suffer from having to write computer code under time pressure. Optimally, they should be confirmed independently. Short of that, given current knowledge we believe that they provide justification for “complete lockdown” at the latest when about 10% of available hospital capacities for COVID-19 are in use (and possibly earlier; we are no experts of hospital capabilities). 1 What was not investigated in detail in our simulations was contact tracing, i.e. tracking down the infection chains and moving all people along infection chains into quarantine. The case of Singapore has so far shown that this may be successful. Preliminary simulation of that tactic shows that it is difficult to implement for COVID-19, since the incubation time is rather long, people are contagious before they feel sick, or maybe never feel sufficiently sick at all. We will investigate in future work if and how contact tracing can be used together with a restrictive, but not totally locked down regime. When opening up after lockdown, it would be important to know the true fraction of people who are already immune, since that would slow down the infection dynamics by itself. For Wuhan, the currently available numbers report that only about 0.1% of the population was infected, which would be very far away from “herd immunity”. However, there have been and still may be many unknown infections (Frankfurter Allgemeine Zeitung GmbH 2020).","Müller SA, Balmer M, Neumann A, Nagel K.",2020,2020-03-30,,10.1101/2020.03.27.20045302,,https://europepmc.org/article/PPR/PPR130633,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The work attaches literature-derived infection rules to a mobility simulator rather than learning or adapting medical state transitions.,include,empirical,include_empirical,Combines mobility and infection dynamics to simulate intervention-dependent COVID-19 trajectories.,exclude,not_applicable,hand_specified_mechanistic_dynamics,post_adjudication_inclusion_qc,The epidemic transition rules and disease-progression probabilities are imported from the literature and manually embedded in an agent-based mobility simulator. Calibrating a transmission-rate scalar does not turn this otherwise hand-specified mechanistic simulator into a learned or substantively data-fitted dynamic transition model under the frozen boundary.,exclude,not_applicable,hand_specified_mechanistic_dynamics,The epidemic transition rules and disease-progression probabilities are imported from the literature and manually embedded in an agent-based mobility simulator. Calibrating a transmission-rate scalar does not turn this otherwise hand-specified mechanistic simulator into a learned or substantively data-fitted dynamic transition model under the frozen boundary.,Full text sections 2.1-2.2: MATSim supplies mobility; infection dynamics are explicitly described as taken from the literature; beta is a calibration parameter and progression probabilities are literature-derived. https://doi.org/10.1101/2020.03.27.20045302,high
AUD-82f6e10de1f4,alternate_dynamics_enriched,Role of health digital twins in oncology drug development - a primer,"Health Digital Twins (HDTs) have attracted increasing interest as a potential tool for improving both patient care and clinical research, particularly in oncology where clinical trials remain slow, costly, and operationally complex. This primer introduces the concept of digital twins in a form accessible to professionals involved in oncology clinical research and outlines the main components of health digital twins, describes how these systems are generated, and highlights their potential relevance to oncology trials. HDTs are personalized, dynamically updated, predictive, and decision-informing computational representations that integrate clinical records, laboratory measurements, imaging, pathology, and molecular data. The generation of an HDT begins with the integration of multiple sources of information to create a digital representation that reflects the patient's disease state and can be updated as new information becomes available. These systems may be built using data-driven AI models, mechanistic physiological models, or hybrid approaches that combine both. Emerging HDT-based approaches have been proposed as a means of addressing several of the structural limitations of oncology trials by enabling in-silico experimentation, improved biological stratification of patients, and more efficient use of longitudinal real-world and historical data. In early-phase studies, HDTs can support dose selection, safety evaluation, and cohort selection, while in later phases they may contribute to optimized trial designs, synthetic control arms, and adaptive trial methodologies. These applications may reduce patient enrolment time, improve efficiency, and support simulation-driven decision-making. Despite this promise, the application of HDTs remains associated with technical, ethical, regulatory, and data-governance challenges, including data quality, model validity, bias, and uncertainty. Regulatory agencies currently view HDTs as complementary tools within model-informed drug development rather than as replacements for conventional clinical evidence. In conclusion, HDTs have the potential to transform clinical trials by enabling personalized treatments, optimizing trial design, and facilitating predictive analytics, although their applications remain emerging and require further validation, governance frameworks, and regulatory alignment to support widespread adoption.",Maria Garcia Requesens; Arun K. Mankan; Luca Cantini; Marco Calabresi; Laura Vidal; Joan Brown; Steven Lang; Bobby Kaura; Kirill Veselkov; Ioannis Xénarios; Kamal S. Saini,2026,2026-08-24,Frontiers in Oncology,10.3389/fonc.2026.1885797,,https://doi.org/10.3389/fonc.2026.1885797,article,['openalex'],"['""world model"" clinical', '""world model"" physiology']",open-access,world-model phrase absent from title and abstract,uncertain,review,include_review,"The primer centrally synthesizes predictive, intervention-oriented oncology digital twins, but full text is needed to determine whether it is a core medical-world-model review.",exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,exclude,not_applicable,review_not_focused_on_learned_dynamics,post_adjudication_inclusion_qc,"This is a broad oncology-trial primer covering digital models, digital shadows, synthetic controls, mechanistic models, static data-driven prediction, governance, and prospective use cases. It does not substantially synthesize evaluated learned or adapted dynamic transition models, so its central scope is broader and more generic than the frozen review boundary.",exclude,not_applicable,review_not_focused_on_learned_dynamics,"This is a broad oncology-trial primer covering digital models, digital shadows, synthetic controls, mechanistic models, static data-driven prediction, governance, and prospective use cases. It does not substantially synthesize evaluated learned or adapted dynamic transition models, so its central scope is broader and more generic than the frozen review boundary.","Full text sections 1-2 and Tables 1-2: taxonomy spans static digital models, data-driven predictors, mechanistic and hybrid architectures, synthetic controls and trial applications; the worked discussion is not a synthesis of learned transition-model evaluations. https://doi.org/10.3389/fonc.2026.1885797",high
AUD-33a686ae8415,alternate_dynamics_enriched,Structural requirements for intelligent clinical digital twins in feedback-driven care,"Clinical digital twins are increasingly promoted for decision support, yet most are designed and validated for prediction under observed care rather than decision-support validity. We identify four structural requirements for intelligent clinical digital twins used in bidirectional clinical care. Using Alzheimer's disease and related dementias as an example, we show how routine deployment can induce care-path-dependent epistemic drift despite stable predictive performance.",Yanfei Wang; Glenn E. Smith; Gloria P. Lipori; Ramon C. Sun; Elizabeth Shenkman; Mei Liu; Yonghui Wu; Yi Guo,2026,2026-09-02,npj Health Systems,10.1038/s44401-026-00143-7,,https://doi.org/10.1038/s44401-026-00143-7,article,['openalex'],"['""world model"" EHR', '""world model"" clinical']",open-access,world-model phrase absent from title and abstract,uncertain,review,include_review,"The abstract proposes structural requirements for decision-valid clinical digital twins, but its review methodology and scope are not clear.",exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,exclude,not_applicable,conceptual_framework_not_dynamic_model_review,post_adjudication_inclusion_qc,The article is a diagnostic and normative requirements framework for future clinical digital twins. It neither evaluates a qualifying learned transition model nor substantially synthesizes empirical learned/adapted dynamic simulators; the Alzheimer example illustrates feedback-induced epistemic drift rather than reviewing model evidence.,exclude,not_applicable,conceptual_framework_not_dynamic_model_review,The article is a diagnostic and normative requirements framework for future clinical digital twins. It neither evaluates a qualifying learned transition model nor substantially synthesizes empirical learned/adapted dynamic simulators; the Alzheimer example illustrates feedback-induced epistemic drift rather than reviewing model evidence.,"Full text Introduction and section 'Structural requirements for intelligent clinical digital twins': the authors state that the contribution is diagnostic and normative, not a prescribed algorithmic architecture, and develop four structural requirements using ADRD as an illustrative example. https://doi.org/10.1038/s44401-026-00143-7",high
AUD-9afa5c092202,phrase_absent_random,Mozambique,,Ebby Elahi,2020,2020,World Tariff Profiles,10.30875/0d485d86-en,,https://doi.org/10.30875/0d485d86-en,book-chapter,['crossref'],"['""healthcare world model""', '""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.,,,,,,
AUD-36855051ce31,phrase_absent_random,Application of the woodchuck animal model for the treatment of hepatitis B virus-induced liver cancer,,Manasa Suresh; Stephan Menne,2021,2021,World Journal of Gastrointestinal Oncology,10.4251/wjgo.v13.i6.509,,https://doi.org/10.4251/wjgo.v13.i6.509,journal-article,['crossref'],"['""world model"" treatment']",registered,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The animal-model title does not indicate a learned computational transition or rollout model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,review_not_primary,third_full_text_adjudication,"This review concerns the woodchuck as an experimental animal model for HBV-associated liver cancer and preclinical treatment testing. It does not review learned medical world models, computational transition models, rollout evidence, or planning systems.",,,,,,
AUD-6121d25433ab,phrase_absent_random,The Impact of Low EHR-Continuity on Effect Estimates: Evidence from Two EHR-Medicare Linked Databases,,Yinzhu Jin; Angela Tong; Richard Wyss; Jie Yang; Kueiyu Lin,2025,2025,Clinical Epidemiology,10.2147/clep.s549772,,https://doi.org/10.2147/clep.s549772,journal-article,['crossref'],"['""world model"" EHR']",registered,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The title concerns data-continuity effects on estimates rather than learned temporal simulation.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,"The study stratifies linked EHR and claims cohorts by an EHR-continuity score and compares incidence and treatment-effect estimates. It does not learn or adapt patient-state transitions, generate future trajectories, or evaluate an action-conditioned simulator.",,,,,,
AUD-4ecfb438361f,phrase_absent_random,Guinea-Bissau,,,2020,2020,World Tariff Profiles,10.30875/27dabae1-en,,https://doi.org/10.30875/27dabae1-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.,,,,,,
