audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_c_decision,reviewer_c_corpus_type,reviewer_c_reason_code,reviewer_c_rationale,reviewer_d_decision,reviewer_d_corpus_type,reviewer_d_reason_code,reviewer_d_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
ALT-f2248af7866f,fresh_alternate_public_search,A Bayesian disease progression model for Major Depressive Disorder,,Yi Zhang; Jonathan Sidi; Andy Czysz,2024,2024,A Bayesian disease progression model for Major Depressive Disorder,10.70534/sgcb2032,,https://doi.org/10.70534/sgcb2032,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,empirical,insufficient_abstract,The missing abstract prevents determining whether this Bayesian progression model supports transitions or rollouts.,exclude,not_applicable,no_future_or_action_evaluation,"The bayesian disease progression major depressive disorder study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning.",exclude,not_applicable,inaccessible_full_text,third_full_text_adjudication,"The registered pharmacometrics abstract has no accessible stable methods-and-results text, so learned transition fitting and operational trajectory evaluation cannot be verified."
ALT-dc913f452db6,fresh_alternate_public_search,A Hybrid Deep Learning Framework to Predict Alzheimer’s Disease Progression Using Generative Adversarial Networks and Deep Convolutional Neural Networks,,Rajarshi SinhaRoy; Anupam Sen,2023,2023,Arabian Journal for Science and Engineering,10.1007/s13369-023-07973-9,,https://doi.org/10.1007/s13369-023-07973-9,journal-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,empirical,insufficient_abstract,The missing abstract prevents distinguishing learned temporal simulation from ordinary imaging-based progression prediction.,uncertain,empirical,insufficient_abstract,"The hybrid deep learning predict alzheimer s disease progression generative adversarial title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",exclude,not_applicable,no_future_or_action_evaluation,third_full_text_adjudication,The GAN supplies augmented images to a convolutional stage classifier; evaluation concerns diagnostic staging rather than future patient-state trajectories or intervention response.
ALT-6fcc7e27909c,fresh_alternate_public_search,A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics,,Nemo Fournier; Stanley Durrleman,2023,2023,Lecture Notes in Computer Science,10.1007/978-3-031-43904-9_58,,https://doi.org/10.1007/978-3-031-43904-9_58,book-chapter,crossref,"""disease progression model"" generative intervention",registered,,exclude,empirical,no_future_or_action_evaluation,"The title emphasizes genetic association with disease dynamics, not evaluated future-state rollouts or interventions.",uncertain,empirical,insufficient_abstract,"The multimodal disease progression genetic associations disease dynamics title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",exclude,not_applicable,no_future_or_action_evaluation,third_full_text_adjudication,"The model infers multimodal disease stage and genetic associations, while the primary text identifies prospective longitudinal forecasting as future work rather than an evaluated capability."
ALT-bc44662f8af7,fresh_alternate_public_search,A tool to measure the impact of inaction toward elimination of hepatitis C: A case study in Korea.,"BACKGROUND AND AIMS: Hepatitis C virus (HCV) and its sequelae present a significant source of economic and societal burden. Introduction of highly effective curative therapies has made HCV elimination attainable. The study used a predictive model to assess the clinical and economic impact of implementing national screening and treatment policies toward HCV elimination in Korea. METHODS: A previously validated Markov disease progression model of HCV infection was employed to analyze the clinical and economic impact of various strategies for HCV diagnosis and treatment in Korea. In this analysis, the model compared the clinical and economic outcomes of current HCV-related interventions in Korea (7,000 patients treated and 4,200 patients newly diagnosed annually, starting in 2017) to four elimination scenarios: 1) initiating sufficient diagnosis and treatment interventions to meet the World Health Organization's GHSS elimination targets by 2030, 2) delaying initiation of interventions by one year, 3) delaying initiation of interventions by two years and 4) accelerating initiation of interventions to meet elimination targets by 2025. Modelled historical incidence of HCV was calibrated to match a viremic HCV prevalence of 0.44% in 2009. Elimination scenarios required 24,000 treatments and 34,000 newly diagnosed patients annually, starting in 2018, to reach the 2030 targets. RESULTS: Compared to current ""status quo"" interventions, elimination (or accelerated elimination by 2025) would avert 23,700 (27,000) incident cases of HCV, 1,300 (1,400) liver-related deaths (LRDs) and 2,900 (3,100) cases of end-stage liver disease (ESLD) over the 2017-2030 time period. Postponing interventions by one (or two) years would avert 21,100 (18,600) new HCV infections, 920 (660) LRDs and 2,000 (1,400) cases of ESLD by 2030. Following elimination or accelerated elimination strategies would save 860 million USD or 1.1 billion USD by 2030, respectively, compared to the status quo, requiring an up-front investment in prevention that decreases spending on liver-related complications and death. CONCLUSIONS: By projecting the impact of interventions and tracking progress toward GHSS elimination targets using modelling, we demonstrate that Korea can prevent significant morbidity, mortality and spending on HCV. Results should serve as the backbone for policy and decision-making, demonstrating how aggressive prevention measures are designed to reduce future costs and increase the health of the public.",Yong Kyun Won; Kyung Sik Kang; Yuri Sanchez Gonzalez; Homie Razavi; Ellen Dugan; Kwang-Hyub Han; Sang Hoon Ahn; Mi Young Jeon; Do Young Kim,2020,2020,PloS one,10.1371/journal.pone.0232186,,https://pubmed.ncbi.nlm.nih.gov/32343727/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,A calibrated Markov state-transition model simulates treatment-policy counterfactuals and future clinical outcomes.,exclude,not_applicable,no_learned_dynamics,The tool measure impact inaction elimination hepatitis c case korea study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,The HCV tool applies a pre-existing Markov natural-history structure with literature transitions; calibrating historical prevalence inputs does not fit the disease-state transition mechanism evaluated under policy scenarios.
ALT-e973e602f301,fresh_alternate_public_search,AI-Driven Digital Twin Framework for Predictive Healthcare,,R. Sangeetha,2026,2026,Medical Minds and Machine Learning,10.1201/9781003726913-20,,https://doi.org/10.1201/9781003726913-20,book-chapter,crossref,"""medical digital twin"" trajectory",registered,,uncertain,not_applicable,insufficient_abstract,Missing abstract prevents determining whether this predictive digital twin learns dynamics and validates rollouts.,uncertain,empirical,insufficient_abstract,"The ai driven digital twin predictive healthcare title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",exclude,not_applicable,review_not_primary,third_full_text_adjudication,"This book chapter presents a broad predictive-healthcare digital-twin framework, not a substantial synthesis of evaluated learned medical transition or rollout systems."
ALT-eefa5c2463e3,fresh_alternate_public_search,An Open Source Patient Simulator for Design and Evaluation of Computer Based Multiple Drug Dosing Control for Anesthetic and Hemodynamic Variables,,Clara M. Ionescu; Martine Neckebroek; Mihaela Ghita; Dana Copot,2021,2021,IEEE Access,10.1109/access.2021.3049880,,https://doi.org/10.1109/access.2021.3049880,journal-article,crossref,"""patient simulator"" clinical",registered,,uncertain,not_applicable,insufficient_abstract,Missing abstract prevents determining whether the dosing simulator learns dynamics from data or is mechanistic.,uncertain,empirical,insufficient_abstract,"The open source patient simulator design computer multiple drug dosing control title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,"The anesthetic and hemodynamic simulator uses prescribed physiological equations and parameters to test dosing controllers, without a transition component fitted from observed patient dynamics."
ALT-7c951eb38f74,fresh_alternate_public_search,Anticipatory Healthcare Analytics: Inferring Latent Disease Dynamics from Noisy Clinical Observations,"Artificial intelligence (AI) in healthcare is predominantly built on observational data that provide incomplete, delayed, and noisy representations of underlying biological processes. Such limitations constrain current predictive models, which often remain reactive and fail to capture the intrinsic dynamics of disease evolution. In this study, we introduce a novel AI-driven framework based on latent-state reconstruction, designed to infer hidden disease trajectories from partial clinical and population-level observations and to generate dynamic, forward-looking risk estimates. The proposed approach departs fundamentally from traditional methods by explicitly modeling healthcare systems as partially observed complex adaptive systems. It reconstructs latent health states that evolve over time and gives rise to observable clinical measurements subject to stochastic variability. Drawing a conceptual parallel to quantum mechanics, where a system’s true state is described by a wave function that governs probabilistic observations, our framework treats the latent health state as the primary object of inference rather than the observed data alone. This shift enables a transition from descriptive analytics to anticipatory intelligence. By deriving hazard functions from reconstructed latent trajectories, the framework provides earlier and more accurate detection of disease progression, outbreak dynamics, and systemic instability. Empirical and theoretical analysis demonstrates that this approach captures underlying population heterogeneity and temporal dynamics that are inaccessible to conventional models. This work establishes a new paradigm for AI in healthcare, where prediction is grounded in the reconstruction of hidden system dynamics, enabling proactive intervention and more reliable decision-making in complex, high-dimensional environments.",Philip Melo,2026,2026,Journal of Family Medicine and Health Care,10.11648/j.jfmhc.20261201.11,,https://doi.org/10.11648/j.jfmhc.20261201.11,journal-article,crossref,"""latent dynamics"" medical;""latent dynamics"" physiological",registered,,include,empirical,include_empirical,The framework reconstructs evolving latent health states and empirically evaluates forward-looking risk estimation.,include,empirical,include_empirical,The anticipatory healthcare analytics inferring latent disease dynamics noisy clinical observations study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,exclude,not_applicable,no_primary_empirical_evaluation,third_full_text_adjudication,The article demonstrates latent-state recovery only on constructed numerical examples; it does not fit or evaluate the proposed transition model on observed clinical or biomedical trajectories.
ALT-6236c0921f50,fresh_alternate_public_search,Application of Hidden Markov Model to Identify Disease Progression Process in Medical Research,The article's abstract is no available.,Farzan MADADIZADEH; Mohammad YARAHMADI; Hojjat ZERAATI,2020,2020,Iranian Journal of Public Health,10.18502/ijph.v49i6.3382,,https://doi.org/10.18502/ijph.v49i6.3382,journal-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,not_applicable,insufficient_abstract,The unavailable abstract prevents assessing whether the medical HMM evaluates future-state transition capability.,exclude,not_applicable,no_future_or_action_evaluation,"The application hidden markov identify disease progression process medical research study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning.",exclude,not_applicable,review_not_primary,third_full_text_adjudication,The article is a methodological overview of hidden Markov disease-progression applications and reports no separately extractable primary learned-dynamics experiment.
ALT-e86bc8b02c40,fresh_alternate_public_search,Building digital twins of the human immune system: toward a roadmap.,"Digital twins, customized simulation models pioneered in industry, are beginning to be deployed in medicine and healthcare, with some major successes, for instance in cardiovascular diagnostics and in insulin pump control. Personalized computational models are also assisting in applications ranging from drug development to treatment optimization. More advanced medical digital twins will be essential to making precision medicine a reality. Because the immune system plays an important role in such a wide range of diseases and health conditions, from fighting pathogens to autoimmune disorders, digital twins of the immune system will have an especially high impact. However, their development presents major challenges, stemming from the inherent complexity of the immune system and the difficulty of measuring many aspects of a patient's immune state in vivo. This perspective outlines a roadmap for meeting these challenges and building a prototype of an immune digital twin. It is structured as a four-stage process that proceeds from a specification of a concrete use case to model constructions, personalization, and continued improvement.","Laubenbacher R, Niarakis A, Helikar T, An G, Shapiro B, Malik-Sheriff RS, Sego TJ, Knapp A, Macklin P, Glazier JA.",2022,2022-05-20,,10.1038/s41746-022-00610-z,,https://europepmc.org/article/MED/35595830,,europe_pmc,europe_pmc_core,indexed,,exclude,review,no_primary_empirical_evaluation,This perspective proposes an immune digital-twin roadmap without eligible empirical evaluation or substantive world-model synthesis.,include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for building digital twins human immune system roadmap, including prediction, simulation, or intervention use.",exclude,not_applicable,review_not_primary,third_full_text_adjudication,This perspective proposes a staged roadmap for future immune-system twins; it does not substantially synthesize empirical evaluations of learned transition or rollout models.
ALT-744dce1205a8,fresh_alternate_public_search,Challenges of Digital Twin in healthcare,,Hazim Dahir; Jeff Luna; Ahmed Khattab; Kaouther Abrougui; Raj Kumar,2023,2023,Digital Twin for Healthcare,10.1016/b978-0-32-399163-6.00009-3,,https://doi.org/10.1016/b978-0-32-399163-6.00009-3,book-chapter,crossref,"""clinical digital twin"" intervention",registered,,uncertain,review,insufficient_abstract,"The healthcare digital-twin title is potentially relevant, but no abstract identifies review scope or substantive synthesis.",uncertain,review,insufficient_abstract,"The challenges digital twin healthcare title plausibly denotes a medical world-model review, but the missing abstract does not establish its primary scope.",exclude,not_applicable,review_not_primary,third_full_text_adjudication,The chapter surveys general healthcare digital-twin challenges rather than making evaluated learned medical dynamics a central evidence category.
ALT-9a315a53cb0a,fresh_alternate_public_search,Design of high-performance digital twins to enhance magnetic resonance imaging patient positioning,,Martin Zapf; Nicola Contartese; Gerhard-Benedikt Weiß; Martin Horn,2026,2026,Digital Twin,10.1080/27525783.2026.2719041,,https://doi.org/10.1080/27525783.2026.2719041,journal-article,crossref,"""clinical digital twin"" intervention;""medical digital twin"" trajectory",registered,,uncertain,empirical,insufficient_abstract,"The medical digital-twin title is relevant, but no abstract reveals learned dynamics or evaluated rollouts.",exclude,not_applicable,no_learned_dynamics,"The design high performance digital twins enhance magnetic resonance imaging patient record describes a static, conceptual, or mechanistic twin without learned temporal transitions.",exclude,not_applicable,no_future_or_action_evaluation,third_full_text_adjudication,"The digital twin optimizes MRI patient positioning and scanner workflow; it does not evaluate learned evolution of a patient, physiological, or clinical state."
