audit_id,route,title,decision,corpus_type,reason_code,dynamics,evaluation,lineage,full_text_url,rationale,confidence
ALT-8803de121c39,fresh_alternate_public_search,[Digital twins in uro-oncology].,include,review,include_review,Synthesizes dynamic uro-oncology twins and tumor progression models,Reviews simulation and intervention use cases,Primary review or perspective record,https://doi.org/10.1007/s00120-026-02827-2,Synthesizes dynamic uro-oncology twins and tumor progression models; reviews simulation and intervention use cases.,high
ALT-f2248af7866f,fresh_alternate_public_search,A Bayesian disease progression model for Major Depressive Disorder,uncertain,uncertain,inaccessible_full_text,Indexed title suggests a Bayesian depression progression model,Methods and trajectory evaluation could not be verified,Primary conference or chapter record,https://doi.org/10.70534/sgcb2032,Indexed title suggests a Bayesian depression progression model; methods and trajectory evaluation could not be verified.,low
ALT-36a3691f146d,fresh_alternate_public_search,A data-driven Alzheimer's disease progression simulator for retrospective validation and prospective Phase III power design.,include,empirical,include_empirical,Fits latent ODE Alzheimer biomarker dynamics from ADNI,Validates intervention-conditioned trial rollouts against six trials,Distinct later SimulAD trial-validation study,https://doi.org/10.64898/2026.05.03.26352317,Fits latent ODE Alzheimer biomarker dynamics from ADNI; validates intervention-conditioned trial rollouts against six trials.,high
ALT-b41d73135078,fresh_alternate_public_search,A digital twin for hospital antimicrobial resistance forecasting and constrained intervention optimisation,include,empirical,include_empirical,Learns temporal graph dynamics of hospital resistance spread,Tests forecasts and policy-conditioned action ranking,Primary preprint record,https://doi.org/10.64898/2026.05.15.26353296,Learns temporal graph dynamics of hospital resistance spread; tests forecasts and policy-conditioned action ranking.,high
ALT-2f2ac4647872,fresh_alternate_public_search,A Digital Twin Framework for Predictive Modeling and Intervention Optimization in Inflammatory Bowel Disease,uncertain,uncertain,inaccessible_full_text,Indexed title suggests an IBD intervention digital twin,No stable methods and results text was accessible,Primary conference or chapter record,https://doi.org/10.1109/urtc68753.2025.11533070,Indexed title suggests an IBD intervention digital twin; no stable methods and results text was accessible.,low
ALT-44571950f60c,fresh_alternate_public_search,A digital twin-enhanced decision support system improves time-in-range in type 1 diabetes: a randomized clinical trial.,include,empirical,include_empirical,Uses a patient-adapted glucose and insulin simulator,Tests forecast accuracy and dosing in a randomized trial,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12615814/,Uses a patient-adapted glucose and insulin simulator; tests forecast accuracy and dosing in a randomized trial.,high
ALT-dc913f452db6,fresh_alternate_public_search,A Hybrid Deep Learning Framework to Predict Alzheimer’s Disease Progression Using Generative Adversarial Networks and Deep Convolutional Neural Networks,exclude,empirical,no_future_or_action_evaluation,Uses GAN augmentation with a convolutional progression classifier,Evaluates stage prediction rather than temporal state rollouts,Primary journal article,https://doi.org/10.1007/s13369-023-07973-9,Uses GAN augmentation with a convolutional progression classifier; evaluates stage prediction rather than temporal state rollouts.,medium
ALT-b2249eb31bfe,fresh_alternate_public_search,A Model to Assess the Outcomes Associated With Dementia With Lewy Bodies.,include,empirical,include_empirical,Estimates DLB state transitions from longitudinal observations,Rolls out disease outcomes and a progression-risk intervention,Primary journal article,https://doi.org/10.1097/wad.0000000000000412,Estimates DLB state transitions from longitudinal observations; rolls out disease outcomes and a progression-risk intervention.,high
ALT-10e1e2640b93,fresh_alternate_public_search,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,include,empirical,include_empirical,Learns conditional generative Alzheimer progression from longitudinal imaging,Evaluates generated future disease states,Primary conference or chapter record,https://doi.org/10.1109/ijcnn48605.2020.9206875,Learns conditional generative Alzheimer progression from longitudinal imaging; evaluates generated future disease states.,medium
ALT-7637963d5f0f,fresh_alternate_public_search,A multidimensional ODE-based model of Alzheimer's disease progression,include,empirical,include_empirical,Fits multivariate ODE biomarker and cognition dynamics,Forecasts trajectories and time to dementia conversion,Primary preprint record,https://doi.org/10.21203/rs.3.rs-1903006/v1,Fits multivariate ODE biomarker and cognition dynamics; forecasts trajectories and time to dementia conversion.,high
ALT-6fcc7e27909c,fresh_alternate_public_search,A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics,exclude,empirical,no_future_or_action_evaluation,Models multimodal disease staging and genetic associations,Does not directly evaluate future rollout or action response,Primary conference or chapter record,https://doi.org/10.1007/978-3-031-43904-9_58,Models multimodal disease staging and genetic associations; does not directly evaluate future rollout or action response.,medium
ALT-eb7ba539fd65,fresh_alternate_public_search,A Novel Coupling Model of Physiological Degradation and Emotional State for Prediction of Alzheimer's Disease Progression.,include,empirical,include_empirical,Couples learned physiological degradation and emotional transitions,Tests longitudinal cognitive forecasts on ADNI follow-up,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC9496856/,Couples learned physiological degradation and emotional transitions; tests longitudinal cognitive forecasts on ADNI follow-up.,high
ALT-bc44662f8af7,fresh_alternate_public_search,A tool to measure the impact of inaction toward elimination of hepatitis C: A case study in Korea.,exclude,empirical,no_learned_dynamics,Applies a pre-specified Markov HCV progression simulator,Compares elimination policies without fitting transition dynamics,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC7188208/,Applies a pre-specified Markov HCV progression simulator; compares elimination policies without fitting transition dynamics.,medium
ALT-55f569d2ada1,fresh_alternate_public_search,A unified framework for prediction of liver steatosis dynamics in response to different diet and drug interventions.,include,empirical,include_empirical,Calibrates ODE liver-fat dynamics to intervention datasets,Validates diet- and drug-conditioned trajectory predictions,Primary journal article,https://doi.org/10.1016/j.clnu.2024.05.017,Calibrates ODE liver-fat dynamics to intervention datasets; validates diet- and drug-conditioned trajectory predictions.,high
ALT-0db7baaf92ff,fresh_alternate_public_search,Advancing Precision Oncology with Digital and Virtual Twins: A Scoping Review.,include,review,include_review,Systematically maps oncology digital and virtual twin models,Synthesizes predictive simulation and therapy applications,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC11593079/,Systematically maps oncology digital and virtual twin models; synthesizes predictive simulation and therapy applications.,high
ALT-e973e602f301,fresh_alternate_public_search,AI-Driven Digital Twin Framework for Predictive Healthcare,exclude,review,review_not_primary,Presents a broad predictive-healthcare digital-twin framework,Does not substantially synthesize evaluated learned dynamics,Primary review or perspective record,https://doi.org/10.1201/9781003726913-20,Presents a broad predictive-healthcare digital-twin framework; does not substantially synthesize evaluated learned dynamics.,medium
ALT-cf23547c69b1,fresh_alternate_public_search,AI-Guided Inference of Morphodynamic Attractor-like States in Glioblastoma.,include,empirical,include_empirical,Infers latent glioblastoma morphodynamic attractor dynamics,Evaluates perturbation sensitivity and proof-of-concept control,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12785452/,Infers latent glioblastoma morphodynamic attractor dynamics; evaluates perturbation sensitivity and proof-of-concept control.,medium
