audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_c_decision,reviewer_c_corpus_type,reviewer_c_reason_code,reviewer_c_rationale,reviewer_d_decision,reviewer_d_corpus_type,reviewer_d_reason_code,reviewer_d_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale,qc_decision,qc_corpus_type,qc_reason_code,qc_rationale,full_text_anchor,confidence
ALT-8803de121c39,fresh_alternate_public_search,[Digital twins in uro-oncology].,"BACKGROUND: Uro-oncology is moving toward precision medicine, driven by high-dimensional longitudinal data from imaging, pathology, molecular profiling, and follow-up. However, clinical decision-making often relies on static risk scores that cannot fully capture individual disease dynamics. Digital twins aim to integrate multimodal patient data and to provide patient-specific, dynamically updated simulation models, thereby enabling ""what-if"" testing of interventions. OBJECTIVE: How is a medical digital twin defined, which data foundation is available in uro-oncology, and which clinical use cases can be envisaged? METHODS: This work comprises a narrative review including a description of the digital twin concept, a structured presentation of multimodal data (laboratory parameters, imaging, pathology, omics, long-term outcomes), and an overview of representative published applications (e.g., tumor growth reconstruction, virtual pathology, surgical 3D twins). RESULTS: Current digital twin research in uro-oncology largely represents partial digital twins (e.g., tumor progression models, virtual assessment, patient-specific 3D surgical planning). Potential clinical value of digital twins includes dynamic risk stratification, individualized treatment planning, and adaptive follow-up strategies. Major limitations relate to data quality, interoperability, external validation, interpretability, data privacy, and regulatory requirements for clinical deployment. CONCLUSION: Digital twins have the potential to enable a new era of predictive precision medicine in uro-oncology. Progress toward clinically actionable digital twins requires multimodal architectures, rigorous monitoring, and seamless integration into clinical workflows under robust governance and regulatory frameworks.",Johanna Smielowski; Maximilian Glienke; Sherif Mehralivand; Gregor Duwe; Felix Chun; Hendrik Borgmann; Magdalena Görtz,2026,2026,"Urologie (Heidelberg, Germany)",10.1007/s00120-026-02827-2,,https://pubmed.ncbi.nlm.nih.gov/42018198/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,review,include_review,This primary medical digital-twin review defines the concept and synthesizes clinical applications and translation barriers.,include,review,include_review,"This review primarily synthesizes dynamic medical digital twins for digital twins uro oncology, including prediction, simulation, or intervention use.",exclude,not_applicable,review_scope_too_broad,post_adjudication_inclusion_qc,"The review combines tumor reconstruction, virtual pathology, static risk assessment, and surgical 3D twins; learned or adapted transition models with direct dynamics evaluation are not a central evidence category.",exclude,not_applicable,review_scope_too_broad,"The review combines tumor reconstruction, virtual pathology, static risk assessment, and surgical 3D twins; learned or adapted transition models with direct dynamics evaluation are not a central evidence category.","Structured abstract, Methods and Results: representative applications include tumor reconstruction, virtual assessment, and patient-specific 3D surgical planning.",high
ALT-f2248af7866f,fresh_alternate_public_search,A Bayesian disease progression model for Major Depressive Disorder,,Yi Zhang; Jonathan Sidi; Andy Czysz,2024,2024,A Bayesian disease progression model for Major Depressive Disorder,10.70534/sgcb2032,,https://doi.org/10.70534/sgcb2032,proceedings-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,empirical,insufficient_abstract,The missing abstract prevents determining whether this Bayesian progression model supports transitions or rollouts.,exclude,not_applicable,no_future_or_action_evaluation,"The bayesian disease progression major depressive disorder study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning.",exclude,not_applicable,inaccessible_full_text,third_full_text_adjudication,"The registered pharmacometrics abstract has no accessible stable methods-and-results text, so learned transition fitting and operational trajectory evaluation cannot be verified.",,,,,,
ALT-2f2ac4647872,fresh_alternate_public_search,A Digital Twin Framework for Predictive Modeling and Intervention Optimization in Inflammatory Bowel Disease,,Prathyek Poojary,2025,2025,2025 IEEE MIT Undergraduate Research Technology Conference (URTC),10.1109/urtc68753.2025.11533070,,https://doi.org/10.1109/urtc68753.2025.11533070,proceedings-article,crossref,"""clinical digital twin"" intervention",registered,,uncertain,empirical,insufficient_abstract,The relevant title lacks an abstract confirming data-learned dynamics and empirical intervention evaluation.,uncertain,empirical,insufficient_abstract,"The digital twin predictive intervention optimization inflammatory bowel disease title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",exclude,not_applicable,insufficient_primary_evidence,post_adjudication_inclusion_qc,"Only a registered IEEE conference record and title were stably inspectable; no extractable methods, learned transition, dataset, or operational dynamics results support 45-field extraction.",exclude,not_applicable,insufficient_primary_evidence,"Only a registered IEEE conference record and title were stably inspectable; no extractable methods, learned transition, dataset, or operational dynamics results support 45-field extraction.",IEEE DOI record and Crossref metadata: title and bibliographic registration only; no stable abstract or full methods/results text located.,high
ALT-44571950f60c,fresh_alternate_public_search,A digital twin-enhanced decision support system improves time-in-range in type 1 diabetes: a randomized clinical trial.,"Most individuals with type 1 diabetes (T1D) worldwide continue to be managed with multiple daily injections or sensor-augmented pumps. Decision-support systems (DSSs) have emerged as cost-effective tools to enhance treatment adherence and glucose control. We conducted a randomized, open-label, parallel-group study to evaluate STUDIA, a DSS incorporating a digital twin-enabled simulation-assisted bolus calculator. Twenty-eight participants with T1D used either the simulation-assisted calculator or traditional carbohydrate counting for prandial insulin dosing, with glucose monitored using Freestyle Libre. After four weeks, the group using the simulation-assisted calculator showed a 7% increase in time in the target glucose range (70-180 mg/dL) compared to the control (p < 0.001), along with a lower hypoglycemia incidence rate (RR 0.31, p = 0.022). Model performance yielded a mean absolute percentage error at 60 min of 19.2 ± 6.7%, increasing at longer horizons, with most discrepancies between simulation and sensor falling into no-risk or slight-risk zones. These findings support the safety, feasibility, and potential clinical utility of the STUDIA system in people with T1D.","Builes-Montaño CE, Lema-Perez L, Ramírez-Rincón A, Zuleta-Tobón JJ, Restrepo-Gutiérrez JC, Álvarez-Zapata HD, García-Tirado J.",2025,2025-11-13,,10.1038/s41598-025-23165-x,,https://europepmc.org/article/MED/41233385,,europe_pmc,europe_pmc_core,indexed,,include,empirical,include_empirical,"A patient digital twin simulates insulin-action responses, evaluates forecasts, and supports clinically tested dosing decisions.",include,empirical,include_empirical,The digital twin enhanced decision support system improves time range type study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.,exclude,not_applicable,hand_specified_mechanistic_dynamics,post_adjudication_inclusion_qc,"The glucose transition is a first-principles physiological model personalized once by heuristic adjustment of four parameters, without formal fitting or learned dynamics; the RCT evaluates its forecasts but does not satisfy the learned-transition condition.",exclude,not_applicable,hand_specified_mechanistic_dynamics,"The glucose transition is a first-principles physiological model personalized once by heuristic adjustment of four parameters, without formal fitting or learned dynamics; the RCT evaluates its forecasts but does not satisfy the learned-transition condition.","Full text, Study devices and interventions and Model structure: three physiological models with four parameters manually adjusted by the study physician; no optimization algorithm was used.",high
ALT-dc913f452db6,fresh_alternate_public_search,A Hybrid Deep Learning Framework to Predict Alzheimer’s Disease Progression Using Generative Adversarial Networks and Deep Convolutional Neural Networks,,Rajarshi SinhaRoy; Anupam Sen,2023,2023,Arabian Journal for Science and Engineering,10.1007/s13369-023-07973-9,,https://doi.org/10.1007/s13369-023-07973-9,journal-article,crossref,"""disease progression model"" generative intervention",registered,,uncertain,empirical,insufficient_abstract,The missing abstract prevents distinguishing learned temporal simulation from ordinary imaging-based progression prediction.,uncertain,empirical,insufficient_abstract,"The hybrid deep learning predict alzheimer s disease progression generative adversarial title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",exclude,not_applicable,no_future_or_action_evaluation,third_full_text_adjudication,The GAN supplies augmented images to a convolutional stage classifier; evaluation concerns diagnostic staging rather than future patient-state trajectories or intervention response.,,,,,,
ALT-b2249eb31bfe,fresh_alternate_public_search,A Model to Assess the Outcomes Associated With Dementia With Lewy Bodies.,"BACKGROUND: Research investigating outcomes associated with dementia with Lewy bodies (DLB) disease progression is scarce. Developing models of DLB disease progression will provide information on the burden of disease and facilitate the evaluation of treatments for DLB from a clinical and cost perspective. METHODS: Longitudinal, cognitive evaluation data were utilized in order to identify distinct health states for DLB and to estimate transition probabilities across the DLB disease continuum. These probabilities were applied to a health state transition model to evaluate disease progression and associated outcomes for a closed cohort over a fixed time horizon. The effect of a reduction in the risk of disease progression on outcomes was assessed. RESULTS: Estimated transition probabilities indicate that a patient >60 years of age with mild DLB has a 54%, 30%, 4%, and 12% chance of remaining mild, progressing to severe DLB, being institutionalized, and dying after 1 year, respectively. Reducing the annual risk of transitioning from mild to severe DLB by 40% decreased time institutionalized and increased time to death. CONCLUSIONS: This study used real-world longitudinal data to create a clinically relevant DLB disease progression model. Reducing the rate of disease progression resulted in meaningful benefits with potentially significant public health implications.",Robert Espinosa; Matthew Davis; Scott Johnson; Stephanie Cline; Daniel Weintraub,2021,2021,Alzheimer disease and associated disorders,10.1097/wad.0000000000000412,,https://pubmed.ncbi.nlm.nih.gov/33044304/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,Longitudinally estimated state transitions drive cohort rollouts and a counterfactual progression-risk intervention.,exclude,not_applicable,review_not_primary,This review centers on assess outcomes associated dementia lewy bodies rather than evaluated medical learned world-model dynamics as its primary subject.,exclude,not_applicable,insufficient_primary_evidence,post_adjudication_inclusion_qc,"The structured abstract reports estimated annual state-transition probabilities and cohort simulation, but the accessible primary record is too thin to audit model fitting, validation, and the full extraction schema.",exclude,not_applicable,insufficient_primary_evidence,"The structured abstract reports estimated annual state-transition probabilities and cohort simulation, but the accessible primary record is too thin to audit model fitting, validation, and the full extraction schema.","PubMed and publisher record, structured abstract only: longitudinal cognitive data, estimated transition probabilities, and a closed-cohort health-state model.",medium
ALT-7637963d5f0f,fresh_alternate_public_search,A multidimensional ODE-based model of Alzheimer's disease progression,"Abstract Data-driven Alzheimer’s disease (AD) progression models are useful for clinical prediction, disease mechanism understanding, and clinical trial design. Most dynamic models were inspired by the amyloid cascade hypothesis and described AD progression as a linear chain of pathological events. However, the heterogeneity observed in healthy and sporadic AD populations challenged the amyloid hypothesis, and there is a need for more flexible dynamical models that accompany this conceptual shift. We present a statistical model of the temporal evolution of biomarkers and cognitive tests that allows diverse biomarker paths throughout the disease. The model consists of two elements: a multivariate dynamic model of the joint evolution of biomarkers and cognitive tests; and a clinical prediction model. The dynamic model uses a system of ordinary differential equations to jointly model the rate of change of an individual’s biomarkers and cognitive tests. The clinical prediction model is an ordinal logistic model of the diagnostic label. Prognosis and time-to-onset predictions are obtained by computing the clinical label probabilities throughout the forecasted biomarker trajectories. The proposed dynamical model is interpretable, free of one-dimensional progression hypotheses or disease staging paradigms, and can account for the heterogeneous dynamics observed in sporadic AD. We developed the model using longitudinal data from the Alzheimer’s Disease Neuroimaging Initiative. We illustrate the patterns of biomarker rates of change and the model performance to predict the time to conversion from MCI to dementia.",Matías Nicolás Bossa; Hichem Sahli,2022,2022,Research Square Platform LLC,10.21203/rs.3.rs-1903006/v1,,https://doi.org/10.21203/rs.3.rs-1903006/v1,posted-content,crossref,"""disease progression model"" generative intervention",registered,,include,empirical,include_empirical,Longitudinal data fit multivariate dynamics that roll out biomarker trajectories and predict diagnostic conversion.,exclude,not_applicable,no_learned_dynamics,The multidimensional ode alzheimer s disease progression study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.,exclude,not_applicable,duplicate_publication,post_adjudication_inclusion_qc,This row is the Research Square preprint; the same work has a more complete peer-reviewed journal version and only the final publication should be retained.,exclude,not_applicable,duplicate_publication,This row is the Research Square preprint; the same work has a more complete peer-reviewed journal version and only the final publication should be retained.,Lineage check: preprint DOI 10.21203/rs.3.rs-1903006/v1 matches the later Scientific Reports article DOI 10.1038/s41598-023-29383-5.,high
ALT-6fcc7e27909c,fresh_alternate_public_search,A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics,,Nemo Fournier; Stanley Durrleman,2023,2023,Lecture Notes in Computer Science,10.1007/978-3-031-43904-9_58,,https://doi.org/10.1007/978-3-031-43904-9_58,book-chapter,crossref,"""disease progression model"" generative intervention",registered,,exclude,empirical,no_future_or_action_evaluation,"The title emphasizes genetic association with disease dynamics, not evaluated future-state rollouts or interventions.",uncertain,empirical,insufficient_abstract,"The multimodal disease progression genetic associations disease dynamics title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation.",exclude,not_applicable,no_future_or_action_evaluation,third_full_text_adjudication,"The model infers multimodal disease stage and genetic associations, while the primary text identifies prospective longitudinal forecasting as future work rather than an evaluated capability.",,,,,,
ALT-eb7ba539fd65,fresh_alternate_public_search,A Novel Coupling Model of Physiological Degradation and Emotional State for Prediction of Alzheimer's Disease Progression.,"The prediction of Alzheimer's disease (AD) progression plays a very important role in the early intervention of patients and the improvement of life quality. Cognitive scales are commonly used to assess the patient's status. However, due to the complicated pathogenesis of AD and the individual differences in AD, the prediction of AD progression is challenging. This paper proposes a novel coupling model (P-E model) that takes into account the processes of physiological degradation and emotional state transition of AD patients. We conduct experiments on synthetic data to validate the effectiveness of the proposed P-E model. Next, we conduct experiments on 134 subjects with more than 10 follow-ups from the Alzheimer's Disease Neuroimaging Initiative. The prediction performance of the P-E model is significantly better than other state-of-the-art methods, which achieves the mean squared error of 7.137 ± 0.035. The experimental results show that the P-E model can well characterize the non-monotonic properties of AD cognitive data and can also have a good predictive ability for time series data with individual differences.",Jiawei Yang; Shaoping Wang; The Alzheimer's Disease Neuroimaging Initiative,2022,2022,Brain sciences,10.3390/brainsci12091132,,https://pubmed.ncbi.nlm.nih.gov/36138868/,journal-article,crossref;europe_pmc;pubmed,"""disease progression model"" generative intervention;europe_pmc_core;pubmed_core",indexed,,include,empirical,include_empirical,The coupling model represents physiological and emotional state transitions and directly evaluates longitudinal cognitive prediction.,exclude,not_applicable,no_future_or_action_evaluation,"The coupling physiological degradation emotional state prediction alzheimer s disease progression study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning.",exclude,not_applicable,source_policy_excluded,post_adjudication_inclusion_qc,"The article is published in an MDPI journal, which is excluded by the active literature source policy; it is not retained even though it reports coupled temporal prediction.",exclude,not_applicable,source_policy_excluded,"The article is published in an MDPI journal, which is excluded by the active literature source policy; it is not retained even though it reports coupled temporal prediction.",Publisher and PMC full text identify Brain Sciences as the publication venue; the model couples physiological degradation and emotional-state transition.,high
ALT-bc44662f8af7,fresh_alternate_public_search,A tool to measure the impact of inaction toward elimination of hepatitis C: A case study in Korea.,"BACKGROUND AND AIMS: Hepatitis C virus (HCV) and its sequelae present a significant source of economic and societal burden. Introduction of highly effective curative therapies has made HCV elimination attainable. The study used a predictive model to assess the clinical and economic impact of implementing national screening and treatment policies toward HCV elimination in Korea. METHODS: A previously validated Markov disease progression model of HCV infection was employed to analyze the clinical and economic impact of various strategies for HCV diagnosis and treatment in Korea. In this analysis, the model compared the clinical and economic outcomes of current HCV-related interventions in Korea (7,000 patients treated and 4,200 patients newly diagnosed annually, starting in 2017) to four elimination scenarios: 1) initiating sufficient diagnosis and treatment interventions to meet the World Health Organization's GHSS elimination targets by 2030, 2) delaying initiation of interventions by one year, 3) delaying initiation of interventions by two years and 4) accelerating initiation of interventions to meet elimination targets by 2025. Modelled historical incidence of HCV was calibrated to match a viremic HCV prevalence of 0.44% in 2009. Elimination scenarios required 24,000 treatments and 34,000 newly diagnosed patients annually, starting in 2018, to reach the 2030 targets. RESULTS: Compared to current ""status quo"" interventions, elimination (or accelerated elimination by 2025) would avert 23,700 (27,000) incident cases of HCV, 1,300 (1,400) liver-related deaths (LRDs) and 2,900 (3,100) cases of end-stage liver disease (ESLD) over the 2017-2030 time period. Postponing interventions by one (or two) years would avert 21,100 (18,600) new HCV infections, 920 (660) LRDs and 2,000 (1,400) cases of ESLD by 2030. Following elimination or accelerated elimination strategies would save 860 million USD or 1.1 billion USD by 2030, respectively, compared to the status quo, requiring an up-front investment in prevention that decreases spending on liver-related complications and death. CONCLUSIONS: By projecting the impact of interventions and tracking progress toward GHSS elimination targets using modelling, we demonstrate that Korea can prevent significant morbidity, mortality and spending on HCV. Results should serve as the backbone for policy and decision-making, demonstrating how aggressive prevention measures are designed to reduce future costs and increase the health of the public.",Yong Kyun Won; Kyung Sik Kang; Yuri Sanchez Gonzalez; Homie Razavi; Ellen Dugan; Kwang-Hyub Han; Sang Hoon Ahn; Mi Young Jeon; Do Young Kim,2020,2020,PloS one,10.1371/journal.pone.0232186,,https://pubmed.ncbi.nlm.nih.gov/32343727/,journal-article,europe_pmc;pubmed,europe_pmc_core;pubmed_core,indexed,,include,empirical,include_empirical,A calibrated Markov state-transition model simulates treatment-policy counterfactuals and future clinical outcomes.,exclude,not_applicable,no_learned_dynamics,The tool measure impact inaction elimination hepatitis c case korea study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,The HCV tool applies a pre-existing Markov natural-history structure with literature transitions; calibrating historical prevalence inputs does not fit the disease-state transition mechanism evaluated under policy scenarios.,,,,,,
