candidate_id,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,reviewer_a_decision,reviewer_a_reason_code,reviewer_b_decision,reviewer_b_reason_code,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
MWM-0008,A World Model of Radiologist Reading for Medical Image Representation Learning,"Radiologist eye-tracking data provide a rich record of how experts search, compare, and accumulate evidence during image reading; yet, existing methods exploit this signal only partially, either as a static spatial prior or as an auxiliary prediction target decoupled from diagnosis. We propose GazeWorld, a medical imaging world model that treats the image as the world and the radiologist's fixation sequence as a trajectory through it. GazeWorld autoregressively predicts the latent representation of the next fixated patch from all previously visited ones, while a spatial-completion branch covers unvisited regions. At inference, GazeWorld generates a sequence of patch representations from the image alone without requiring real gaze data. Frozen GazeWorld features achieve state-of-the-art diagnostic accuracy across all nine supervised settings on CheXpert, RSNA Pneumonia, and SIIM-ACR Pneumothorax, as well as the highest zero-shot accuracy on all three benchmarks. On the GazeSearch benchmark, a generic decoder trained on the same frozen features outperforms the purpose-built LogitGaze-Med by over 16\% in ScanMatch and 22\% in SED, despite not being explicitly trained to predict gaze. GazeWorld demonstrates that modeling how experts read, not just what they conclude, offers a promising pretraining paradigm for medical imaging AI.",Yiwei Li; Zihao Wu; Huaqin Zhao; Yifan Zhou; Chao Cao; Dajiang Zhu; Tianming Liu; Lin Zhao,2026,2026-05-17,arXiv (Cornell University),,2605.23992,https://arxiv.org/abs/2605.23992,preprint,openalex,"""world model"" clinical;""world model"" patient",open-access,include,include_empirical,include,include_empirical,include,empirical,include_empirical,reviewer_consensus,A: Autoregressive fixation-trajectory modeling predicts next viewed patches and is evaluated on gaze and diagnostic benchmarks. B: The abstract describes empirical evaluation of learned medical or biomedical dynamics in “A World Model of Radiologist Reading for Medical Image Representation Learning”.
MWM-0011,Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound,"We present an action-conditioned world model framework for goal plane probe guidance in robotic ultrasound, with a focus on neck ultrasound scanning. Autonomous ultrasound tasks often require large numbers of probe-motion trajectories for training, but collecting high-quality demonstrations is labor-intensive and explicit simulators are difficult to build because ultrasound appearance depends on contact, tissue deformation, and view-dependent acoustic artifacts. We address this problem with a two-stage model-based learning pipeline. First, a latent conditional diffusion world model predicts future ultrasound observations from recent context frames, probe motions and temporal offset. Second, a goal-conditioned temporal transformer predicts ordered probe motions and is fine-tuned using rewards from the frozen world model. Experiments on the self-collected dataset show that the world model preserves action-dependent anatomical structure on target-directed scans. In real-world closed loop experiments, the framework achieves success rates of 70.0\% for carotid guidance and 65.0\% for thyroid guidance. These results demonstrate the potential of learned ultrasound dynamics for training goal-directed robotic probe navigation.",Siqi Fan; Mingcong Chen; Ran Liu; Zixuan Yang; Xiaoyu Fu; Xiaoqing Gao; Yunhui Liu; Hongbin Liu,2026,2026-07-24,arXiv (Cornell University),,2607.21918,https://arxiv.org/abs/2607.21918,preprint,openalex,"""world model"" echocardiography;""world model"" medicine;""world model"" patient;""world model"" physiology",open-access,include,include_empirical,include,include_empirical,include,empirical,include_empirical,reviewer_consensus,A: The action-conditioned ultrasound model predicts future observations and is tested in closed-loop probe guidance. B: The abstract describes empirical evaluation of learned medical or biomedical dynamics in “Action-Conditioned World Model for Goal Plane Probe Guidance in Robotic Ultrasound”.
MWM-0012,Affective Music Recommendation: A Rollout-Based World Model for Offline Preference Optimization,"Functional music applications, from consumer focus and sleep aids to clinical interventions, share a distinctive recommendation problem: success is defined by the listener's affective state, but online experimentation on emotion is ethically constrained, particularly for clinical populations who cannot reliably skip a song or report distress. We describe AMRS, the Affective Music Recommendation System deployed on LUCID's health-and-wellness platforms, which serve clinical users (primarily older adults with neurocognitive conditions) and consumer-wellness users across energize, focus, calm, and sleep modes. AMRS is built around a rollout-based world model: a causal transformer trained on logged listening data to jointly predict engagement, binary rating, and self-reported valence and arousal. The world model serves both as an in-silico simulator for offline policy training and as a stress-testing tool before deployment. A recommender policy initialized by behaviour cloning is fine-tuned offline with Direct Preference Optimization (DPO) against a configurable multi-objective utility function. Under a strict cold-start protocol, the world model predicts both behavioural and affective signals with usable fidelity; DPO improves predicted valence and arousal over the cloned baseline while maintaining a similar diversity profile and avoiding the distributional collapse produced by greedy optimization. We position the work as an early deployed validation of a methodology for affective recommendation when online experimentation is ethically untenable.",Audrey Chan; Aaron Labbe; Jacob Lavoie; Jordan Bannister; Arsène Fansi Tchango; Guillaume Lajoie; Laurent Charlin,2026,2026-05-27,arXiv (Cornell University),10.48550/arxiv.2605.28810,2605.28810,https://arxiv.org/abs/2605.28810,preprint,openalex,"""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" treatment",open-access,exclude,wrong_domain,include,include_empirical,include,empirical,include_empirical,third_adjudication,"The deployed health-and-wellness system learns affective-state dynamics for clinical users and evaluates offline rollouts, so full text should determine the medical-scope boundary."
MWM-0013,Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model,"Sepsis management in the ICU requires sequential treatment decisions under rapidly evolving patient physiology. Although large language models (LLMs) encode broad clinical knowledge and can reason over guidelines, they are not inherently grounded in action-conditioned patient dynamics. We introduce SepsisAgent, a world model-augmented LLM agent for sepsis treatment recommendation. SepsisAgent uses a learned Clinical World Model to simulate patient responses under candidate fluid--vasopressor interventions, and follows a propose--simulate--refine workflow before committing to a prescription. We first show that world-model access alone yields inconsistent LLM decision performance, motivating agent-specific training. We then train SepsisAgent through a three-stage curriculum: patient-dynamics supervised fine-tuning, propose--simulate--refine behavior cloning, and world-model-based agentic reinforcement learning. On MIMIC-IV sepsis trajectories, SepsisAgent outperforms all traditional RL and LLM-based baselines in off-policy value while achieving the best safety profile under guideline adherence and unsafe-action metrics. Further analysis shows that repeated interaction with the Clinical World Model enables the agent to learn regularities in patient evolution, which remain useful even when simulator access is removed.",Minghao Wu; Yuting Yan; Zhenyang Cai; Ke Ji; Chuangsen Fang; Ziying Sheng; Xidong Wang; Rongsheng Wang; Hejia Zhang; Shuang Li; Benyou Wang; Hongyuan Zha,2026,2026-05-14,arXiv (Cornell University),10.48550/arxiv.2605.14723,2605.14723,https://doi.org/10.48550/arxiv.2605.14723,preprint,openalex,"""clinical world model"";""world model"" clinical;""world model"" patient;""world model"" physiology;""world model"" treatment",open-access,include,include_empirical,include,include_empirical,include,empirical,include_empirical,reviewer_consensus,A: A learned sepsis world model simulates treatment responses and is evaluated on MIMIC-IV policy value and safety. B: The abstract describes empirical evaluation of learned medical or biomedical dynamics in “Agentifying Patient Dynamics within LLMs through Interacting with Clinical World Model”.
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,"Real-time MRI (rtMRI) captures the dynamics of the entire vocal tract during speech, but labeled data are scarce and the modality - single-slice, grayscale, low-resolution - differs substantially from the natural videos that video foundation models are trained on. We introduce Arti-JEPA, a joint embedding predictive architecture to model vocal tract rtMRI by continuing its self-supervised objective on about 62h of unlabelled vocal-tract videos, and evaluate the frozen representation on three tasks: cross-domain phoneme prediction (on typical speakers), fluent-vs-disfluent classification (a corpus containing stuttered speech), and characterizing pre/post-operative transfer (after partial glossectomy). Three key findings emerge. (1) A temporal video prior decisively outperforms per-frame image encoders, and latent prediction (V-JEPA) is at least as strong as pixel reconstruction (VideoMAE), with the edge on fine-grained phonemes. (2) Domain adaptation is \emph{task-dependent}: it roughly doubles cross-domain phoneme prediction $κ$ (to 0.352) but does not help binary stuttering classification. (3) Arti-JEPA was able to recover phoneme signal from pre/post glossectomy speech --- an in-domain probe decodes patients at least as well as a typical speaker, indicating that the residual transfer gap is cross-speaker/domain misalignment, not surgical signal loss, and post-operative decoding does not fall below performance on pre-operative speech. Together, these position a frozen, domain-adapted rtMRI encoder as a reusable measurement tool for articulatory and clinical speech science.",Hong Nguyen; Sean Foley; Christina Hagedorn; Yijing Lu; Sudarsana Reddy Kadiri; Dani Byrd; Shrikanth Narayanan,2026,2026-09-09,arXiv (Cornell University),10.48550/arxiv.2609.09757,,https://doi.org/10.48550/arxiv.2609.09757,preprint,openalex,"""world model"" clinical;""world model"" patient",open-access,include,include_empirical,include,include_empirical,include,empirical,include_empirical,reviewer_consensus,A: The adapted temporal latent-prediction model uses vocal-tract MRI and is empirically evaluated on clinical speech tasks. B: The abstract describes empirical evaluation of learned medical or biomedical dynamics in “Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Pr…”.
MWM-0031,Beyond Patient Invariance: Learning Cardiac Dynamics via Action-Conditioned JEPAs,"Self-supervised learning in healthcare has largely relied on invariance-based objectives, which maximize similarity between different views of the same patient. While effective for static anatomy, this paradigm is fundamentally misaligned with clinical diagnosis, as it mathematically compels the model to suppress the transient pathological changes it is intended to detect. We propose a shift towards Action-Conditioned World Models that learn to simulate the dynamics of disease progression, or Event-Conditioned. Adapting the LeJEPA framework to physiological time-series, we define pathology not as a static label, but as a transition vector acting on a patient's latent state. By predicting the future electrophysiological state of the heart given a disease onset, our model explicitly disentangles stable anatomical features from dynamic pathological forces. Evaluated on the MIMIC-IV-ECG dataset, our approach outperforms fully supervised baselines on the critical triage task. Crucially, we demonstrate superior sample efficiency: in low-resource regimes, our world model outperforms supervised learning by over 0.05 AUROC. These results suggest that modeling biological dynamics provides a dense supervision signal that is far more robust than static classification. Source code is available at https://github.com/cljosegfer/lesaude-dynamics",José Geraldo Fernandes; Luiz Facury; Pedro Robles Dutenhefner; Wagner Meira Jr,2026,2026-04-24,arXiv (Cornell University),10.48550/arxiv.2604.22618,2604.22618,https://arxiv.org/abs/2604.22618,preprint,openalex,"""medical world model"";""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" physiology;""world model"" treatment",open-access,include,include_empirical,include,include_empirical,include,empirical,include_empirical,reviewer_consensus,A: Event-conditioned cardiac latent dynamics predict future ECG state and are evaluated on MIMIC-IV-ECG. B: The abstract describes empirical evaluation of learned medical or biomedical dynamics in “Beyond Patient Invariance: Learning Cardiac Dynamics via Action-Conditioned JEPAs”.
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,"Machine learning models of cellular interaction dynamics hold promise for understanding cell behavior. Natural killer (NK) cell cytotoxicity is a prominent example of such interaction dynamics and is commonly studied using time-resolved multi-channel fluorescence microscopy. Although tumor cell death events can be annotated at single frames, NK cytotoxic outcome emerges over time from cellular interactions and cannot be reliably inferred from frame-wise classification alone. We introduce BLINK, a trajectory-based recurrent state-space model that serves as a cell world model for NK-tumor interactions. BLINK learns latent interaction dynamics from partially observed NK-tumor interaction sequences and predicts apoptosis increments that accumulate into cytotoxic outcomes. Experiments on long-term time-lapse NK-tumor recordings show improved cytotoxic outcome detection and enable forecasting of future outcomes, together with an interpretable latent representation that organizes NK trajectories into coherent behavioral modes and temporally structured interaction phases. BLINK provides a unified framework for quantitative evaluation and structured modeling of NK cytotoxic behavior at the single-cell level.",Iman Nematollahi; Jose Francisco Villena-Ossa; Alina Moter; Kiana Farhadyar; Gabriel Kalweit; Abhinav Valada; Toni Cathomen; Evelyn Ullrich; Maria Kalweit,2026,2026-03-05,arXiv (Cornell University),,2603.05110,http://arxiv.org/abs/2603.05110,preprint,openalex,"""world model"" medicine;""world model"" patient",open-access,include,include_empirical,include,include_empirical,include,empirical,include_empirical,reviewer_consensus,A: The recurrent cell-state model learns NK-tumor trajectories and forecasts future cytotoxic outcomes. B: The abstract describes empirical evaluation of learned medical or biomedical dynamics in “BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity”.
MWM-0034,Brain-WM: Brain Glioblastoma World Model,"Precise prognostic modeling of glioblastoma (GBM) under varying treatment interventions is essential for optimizing clinical outcomes. While generative AI has shown promise in simulating GBM evolution, existing methods typically treat interventions as static conditional inputs rather than dynamic decision variables. Consequently, they fail to capture the complex, reciprocal interplay between tumor evolution and treatment response. To bridge this gap, we present Brain-WM, a pioneering brain GBM world model that unifies next-step treatment prediction and future MRI generation, thereby capturing the co-evolutionary dynamics between tumor and treatment. Specifically, Brain-WM encodes spatiotemporal dynamics into a shared latent space for joint autoregressive treatment prediction and flow-based future MRI generation. Then, instead of a conventional monolithic framework, Brain-WM adopts a novel Y-shaped Mixture-of-Transformers (MoT) architecture. This design structurally disentangles heterogeneous objectives, successfully leveraging cross-task synergies while preventing feature collapse. Finally, a synergistic multi-timepoint mask alignment objective explicitly anchors latent representations to anatomically grounded tumor structures and progression-aware semantics. Extensive validation on internal and external multi-institutional cohorts demonstrates the superiority of Brain-WM, achieving 91.5% accuracy in treatment planning and SSIMs of 0.8524, 0.8581, and 0.8404 for FLAIR, T1CE, and T2W sequences, respectively. Ultimately, Brain-WM offers a robust clinical sandbox for optimizing patient healthcare. The source code is made available at https://github.com/thibault-wch/Brain-GBM-world-model.",Chenhui Wang; Boyun Zheng; Liuxin Bao; Zhihao Peng; Peter Y. M. Woo; Hongming Shan; Yixuan Yuan,2026,2026-03-08,arXiv (Cornell University),10.48550/arxiv.2603.07562,2603.07562,http://arxiv.org/abs/2603.07562,preprint,openalex,"""world model"" clinical;""world model"" patient;""world model"" treatment",open-access,include,include_empirical,include,include_empirical,include,empirical,include_empirical,reviewer_consensus,A: The model jointly predicts treatment and generates future MRI under evolving glioblastoma interventions. B: The abstract describes empirical evaluation of learned medical or biomedical dynamics in “Brain-WM: Brain Glioblastoma World Model”.
MWM-0036,Bridging Individual Trajectories and Population Dynamics through A Multi-scale Health World Model,,Jingyi Wu; Xiaoyuan Liu; Pengfei Li; Luxia Zhang,2026,2026-01-01,SSRN Electronic Journal,10.2139/ssrn.7384522,,https://doi.org/10.2139/ssrn.7384522,preprint,openalex,"""world model"" clinical",open-access,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,third_adjudication,No abstract is available; full text is required to verify empirical multiscale health-state dynamics.
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation","Medical world models aim to learn a latent state of patient or organ physiology and a transition function that forecasts how that state evolves under interventions, supporting downstream tasks from imaging-based diagnosis to digital-twin treatment planning. Two failure modes threaten the reliability of such models in clinical deployment: (i)~\emph{covariate shift}, because training data are fragmented across hospitals, scanners, and time, so the feature distribution seen by the latent-dynamics predictor differs across fragments and from the distribution at deployment; and (ii)~\emph{confidence misalignment}, because multi-step forecasts are often overconfident exactly where clinical risk is highest. We argue that both problems admit a unified treatment via a single lightweight regularisation objective, \textbf{CalTwin}, which combines a Fisher-Information-based shift penalty adapted from our prior work on fragmented covariate-shift remediation~\cite{khan2025mitigating,khan2025causal} with a Confidence Misalignment Penalty adapted from our prior work on calibrated vision-language classification~\cite{khan2025confidence}, applied here to a GRU-based medical world model's latent transition predictor. We derive the combined objective, establish which proof steps transfer from the classification setting without modification and which require adaptation, and evaluate it on the PhysioNet 2019 Sepsis Challenge, treating the two hospital systems as sequential training fragments and the unseen system as an out-of-distribution test. CalTwin reduces OOD next-step latent-state MSE by 9.1\% relative to the no-penalty baseline (FIM penalty alone accounts for 7.0\%); the ECE reduction from the Confidence Misalignment Penalty is real but small (0.7\% for CalTwin, 1.3\% for CMP alone).",Behraj Khan; Shabir Ahmad; Syed Ahmad Chan Bukhari; Tahir Qasim Syed,2026,2026-07-29,arXiv (Cornell University),10.48550/arxiv.2607.26752,2607.26752,https://arxiv.org/abs/2607.26752,preprint,openalex,"""medical world model"";""world model"" EHR;""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" physiology;""world model"" treatment",open-access,include,include_empirical,include,include_empirical,include,empirical,include_empirical,reviewer_consensus,"A: A GRU medical transition model is evaluated for out-of-distribution next-state prediction and calibration on sepsis data. B: The abstract describes empirical evaluation of learned medical or biomedical dynamics in “CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information R…”."
